,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists
98,98,563319,254732,A Swingin Safari,Bert Kaempfert And His Orchestra,2003,The Match Game,1962.0,(#4.206),A Swingin Safari (The Theme of The Match Game),bert kaempfert
105,105,713790,267504,Serenade For Strings No. 13 In G Major_ KV 525 'Eine Kleine Nachtmusik,Wolfgang Amadeus Mozart,0,The Simpsons,1989.0,Dangers on a Train (#24.22),Eine Kleine Nachtmusik,wolfgang amadeus mozart
107,107,826429,267504,Eine kleine Nachtmusik / A Little Night Music,Wolfgang Amadeus Mozart,0,The Simpsons,1989.0,Dangers on a Train (#24.22),Eine Kleine Nachtmusik,wolfgang amadeus mozart
133,133,281712,621575,Waltz From  Swan Lake,Pyotr Il'yich Tchaikovsky,0,Some Like It Sexy,1969.0,,Waltz of the Flowers,pyotr ilyich tchaikovsky
135,135,730682,621575,Waltz Of The Flowers From  Nutcracker,Pyotr Il'yich Tchaikovsky,0,Some Like It Sexy,1969.0,,Waltz of the Flowers,pyotr ilyich tchaikovsky
140,140,261145,592108,House Of The Rising Sun,Frijid Pink,1969,Remember the Titans,2000.0,,House Of The Rising Sun,frijid pink
145,145,611005,712848,Millenium,William Orbit,1991,Venus Rising,1995.0,,Millenium,william orbit
149,149,381756,60882,Is Anybody Home?,Our Lady Peace,1999,Daria,1997.0,Mart of Darkness (#4.9),Is Anybody Home?,our lady peace
164,164,252476,314420,Shattered,The Rolling Stones,1978,WKRP in Cincinnati,1978.0,Pilot: Part 2 (#1.2),Shattered,mick jagger+keith richards+the rolling stones
215,215,9771,65861,Solta,Pedro Khima,2007,Deixa-me Amar,2007.0,(#1.176),Solta,pedro khima
224,224,12776,582620,Elegia,New Order,1985,Pretty in Pink,1986.0,,Elegia,new order
234,234,507032,661622,I Do Not Want This,Nine Inch Nails,1994,The Ghosts of Faust,2012.0,,3 Ghosts I (Art Is Resistance  Pt. 3),trent reznor+atticus ross+nine inch nails
237,237,724755,79277,Everybody Loves A Happy Ending (Steve Fitzmaurice Mix),Tears For Fears,2005,EastEnders,1985.0,(2013-08-09),Everybody Wants to Rule,tears for fears
240,240,796030,79277,Everybody Wants To Rule The World,Tears For Fears,1984,EastEnders,1985.0,(2013-08-09),Everybody Wants to Rule,tears for fears
246,246,453218,65433,Saia Indiscreta,Filarmónica Gil,0,Deixa-me Amar,2007.0,(#1.137),Saia indiscreta,filarmónica gil
249,249,11373,59065,Matador,Los Fabulosos Cadillacs,1993,Dancing with the Stars,2005.0,Round Two (#8.4),Matador,los fabulosos cadillacs
288,288,180496,714073,Pavane pour une infante défunte (Pavane for a Dead Princess),London Symphony Orchestra,0,Violet & Daisy,2011.0,,Pavane For a Dead Princess,maurice ravel+moscow rtv symphony orchestra
316,316,956208,261122,Today I Started Loving You Again,Dolly Parton / John Popper,1996,The Porter Wagoner Show,1961.0,Bobby Lord (#1.261),If We Never Meet Again (This Side of Heaven),dolly parton
346,346,920963,534215,The Diary of Anne Frank - Overture,The City of Prague Philharmonic Orchestra,0,Marraskuun harmaa valo,1993.0,,Melodija iz kinofilma Osenni marafon / Overture to the film Autumn Marathon,andrei petrov+leningrad philharmonic orchestra
349,349,696513,534215,Overture 'Satyricon',London Philharmonic Orchestra,0,Marraskuun harmaa valo,1993.0,,Melodija iz kinofilma Osenni marafon / Overture to the film Autumn Marathon,andrei petrov+leningrad philharmonic orchestra
362,362,952441,140601,9 to 5,Dolly Parton,1980,Live with Regis and Kathie Lee,1988.0,(#25.61),9 To 5,dolly parton
383,383,577074,376022,Roland The Headless Thompson Gunner (LP Version),Warren Zevon,0,Breakfast with Hunter,2003.0,,Roland  The Headless Thompson Gunner,warren zevon
385,385,745690,312633,We Used To Be Friends,The Dandy Warhols,2003,Veronica Mars,2004.0,Lord of the Bling (#1.13),We Used to Be Friends,courtney taylor-taylor+grant nicholas+the dandy warhols
387,387,933149,14632,The Nutcracker Op.71-atto 1 - Marche,Pyotr Il'yich Tchaikovsky,0,Animaniacs,1993.0,Ten Short Films About Wakko Warner/No Time for Love/The Boo Network (#4.7),The Nutcracker: Dance of the Sugar Plum Fairy,pyotr ilyich tchaikovsky
390,390,730682,14632,Waltz Of The Flowers From  Nutcracker,Pyotr Il'yich Tchaikovsky,0,Animaniacs,1993.0,Ten Short Films About Wakko Warner/No Time for Love/The Boo Network (#4.7),The Nutcracker: Dance of the Sugar Plum Fairy,pyotr ilyich tchaikovsky
391,391,344072,14632,The Nutcracker Op.71-atto 2 - Chinese Dance,Pyotr Il'yich Tchaikovsky,0,Animaniacs,1993.0,Ten Short Films About Wakko Warner/No Time for Love/The Boo Network (#4.7),The Nutcracker: Dance of the Sugar Plum Fairy,pyotr ilyich tchaikovsky
399,399,366100,283212,When I Win The Lottery,Camper Van Beethoven,1989,The Voice,2012.0,Blind Auditions 9 (#5.9),When I Get You Alone,victor johl+robin thicke+walter murphy+ludwig van beethoven
427,427,961244,615252,I Love Everything I Get My Hands On,Rex Allen_ Jr.,0,Silver City Bonanza,1951.0,,I Ride an Old Paint,rex allen
429,429,873450,615252,My Dear Old Arizona Home,Rex Allen,1999,Silver City Bonanza,1951.0,,I Ride an Old Paint,rex allen
432,432,317521,294756,The Ride Of The Valkyries_ Op.wwv86b : Overture,Richard Wagner,0,Tiny Toon Adventures,1990.0,Fox Trot (#3.3),Ride of the Valkyries,richard wagner
445,445,237383,199474,Ten Storey Love Song,The Stone Roses,1994,S.P.U.N.G,2002.0,Jag ljuger aldrig (#1.6),Ten Storey Love Song,john squire+the stone roses
457,457,793668,713569,Marcelino Arroyo Del Charco,Albert Pla,1997,Vida y milagros,2006.0,,Marcelino arroyo del charco,albert pla
459,459,419209,595681,Embrujada,Tino Casal,1984,Rivales,2008.0,,Embrujada,tino casal
460,460,819961,595681,Embrujada,Tino Casal,1984,Rivales,2008.0,,Embrujada,tino casal
466,466,447125,629532,Chill Out (Things Gonna Change),John Lee Hooker & Carlos Santana,1995,Stealing Beauty,1996.0,,CHILL OUT (Things Gonna Change),john lee hooker+carlos santana+chester thompson
489,489,242645,416763,Música en la noche,Paloma San Basilio,0,Diva,2006.0,,Música (Medley),paloma san basilio
502,502,94666,255865,Something's Burning,Mac Davis,2000,The Midnight Special,1972.0,(#1.33),Somethings Burning,mac davis
504,504,741644,224897,You and Your Heart,Piano Tribute Players,0,Star Trek: Voyager,1995.0,Course: Oblivion (#5.18),Heart And Soul,the piano lounge players
518,518,417658,17128,Midnight Rider,The Allman Brothers Band,1970,Ash vs Evil Dead,2015.0,Brujo (#1.4),Midnight Rider,the allman brothers band
522,522,929699,72553,The Doctor / Affirmation,Alex North_ Jerry Goldsmith_ The National Philharmonic Orchestra,1977,Doctor Who,2005.0,The God Complex (#6.11),Doctor Who Theme,ron grainer+bbc national orchestra of wales
529,529,3785,366967,I Love You - Solo,Asie Payton,0,Big Bad Love,2001.0,,I Love You,asie payton
531,531,791736,16491,Christmas Time Is Here,Vince Guaraldi Trio,1989,Arrested Development,2003.0,Righteous Brothers (#2.18),Christmas Time Is Here (Instrumental),the vince guaraldi trio
537,537,776394,298341,Nights In White Satin,The Moody Blues,1967,Top Ten,1998.0,Prog Rock,Nights In White Satin,justin hayward+the moody blues
541,541,816550,153199,Get It On (Bang A Gong) (2005 Digital Remaster),The Power Station,1985,Miami Vice,1984.0,Whatever Works (#2.2),Get It On (Bang A Gong),marc bolan+the power station
543,543,271534,662838,Servo,Brian Jonestown Massacre,1997,The Grand,2007.0,,Servo,anton newcombe+the brian jonestown massacre
549,549,453801,201475,Pirates (So Long Lonely Avenue) (LP Version),Rickie Lee Jones,1981,Saturday Night Live,1975.0,Blythe Danner/Rickie Lee Jones (#7.15),Pirates (So Long Lonely Avenue),rickie lee jones
553,553,735526,371511,Half As Much (Digitally Remastered),Hank Williams,0,Blue Black Permanent,1992.0,,Half as Much,hank williams
558,558,55079,682262,I Need Your Love,Pee Wee Crayton,0,The Rough  Tough West,1952.0,,You Dont Need Love Anymore,pee wee king+redd stewart+his band
561,561,203746,682262,The Reason Im In Love With You,Pee Wee King,0,The Rough  Tough West,1952.0,,You Dont Need Love Anymore,pee wee king+redd stewart+his band
565,565,819091,294419,St. Louis Blues,Dave Brubeck Quartet,1958,Timex All-Star Jazz Show,1957.0,(1957-12-30),St. Louis Blues,w.c. handy+the dave brubeck quartet
577,577,913047,415249,Zindagi Ye,Rahat Fateh Ali Khan,0,Dil Kabaddi,2008.0,,Zindagi Yeh Safar Hai - Rock Version,rahat fateh ali khan+sachin gupta
579,579,754623,415249,Abhi Apna Abhi Paraya Hai,Gaudi + Nusrat Fateh Ali Khan,0,Dil Kabaddi,2008.0,,Zindagi Yeh Safar Hai - Rock Version,rahat fateh ali khan+sachin gupta
589,589,153790,131108,Three Lights,Kids These Days,2004,Kyle XY,2006.0,The Lies That Bind (#1.3),Three Lights,kids these days
595,595,872064,369412,Hummin' Blues,Big Jack Johnson & The Oilers,0,Black Snake Moan,2006.0,,Jacks Blues,big jack johnson
597,597,901580,655343,Where Do You Go To (My Lovely),Peter Sarstedt,1969,The Darjeeling Limited,2007.0,,Where Do You Go to (My Lovely),peter sarstedt
606,606,45719,366573,Bridal Chorus,Richard Wagner / Otto Sieben,1991,Beyond the Valley of the Dolls,1970.0,,Bridal Chorus,richard wagner
620,620,749940,420226,Until We Meet Again (Hex Hector Remix),Diana Ross,1999,Double Platinum,1999.0,,Until We Meet Again,diana ross
623,623,697047,134234,There's Nothing Wrong (Album Version),The Robert Cray Band,1999,Las Vegas,2003.0,Wagers of Sin (#4.11),Aint Nothing Wrong With That,robert randolph+the family band
638,638,113863,375055,My Good Gal,Old Crow Medicine Show,2006,Boyhood,2014.0,,My Good Gal,ketch secor+old crow medicine show
645,645,956951,299421,2-4-6-8 Motorway,THE TOM ROBINSON BAND,1978,Top of the Pops,1964.0,(1977-11-10),2-4-6-8 Motorway,tom robinson
651,651,905861,335497,Piano Sonata (moonlight) N.14 In C Sharp Minor Op.27 N.2 : Adagio Sostenuto,Ludwig van Beethoven,0,A Room with a View,2007.0,,Piano Sonata No. 14  Presto agitato,ludwig van beethoven
653,653,325479,335497,Symphony No. 9 In D Minor_ Op. 125; lll Adagio Molto E Cantabile,Ludwig van Beethoven,0,A Room with a View,2007.0,,Piano Sonata No. 14  Presto agitato,ludwig van beethoven
673,673,43617,94172,Catch The Sun,Niño y pistola,2010,Física o química,2008.0,Contenido y forma (#7.4),Catch the Sun,niño y pistola
677,677,957080,219504,Mary,Patty Griffin,1998,Sons of Anarchy,2008.0,Balm (#2.10),Mary,patty griffin
680,680,815775,731835,Cantata No. 80 A Mighty Fortress Is Our God BWV 80: Chorale_ Cantata No. 80 The Word of God will firm abide against our foes assailing,Johann Sebastian Bach,0,Zerkalo,1975.0,,Matthäuspassion - BWV 244,johann sebastian bach
682,682,247188,731835,Mass in B Minor BWV 232: Gratias Agimus,Johann Sebastian Bach,0,Zerkalo,1975.0,,Matthäuspassion - BWV 244,johann sebastian bach
683,683,683895,731835,Brandenburgisches Konzert Nr.1 BWV  1046 - Allegro,Johann Sebastian Bach,0,Zerkalo,1975.0,,Matthäuspassion - BWV 244,johann sebastian bach
686,686,753265,731835,Trio C-Moll für Flauto Traverso Violine_ Violoncello und Cembalo aus dem 'Musikalischen Opfer' BWV 1,Johann Sebastian Bach,0,Zerkalo,1975.0,,Matthäuspassion - BWV 244,johann sebastian bach
687,687,383577,731835,Brandenburgisches Konzert Nr.1  BWV  1046 - Adagio,Johann Sebastian Bach,0,Zerkalo,1975.0,,Matthäuspassion - BWV 244,johann sebastian bach
708,708,811602,160845,Hedonism (just because you feel good),Skunk Anansie,1995,Music Nuggets,2010.0,(2011-03-19),Hedonism,skunk anansie
713,713,443145,401063,Impromtu No. 2 in A-Flat Major_ Op. 142,Sviatoslav Richter_ Franz Schubert,0,Cross Country Detours,1940.0,,Symphony No. 8 in B Minor,franz schubert
724,724,846264,173913,Don't Wait (Album Version),Dashboard Confessional,0,One Tree Hill,2003.0,The Same Deep Water as You (#4.1),Dont Wait,dashboard confessional
726,726,773967,257506,Baby Won't You Please Come Home,The Nat King Cole Trio,0,The Nat King Cole Show,1954.0,(#2.9),With You on My Mind,lew pollack+nat king cole
727,727,783446,257506,Exactly Like You,Frank Sinatra & Nat King Cole,0,The Nat King Cole Show,1954.0,(#2.9),With You on My Mind,lew pollack+nat king cole
729,729,451016,257506,I Get Sentimental Over Nothing (Imagine How I Feel About You) (1993 Digital Remaster),The King Cole Trio,0,The Nat King Cole Show,1954.0,(#2.9),With You on My Mind,lew pollack+nat king cole
732,732,550933,257506,The Christmas Song (Merry Christmas To You),The King Cole Trio,0,The Nat King Cole Show,1954.0,(#2.9),With You on My Mind,lew pollack+nat king cole
734,734,478702,257506,My Lips Remember Your Kisses,Nat 'King' Cole,2000,The Nat King Cole Show,1954.0,(#2.9),With You on My Mind,lew pollack+nat king cole
742,742,847646,662096,No Fucking War,7 Year Bitch,1992,The Gits,2005.0,,No Fucking War,7 year bitch
744,744,475640,572056,Ecco Il Birbo Che Tha Offesa (Don Giovanni_ Act 1,Wolfgang Amadeus Mozart,0,Parting Glances,1986.0,,Don Giovanni,wolfgang amadeus mozart
754,754,948620,654399,Skip To My Lou,Old Town School of Folk Music,0,The Crackpot Quail,1941.0,,Oh Where  Oh Where  Has My Little Dog Gone,music from german folk song
761,761,827900,556973,Setting Sun (Live Version),The Chemical Brothers,1997,Nightwatch,1997.0,,Setting Sun,tom rowlands+ed simons+noel gallagher+the chemical brothers
766,766,467181,343726,All Men Are Liars,Nick Lowe,0,All Men Are Liars,1995.0,,All Men Are Liars,nick lowe
768,768,949629,585038,Identity,X-Ray Spex,1978,Punk in London,1977.0,,Identity,x-ray spex
770,770,512931,397173,You Could Be Mine,Guns N' Roses,1991,Concierto Guns N Roses,1992.0,,You Could Be Mine,axl rose+izzy stradlin+guns n roses
773,773,658428,66290,Um Caso Raro,Pólo Norte,0,Deixa-me Amar,2007.0,(#1.214),Um caso raro,pólo norte
781,781,901319,593447,Mudmen (1996 Digital Remaster),Pink Floyd,1972,Revenge and Punishment,1977.0,,Mudmen,pink floyd
788,788,281712,711376,Waltz From  Swan Lake,Pyotr Il'yich Tchaikovsky,0,Vals,2006.0,,Swan Lake,pyotr ilyich tchaikovsky
800,800,878672,664529,Crazy Town,Jason Aldean,2009,The Heart of Country: How Nashville Became Music City USA,2014.0,,Crazy Town,jason aldean
807,807,721760,151779,Cadillac Solitario (Live),Loquillo Y Los Trogloditas,0,Memòries de la tele,2007.0,(#4.5),Cadillac solitario,sabino méndez+loquillo y trogloditas
822,822,516902,597015,The Summer Knows - (theme from the Warner Bros. film_ 'Summer Of '42,Henry Mancini_ His Orchestra And Chorus,0,Rock N Roll Racing,1993.0,,Peter Gunn Theme,henry mancini
830,830,732385,597015,Pink Panther Theme,Henry Mancini,1998,Rock N Roll Racing,1993.0,,Peter Gunn Theme,henry mancini
831,831,889957,716704,Chantilly Lace (Digitally Remastered),The Big Bopper,0,Walk Hard: The Dewey Cox Story,2007.0,,Chantilly Lace,the big bopper
833,833,617304,90747,Mundian To Bach Ke 'Beware Of The Boys,Jay-Z / Panjabi MC,0,Formula 1: BBC Sport,2009.0,The Indian Grand Prix (#3.50),Mundian To Bach Ke,panjabi mc
836,836,713790,294810,Serenade For Strings No. 13 In G Major_ KV 525 'Eine Kleine Nachtmusik,Wolfgang Amadeus Mozart,0,Tiny Toon Adventures,1990.0,Grandmas Dead (#3.13),Sonata No. 16 in C Major,wolfgang amadeus mozart
841,841,73513,529215,Don't You Want Me (Original Version),The Human League,1995,Made in Sheffield,2001.0,,Dont You Want Me,phil oakey+the human league
844,844,734469,529215,Don't You Want Me,The Human League,1981,Made in Sheffield,2001.0,,Dont You Want Me,phil oakey+the human league
858,858,747761,263134,The Four Seasons - Winter - Allegro,Antonio Vivaldi,1998,The Ren & Stimpy Show,1991.0,,Spring  from The Four Seasons,antonio vivaldi
861,861,570972,263134,The Four Seasons - Spring - Allegro,Antonio Vivaldi,1989,The Ren & Stimpy Show,1991.0,,Spring  from The Four Seasons,antonio vivaldi
877,877,956797,362657,A Boy Like That - I Have a Love,Chita Rivera & Carol Lawrence & Leonard Bernstein&The New York Philharmonic Orchestra,0,Beauty & the Beat: Tarja Turunen & Mike Terrana,2014.0,,I Feel Pretty,leonard bernstein+tarja turunen+bohuslav martinu philharmonic orchestra
898,898,556684,362657,I.    Daybreak - Dance from Florida Suite RTVI/1 (2001 Digital Remaster),Sir Thomas Beecham/Royal Philharmonic Orchestra,0,Beauty & the Beat: Tarja Turunen & Mike Terrana,2014.0,,I Feel Pretty,leonard bernstein+tarja turunen+bohuslav martinu philharmonic orchestra
915,915,171803,132251,Yesterday,John Lennon / Paul McCartney,1998,La Viola,1997.0,(2016-05-17),Yesterday,paul mccartney
918,918,730531,650177,Shake Your Moneymaker,Elmore James,1961,The Blues Brothers,1980.0,,SHAKE YOUR MONEYMAKER,elmore james
943,943,775967,178985,Waiting For The Tide,Melanie Doane,0,Party of Five,1994.0,The Baby (#5.5),Waiting For The Tide,melanie doane
947,947,937336,47643,Waltz #2 (XO),Elliott Smith,0,Cold Case,2003.0,Revenge (#2.16),Waltz #2,elliott smith
952,952,448679,103640,There's a Girl,Dressy Bessy,2002,Greys Anatomy,2005.0,The Name of the Game (#2.22),Girl  You Shout!,dressy bessy
956,956,869586,151781,Amores,Mari Trini,2005,Memòries de la tele,2007.0,(#4.6),Amores,mari trini
966,966,854991,29964,Christmas Without You,Dolly Parton & Kenny Rogers,0,Better,2008.0,(2012-04-12),I Will Always Love You,dolly parton
973,973,306199,29964,Yours Love,Porter Wagoner & Dolly Parton,2001,Better,2008.0,(2012-04-12),I Will Always Love You,dolly parton
977,977,956208,29964,Today I Started Loving You Again,Dolly Parton / John Popper,1996,Better,2008.0,(2012-04-12),I Will Always Love You,dolly parton
980,980,784876,29964,Just Someone I Used To Know,Porter Wagoner and Dolly Parton,1989,Better,2008.0,(2012-04-12),I Will Always Love You,dolly parton
981,981,230837,29964,I Believe In Santa Claus,Dolly Parton & Kenny Rogers,0,Better,2008.0,(2012-04-12),I Will Always Love You,dolly parton
982,982,289581,29964,But You Know I Love You,Dolly Parton,1980,Better,2008.0,(2012-04-12),I Will Always Love You,dolly parton
993,993,905861,614601,Piano Sonata (moonlight) N.14 In C Sharp Minor Op.27 N.2 : Adagio Sostenuto,Ludwig van Beethoven,0,Sid and Nancy,1986.0,,Moonlight Sonata,ludwig van beethoven
999,999,891793,670287,Boogie Woogie Bugle Boy Of Company B,The Andrews Sisters,0,The Life and Times of Hank Greenberg,1998.0,,Boogie Woogie Bugle Boy,don raye+hughie prince+the andrews sisters
1012,1012,928096,143120,Morfina,Mundo Cão,2006,Lua Vermelha,2010.0,(#1.165),Morfina,mundo cão
1022,1022,842290,345593,Air of Meditation - Serene and Shimmering,Johann Sebastian Bach,0,Alvorada,1962.0,,Air from the Ouverture Nr. 3  D Major,johann sebastian bach
1032,1032,904546,231870,S.O.P. Theme #3: Feelings And Facts,Danny Elfman,0,Tales from the Crypt,1989.0,Judy  Youre Not Yourself Today (#2.11),Tales from the Crypt Theme,danny elfman
1037,1037,798089,701869,Love Theme,The Boston Pops Orchestra / John Williams,0,Transformers: Revenge of the Fallen,2009.0,,Theme,john williams
1039,1039,190131,701869,Love Theme [A Summer Place,The Boston Pops Orchestra / John Williams,0,Transformers: Revenge of the Fallen,2009.0,,Theme,john williams
1045,1045,790878,701869,Main Theme [The Pink Panther],The Boston Pops Orchestra / John Williams,0,Transformers: Revenge of the Fallen,2009.0,,Theme,john williams
1048,1048,712305,701869,New York_ New York (Main Theme),The Boston Pops Orchestra / John Williams,0,Transformers: Revenge of the Fallen,2009.0,,Theme,john williams
1055,1055,904546,68645,S.O.P. Theme #3: Feelings And Facts,Danny Elfman,0,Desperate Housewives,2004.0,It Takes Two (#3.2),Desperate Housewives Theme,danny elfman
1058,1058,917268,146364,Theme From 'A Summer Place,Percy Faith & His Orchestra,0,Mad Men,2007.0,The New Girl (#2.5),Theme From A Summer Place,percy faith+his orchestra
1059,1059,956199,146364,Theme For Young Lovers,Percy Faith & His Orchestra,1960,Mad Men,2007.0,The New Girl (#2.5),Theme From A Summer Place,percy faith+his orchestra
1067,1067,930916,451061,Symphony No.1 'Spring' in B-flat Major_ Op. 38: Andante un poco maestoso - Allegro molto vivace (Sch,Czech Chamber Philharmonic Orchestra_ Douglas Bostock,0,Getting It Right,1989.0,,Piano Concerto No. 14 in Flat Major K. 499,wolfgang amadeus mozart+the czech chamber orchestra+ivan moravec
1069,1069,713790,451061,Serenade For Strings No. 13 In G Major_ KV 525 'Eine Kleine Nachtmusik,Wolfgang Amadeus Mozart,0,Getting It Right,1989.0,,Piano Concerto No. 14 in Flat Major K. 499,wolfgang amadeus mozart+the czech chamber orchestra+ivan moravec
1072,1072,694433,451061,Clarinet Concerto 1st Movement,Wolfgang Amadeus Mozart,0,Getting It Right,1989.0,,Piano Concerto No. 14 in Flat Major K. 499,wolfgang amadeus mozart+the czech chamber orchestra+ivan moravec
1084,1084,327533,590877,Time To Send Someone Away,José González,2007,Red Dead Redemption,2010.0,,Far Away,josé gonzález
1100,1100,708720,552996,HONEY WON'T YOU LET ME BE YOUR FRIEND (LP Version),Keith Carradine,0,Nashville,1975.0,,Honey,keith carradine
1106,1106,700545,122579,Mama Said Knock You Out,LL Cool J,1990,Its Always Sunny in Philadelphia,2005.0,The Gang Broke Dee (#9.1),Mama Said Knock You Out,ll cool j
1109,1109,602494,709508,That's The Way,Jimmy Page / Robert Plant,0,Unledded,1994.0,,Thats the Way,jimmy page+robert plant
1111,1111,808002,366152,Beware Brother Beware,LOUIS JORDAN,1991,Beware,1946.0,,Beware  Brother  Beware,louis jordan
1123,1123,572857,177460,Blue Room,Chet Baker,1988,Parashat Ha-Shavua,2006.0,VaYetze (#1.7),Blue Gilles,chet baker
1125,1125,618285,621860,I Hear a Symphony,Peter Bradley Adams,0,Something Borrowed,2011.0,,The Longer I Run,peter bradley adams+arrangement with secret road music services+inc.
1126,1126,492120,621860,The Longer I Run,Peter Bradley Adams,2008,Something Borrowed,2011.0,,The Longer I Run,peter bradley adams+arrangement with secret road music services+inc.
1158,1158,916007,624484,Concerto No. 14 in E-flat Major for Piano and Orchestra_ K. 449/I. Allegro vivace,Murray Perahia;English Chamber Orchestra,0,Sous un autre jour,2009.0,,Cello Concerto Nº 9 in B Flat G482 Il Adaggio nontroppo,luigi boccherini+jacqueline du pré+english chamber orchestra
1183,1183,783268,560604,Souls,Chantal Kreviazuk,1999,Now & Forever,2002.0,,Souls,chantal kreviazuk
1189,1189,636244,177773,Forever Young,Bob Dylan,1974,Parenthood,2010.0,Im Cooler Than You Think (#2.3),Forever Young,bob dylan
1197,1197,428427,299883,Life's Been Good,Joe Walsh,1978,Top of the Pops,1964.0,(1978-08-03),Lifes Been Good,joe walsh
1204,1204,563319,254950,A Swingin Safari,Bert Kaempfert And His Orchestra,2003,The Match Game,1962.0,(#5.64),A Swingin Safari (The Theme of The Match Game),bert kaempfert
1208,1208,896677,398301,Under Stars (2005 Digital Remaster),Brian Eno,0,Cool World,1992.0,,UNDER,brian eno
1215,1215,671536,216336,Boom Boom Pow,Black Eyed Peas,2009,So You Think You Can Dance,2005.0,2 of 20 Voted Off (#5.7),Boom Boom Pow,the black eyed peas+will.i.am   apl.de.ap+fergie+taboo
1232,1232,435225,568582,The Cathedral In The Sky,Rick Wakeman And The New English Rock Ensemble,2003,Out There,2004.0,,The Cathedral Of The Sky,rick wakeman
1255,1255,704775,182362,Heads Will Roll,Yeah Yeah Yeahs,2009,Please Like Me,2013.0,Margherita (#2.10),Heads Will Roll,chase+orzolek+zinner+yeah yeah yeahs
1259,1259,728268,613459,Far East,Barry Brown,1982,Shottas,2002.0,,Far East,barry brown
1271,1271,344961,250093,Folsom Prison Blues,Johnny Cash,1957,The Johnny Cash Show,1969.0,(#2.10),Folsom Prison Blues,johnny cash
1274,1274,149082,250093,Closing Medley: Folsom Prison Blues/I Walk The Line/Ring Of Fire/The Rebel - Johnny Yuma,Johnny Cash with The Carter Family The Statler Brothers & Carl Perkins,0,The Johnny Cash Show,1969.0,(#2.10),Folsom Prison Blues,johnny cash
1278,1278,577361,44282,It's Bigger Than Hip Hop (featuring Tahir and People's Army),Dead Prez,2000,Chappelles Show,2003.0,(#1.3),Bigger Tha Hip Hop,dead prez
1281,1281,716152,493216,Bigger Than My Body,John Mayer,0,John Mayer: Someday Ill Fly,2014.0,,Bigger Than My Body,john mayer
1285,1285,715222,494178,Three Little Birds,Bob Marley & The Wailers,2007,Journey 2: The Mysterious Island,2012.0,,Three Little Birds,bob marley+the wailers
1293,1293,933149,676215,The Nutcracker Op.71-atto 1 - Marche,Pyotr Il'yich Tchaikovsky,0,The Nutcracker,1993.0,,The Nutcracker: Drosselmeier gifts: Hobby horse  The Nutcracker,pyotr ilyich tchaikovsky
