,Column1,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists,gold
429,13013,13013,325479,584306,Symphony No. 9 In D Minor_ Op. 125; lll Adagio Molto E Cantabile,Ludwig van Beethoven,0,Prͩnom Carmen,1983,,String Quartet n. 16 op. 135,ludwig van beethoven+quatuor prat,0
89,2995,2995,517764,477118,Wagner: Der fliegende Hollander (The Flying Dutchman): Wirst du des Vaters Wah lnicht schelten? - Dutchman_ Senta,Richard Wagner,0,Hugo Pool,1997,,The Flying Dutchman,richard wagner,1
93,3072,3072,86129,516705,Les ͩtoiles du cinͩma,Francis Lai,1996,Les trois glorieuses,2010,,Les ͩtoles du cinͩma,francis lai,1
245,7228,7228,918617,177867,Rapper's Delight,The Sugarhill Gang,1979,Parenthood,2010,Keep on Rowing (#4.12),Rappers Delight,sugarhill gang,1
272,8255,8255,730682,548466,Waltz Of The Flowers From  Nutcracker,Pyotr Il'yich Tchaikovsky,0,Museum Scream,2003,,The Nutcracker - Dance of the Sugar Plum Fairy,pyotr ilyich tchaikovsky,0
241,7161,7161,763219,102452,They Said I Said,SugaRush Beat Company,0,Greys Anatomy,2005,All by Myself (#5.10),They Said I Said,sugarush beat company,1
92,3061,3061,395215,27231,Se me vais deixar,Tony Carreira,2008,Belmonte,2013,(#1.204),E Agora Tu Vais (Vais Deixar a Minha Vida),tony carreira,0
18,798,798,799421,153534,Mickey Mouse Clubhouse Theme,They Might Be Giants,2008,Mickey Mouse Clubhouse,2006,Minnie and Daisys Flower Shower (#3.28),Mickey Mouse Clubhouse theme,they might be giants,1
145,4578,4578,712305,354238,New York_ New York (Main Theme),The Boston Pops Orchestra / John Williams,0,Astͩrix & Obͩlix: Mission Clͩop͢tre,2002,,Darth Vaders Theme (Imperial March),john williams,0
150,4786,4786,385889,3412,I'm Your Boogie Man,White Zombie,2003,666 Park Avenue,2012,A Crowd of Demons (#1.5),Im Your Boogie Man (Sex On The Rocks Remix),white zombie,1
322,9613,9613,490755,172756,23 (Album Version),Jimmy Eat World,0,One Tree Hill,2003,Dont Take Me for Granted (#2.10),23,jimmy eat world,1
392,11587,11587,333551,559546,Just a Closer Walk With Thee,Patsy Cline,1990,Northfork,2003,,Just a Closer Walk with Thee,patsy cline,1
297,9004,9004,155870,485681,Symphony No. 100 'Military' (Rehearsal Sequence),The Royal Philharmonic Orchestra_ Sir Thomas Beecham,0,Interlude,1968,,Excerpts From Beethoven Symphony No. 5 - Finale,ludwig van beethoven+the royal philharmonic orchestra  conducted by ernest fleischmann,0
231,6917,6917,798089,696697,Love Theme,The Boston Pops Orchestra / John Williams,0,Tie ban shao,1984,,Raiders of the Lost Ark - Main Theme,john williams,0
66,2350,2350,942598,490684,Zehn kleine Klavierst�_cke_ Op. 12: No. 1_ March,Sergei Prokofiev,0,Je suis le seigneur du ch͢teau,1989,,Alexander Nevskii  Op. 78: Cantate,sergei prokofiev,0
379,11050,11050,402359,9885,This Christmas,Vonda Shepard,2000,Ally McBeal,1997,Boy to the World (#1.10),This Christmas,vonda shepard,1
403,11946,11946,564531,268404,Peer Gyant Suite No. 2_ Op. 55 Solveij's Lied,Edvard Grieg,0,The Simpsons,1989,Poppas Got a Brand New Badge (#13.22),Peer Gynt: Morning Mood,edvard grieg,1
140,4323,4323,293377,562937,Crazy Lowdown Ways,Ocean Colour Scene,2001,Ocean Colour Scene: Filmed from the Front Row,2001,,Crazy Lowdown Ways,ocean colour scene,1
101,3217,3217,815775,552368,Cantata No. 80 A Mighty Fortress Is Our God BWV 80: Chorale_ Cantata No. 80 The Word of God will firm abide against our foes assailing,Johann Sebastian Bach,0,Naked As We Came,2013,,Overture (Suite) No. 3 in D major  BWV 1068 - II. Air,johann sebastian bach+,0
345,10168,10168,548916,642834,Opus 17 (Don't You Worry 'Bout Me) (LP Version),Frankie Valli & The Four Seasons,0,That Night,1992,,BIG GIRLS DONT CRY,bob crewe+bob gaudio+frankie valli+the four seasons,0
247,7312,7312,833015,490687,Sarcasms_ Op. 17_ No. 1,Sergei Prokofiev,0,Je suis le seigneur du ch͢teau,1989,,Romeo et Juliette  Op. 64: Ballet,sergei prokofiev,0
362,10640,10640,193130,115111,The Desperate Man,The Black Keys,2004,Hung,2009,A Dick and a Dream or Fight the Honey (#1.10),Ill Be Your Man,dan auerbach+patrick j. carney+the black keys,0
17,786,786,89508,199252,I Gotta Feeling (Edit),The Black Eyed Peas,2009,Rugby League: Challenge Cup,2007,Fourth Round: Huddersfield vs. St Helens (#8.1),I Gotta Feeling,will.i.am+apl.de.ap+taboo+fergie+david guetta+the black eyed peas,1
146,4629,4629,579155,723977,Family Fun Day,The Slovak National Symphony Orchestra,0,Why We Ride,2013,,The Whole Family Rides,steven gutheinz+czech national symphony orchestra,0
315,9291,9291,307165,451702,In An 18th Century Drawing Room,Raymond Scott,1991,Gift Wrapped,1952,,In an 18th Century Drawing Room,raymond scott,1
220,6571,6571,468829,232264,Baby I Feel Good With You,Brian Hyland,0,Tamori kurabu,1982,The 100th Anniversary: Seibu Ikebukuro Line 2/2,Baby Face,brian hyland,0
30,1119,1119,543165,645863,Go West,Village People,1979,The Adventures of Priscilla  Queen of the Desert,1994,,Go West,jacques morali+henri belolo+victor willis+the village people,1
114,3650,3650,614429,386717,The Winding Staircase,New Radiant Storm King,2006,Catch and Release,2006,,The Winding Staircase,new radiant storm king,1
235,6989,6989,549498,718411,Batman Theme,Neal Hefti,1966,Waynes World 2,1993,,BATMAN THEME,neal hefti,1
103,3234,3234,857719,45719,Furr,Blitzen Trapper,2008,Chuck,2007,Chuck Versus the DeLorean (#2.10),Furr,blitzen trapper,1
219,6568,6568,47660,219532,Glen Tipton,Sun Kil Moon,2003,Sons of Anarchy,2008,Burnt and Purged Away (#4.12),Glenn Tipton,sun kil moon,1
274,8340,8340,722722,127424,Redemption Day,Sheryl Crow,1996,Katie,2012,Dying to Be Beautiful (#1.85),This Day,sheryl crow,0
176,5477,5477,484715,605828,Human Beat Box,Fat Boys,0,Scarface: The World Is Yours,2006,,Human Beat Box,the fat boys,1
191,5948,5948,753585,611257,We Went As Far As We Felt Like Going,The Pussycat Dolls,2004,Shark Tale,2004,,Far as We Felt Like Goin,kenny nolan d+bob crewe+the pussycat dolls,1
116,3777,3777,9771,65481,Solta,Pedro Khima,2007,Deixa-me Amar,2007,(#1.141),Solta,pedro khima,1
168,5236,5236,175293,260989,Living On Memories Of You,Dolly Parton,1974,The Porter Wagoner Show,1961,Bashful Brother Oswald (#1.501),I Will Always Love You,dolly parton,0
366,10697,10697,906274,340947,Piano Sonato No. 2 in B-Flat Minor_ Op. 35: Funeral March,London Philharmonic Orchestra,0,Afternoon of a Faun: Tanaquil Le Clercq,2013,,The Nutcracker  Op. 71a  Pas de Deux  Dance of the Prince and the Sugar-Plum Fairy,london symphony orchestra  / charles mackerras,0
120,3832,3832,798089,227527,Love Theme,The Boston Pops Orchestra / John Williams,0,Studio C,2012,(#6.10),The Imperial March (Darth Vaders Theme),john williams,0
218,6549,6549,934408,482497,The Planets_ Suite for Large Orchestra_ Op. 32: II. Venus - The Bringer of Peace,Saint Louis Symphony Orchestra and Walter Susskind,0,Il divo - La spettacolare vita di Giulio Andreotti,2008,,Danse macabre op. 40,camille saint-sa��ns+csr symphony orchestra,0
112,3628,3628,921814,433906,Salm - 2nd Movement,New Zealand Symphony Orchestra / William Southgate,0,Everything You Want,2005,,1st Movement,antonio vivaldi+the moscow international symphony orchestra,0
303,9103,9103,335070,38955,Stealing Cinderella,Chuck Wicks,2007,CMT Top 20 Countdown,2001,(2007-11-22),Stealing Cinderella,chuck wicks,1
136,4198,4198,746274,388013,Posh Girls,Scouting for Girls,2010,Chalet Girl,2011,,Posh Girls,scouting for girls,1
308,9164,9164,440966,13366,No es lo mismo,Alejandro Sanz,2003,Amores verdaderos,2012,Propuesta de trabajo (#1.2),No me compares,alejandro sanz,0
221,6580,6580,957142,543736,I Had The Craziest Dream,Harry James & His Orchestra,0,Mona Lisa Smile,2003,,Sh-Boom (Life Could Be a Dream),james keyes+carl feaster+floyd mcrae+claude feaster+james edwards+the trevor horn orchestra,0
126,3880,3880,752469,534804,I Saw Her Standing There,Paul McCartney,1990,Mask,1985,,I Want to Hold Your Hand,paul mccartney  / john lennon+the beatles,0
196,6077,6077,385101,12350,December Song (I Dreamed Of Christmas),George Michael,2009,American Idol: The Search for a Superstar,2002,Top 8 Perform (#11.25),How Will I Know,george merrill+shannon rubicam+narada michael walden+jessica sanchez,0
332,9823,9823,908935,303041,I'll House You,Jungle Brothers,1988,Top of the Pops,1964,(1998-07-10),Ill House You 98,the jungle brothers,1
423,12878,12878,563319,254770,A Swingin Safari,Bert Kaempfert And His Orchestra,2003,The Match Game,1962,(#4.253),A Swingin Safari (The Theme of The Match Game),bert kaempfert,1
133,4104,4104,187328,612482,Love Is A Many Splendored Thing,The Four Aces / Al Alberts,1991,Shifshuf Naim,1981,,Love is a Many Splendored Thing,sammy fain+lyrics by paul francis webster+the four aces,1
33,1174,1174,160521,702337,Che Cosse' L'amor,Vinicio Capossela,2010,Tre uomini e una gamba,1997,,Che coss�� lamor,vinicio capossela,1
418,12625,12625,120017,305705,Aqua Dub,Peyote Sound System,2005,True Blood,2008,Shake and Fingerpop (#2.4),Aqua Dub,peyote sound system,1
162,5176,5176,94542,689293,Emergency Performance Art Piece,The Most Serene Republic,2006,The Untitled Work of Paul Shepard,2010,,Emergency Performance Art Piece,the most serene republic,1
34,1253,1253,602739,688627,Cantique (XXX Version),Die Form,0,The Tunnel,2001,,Cantique 1,die form,1
44,1666,1666,474274,142658,There She Goes_ My Beautiful World (Amsterdam),Nick Cave & The Bad Seeds,0,Lowdown,2010,Cooper Scooper (#1.5),There She Goes  My Beautiful World,nick cave+the bad seeds,1
97,3138,3138,563596,343466,Bellini: Il Pirata: Che rechi tu?,Vincenzo Bellini,0,All About Steve,2009,,Casta Dive Che Inargenti from Norma,vincenzo bellini,0
85,2948,2948,922930,61629,Het Voetbalstadion (Catootje),Andrͩ van Duin,0,De Flip Fluitketel show,1980,,Lach om het Leven,andrͩ van duin,0
61,2272,2272,879071,667865,Two Little Orphans,Dolly Parton & Lynn Anderson,2003,The Kennedy Center Honors: A Celebration of the Performing Arts,2006,,Little Sparrow,dolly parton,0
167,5226,5226,21187,260989,I Will Always Love You,Dolly Parton and Vince Gill,2004,The Porter Wagoner Show,1961,Bashful Brother Oswald (#1.501),I Will Always Love You,dolly parton,1
199,6125,6125,111958,89587,Everybody Here Wants You,Jeff Buckley,1998,Flashforward,2009,137 Sekunden (#1.3),Lover  You Shouldve Come Over,jeff buckley,0
173,5377,5377,786348,721892,Love In Bloom,Spike Jones & His City Slickers,2006,When Time Expires,1997,,LOVE THOSE LAZY DAYS,sam winans+the la city slickers,0
229,6875,6875,906423,708898,Under Pressure (Rah Mix) (Radio Edit) (1999 Digital Remaster),Queen & David Bowie,1999,Underworld,2003,,Bring Me the Disco King (Loner Mix),david bowie,0
236,7098,7098,728432,685192,4 O'Clock Blues,Skip James,1994,The Soul of a Man,2003,,22-20 Blues,skip james,0
432,13211,13211,384331,238045,Testing 1_ 2_ 3 (Album Version),Barenaked Ladies,2003,The Big Bang Theory,2007,The Anxiety Optimization (#8.13),History of Everything (Instrumental version),barenaked ladies,0
375,10918,10918,173252,708406,Symphony No. 1 In B-Flat Major_ Op 9,Johann Sebastian Bach,0,Under Heaven,1998,,Brandenburg Concerto No. 5 in D Major bwv 1050 Allegro,johann sebastian bach,0
250,7338,7338,949050,413696,Coconut,Harry Nilsson,1989,Dick,1999,,Coconut,harry nilsson,1
108,3519,3519,608887,240877,Everybody Wants You (Live) (24-Bit Digitally Remastered 05),Billy Squier,2005,The Closer,2005,Standards and Practices (#1.13),Everybody Wants You,billy squier,1
406,12108,12108,867853,432136,Camino De Guanajuato,Josͩ Alfredo Jimenez Con Mariachi Vargas De Tecalitlan,0,Escuela para solteras,1965,,Camino de Guanajuato,josͩ alfredo jimͩnez,1
46,1711,1711,663657,162475,Canon In D Major,Johann Pachelbel,1977,My Name Is Earl,2005,Kept a Guy Locked in a Truck (#2.14),Canon in D,johann pachelbel,1
356,10502,10502,484673,83336,Les Sauvages,Les Sans Culottes,2002,Entourage,2004,Murphys Lie (#6.6),Les Sauvages,les sans culottes,1
371,10873,10873,136873,554298,Beautiful Noise,Neil Diamond,1976,Neil Diamond: Love at the Greek,1977,,Beautiful Noise,neil diamond+the neil diamond band,1
263,7893,7893,549520,491950,Never Gonna Sleep,Free Kitten,1997,Jidder,1998,,Never Gonna Sleep,free kitten,1
73,2692,2692,618260,300003,I Want Candy,The Count Bishops,0,Top of the Pops,1964,(1978-10-12),I Want Candy,bert berns+bob feldman+jerry goldstein+richard gottehrer+the count bishops,1
137,4215,4215,921265,608655,Dance To The Music,Sly & The Family Stone,1968,Semi-Pro,2008,,Dance To The Music,sly stone+sly+the family stone  (as sly+the family stone)+arrangement with sony bmg music entertainment,1
421,12751,12751,570972,575002,The Four Seasons - Spring - Allegro,Antonio Vivaldi,1989,Personal Space,2014,,Concerto in C Major for Mandolin  Strings & Basso Continuo (1. Allegro),antonio vivaldi,0
246,7297,7297,707032,716688,Let's Duet,John C. Reilly;Angela Correa,0,Walk Hard: The Dewey Cox Story,2007,,Lets Duet,charlie wadhams+benji hughes+john c. reilly+angela correa,1
253,7400,7400,872553,516729,Cello Concerto No. 2 in D Major_ Hob. VIIb/2: III. Allegro,Bamberg Symphony Orchestra,0,Les visiteurs,1993,,Concerto pour violon et orchestre en Mi mineur,felix mendelssohn-bartholdy+the czech symphony orchestra,0
29,1113,1113,773250,281180,You Give Love A Bad Name,Bon Jovi,1986,The Vampire Diaries,2009,Graduation (#4.23),You Give Love a Bad Name,jon bon jovi+desmond child+richie sambora+bon jovi,1
181,5585,5585,706119,240998,Better Move It On Home,Porter Wagoner & Dolly Parton,2009,The Collection,2006,The Collection: Dolly Parton (#1.48),Welcome Home,dolly parton,0
373,10913,10913,247188,708406,Mass in B Minor BWV 232: Gratias Agimus,Johann Sebastian Bach,0,Under Heaven,1998,,Brandenburg Concerto No. 5 in D Major bwv 1050 Allegro,johann sebastian bach,0
301,9081,9081,841574,614274,Ancient Airs And Dances Suite No 3: Italiana,The New Zealand Symphony Orchestra,0,Shutter Island,2010,,SUITE FOR SYMPHONIC STRINGS: NOCTURNE,lou harrison+the new professionals orchestra,0
51,1884,1884,732385,30313,Pink Panther Theme,Henry Mancini,1998,Bi no tsubo,2006,Ayu (#1.282),The Pink Panther Theme,henry mancini,1
364,10684,10684,687916,340947,Mountain Dance,Dave Grusin & The London Symphony Orchestra / Harvey Mason / Ian Underwood / Jeff Mironov / Rubens Bassini / Ed Walsh / Dave Grusin / Marcus Miller,1980,Afternoon of a Faun: Tanaquil Le Clercq,2013,,The Nutcracker  Op. 71a  Pas de Deux  Dance of the Prince and the Sugar-Plum Fairy,london symphony orchestra  / charles mackerras,0
390,11344,11344,780552,526071,Suddenly I See (Live),KT Tunstall,2007,Love  Rosie,2014,,Suddenly I See,kt tunstall,1
217,6515,6515,710617,442561,They Didn't Believe Me (Original),Quincy Jones & Dinah Washington,0,For Love of Ivy,1968,,You Put It on Me,quincy jones,0
431,13069,13069,213658,660975,Je T'Aime... Moi Non Plus (Vibrators Remix - Versi,Serge Gainsbourg,0,The Full Monty,1997,,Je taime...moi non plus,serge gainsbourg,1
27,1093,1093,240709,299624,Wuthering Heights,Kate Bush,1977,Top of the Pops,1964,(1978-03-16),Wuthering Heights,kate bush,1
2,200,200,384331,238323,Testing 1_ 2_ 3 (Album Version),Barenaked Ladies,2003,The Big Bang Theory,2007,The Leftover Thermalization (#8.18),History of Everything (Instrumental version),barenaked ladies,0
259,7664,7664,296275,733176,Triangles & Rhombuses,Boards of Canada,1998,i,2004,,Triangles And Rhombuses,boards of canada,1
156,5055,5055,648460,26081,Eras Tu (A Metade De Mim),Tony Carreira,0,Belmonte,2013,(#1.100),E Agora Tu Vais (Vais Deixar a Minha Vida),tony carreira,0
255,7540,7540,379844,516382,Dialogue des Carmͩlites (2004 Digital Remaster)_ Premier Acte_ Troisi��me tableau: Prͩlude,Pierre Dervaux/Choeurs et Orchestre du Thͩ͢tre National de l'Opͩra_ Paris,0,Les onze mille verges,1975,,Duo Des Chattes,michel colombier  et son orchestre,0
416,12566,12566,344072,319804,The Nutcracker Op.71-atto 2 - Chinese Dance,Pyotr Il'yich Tchaikovsky,0,Win Ben Steins Money,1997,,The Nutcracker - Russian Dance,pyotr ilyich tchaikovsky,0
346,10191,10191,3944,140613,I'm Not Worth the Tears,Dolly Parton,1967,Live with Regis and Kathie Lee,1988,(1998-11-24),The Salt In My Tears,dolly parton,0
138,4293,4293,355393,604011,Wait,Sarah McLachlan,1993,Sarah McLachlan: Mirrorball,1999,,Wait,sarah mclachlan,1
212,6451,6451,764342,68677,Alice's Theme,Danny Elfman,2010,Desperate Housewives,2004,Nice Is Different Than Good (#6.1),Desperate Housewives Theme,danny elfman,0
104,3308,3308,400595,90672,The Way It Is,Bruce Hornsby and the Range,1986,Formula 1: BBC Sport,2009,The British Grand Prix: Highlights (#2.30),The Way It Is,bruce hornsby+john hornsby+the range,1
310,9196,9196,657987,3260,Baby Sister,Dolly Parton,2008,60 Minutes,1968,(1986-05-18),Baby Im Burnin,dolly parton,0
306,9155,9155,344072,44409,The Nutcracker Op.71-atto 2 - Chinese Dance,Pyotr Il'yich Tchaikovsky,0,Charlies Angels,1976,Mother Goose Is Running for His Life (#2.20),The Nutcracker: Dance of the Sugar Plum Fairy,pyotr ilyich tchaikovsky,1
311,9239,9239,566510,390892,Swing 39,Django Reinhardt - Stͩphane Grappelli,1997,Chocolat,2000,,Minor Swing,django reinhardt /stͩphane grappelli,0
215,6487,6487,906500,729221,Dance With Me,Peter Brown,0,Yesterdays Hero,1979,,Dance With Me,peter h. brown,1
348,10212,10212,468829,232270,Baby I Feel Good With You,Brian Hyland,0,Tamori kurabu,1982,The Best Model Railroad Store,Baby Face,brian hyland,0
189,5918,5918,860444,21852,Destin,Cͩline Dion,1995,Banda sonora,2007,(#1.11),Destin,cͩline dion,1
214,6484,6484,459993,305783,The Man Comes Around,Johnny Cash,2002,True Blood,2008,The Fourth Man in the Fire (#1.8),The Fourth Man in the Fire,johnny cash,0
35,1268,1268,139536,196424,Trash Day (Parody of 'Hot In Herre' by Nelly),Weird Al' Yankovic,2003,Robot Chicken,2005,The Munnery (#2.12),Weasel Stomping Day,weird al yankovic,0
230,6915,6915,712305,696697,New York_ New York (Main Theme),The Boston Pops Orchestra / John Williams,0,Tie ban shao,1984,,Raiders of the Lost Ark - Main Theme,john williams,0
204,6285,6285,386886,577132,High Hopes (Live In Gdansk),David Gilmour,0,Pink Floyd: P. U. L. S. E. Live at Earls Court,1994,,High Hopes,david gilmour,1
234,6947,6947,952441,296281,9 to 5,Dolly Parton,1980,Today,1982,(2011-06-07),9 to 5,dolly parton,1
293,8947,8947,949827,300623,Right Down The Line,Gerry Rafferty,1978,Top of the Pops,1964,(1979-09-13),Get it Right Next Time,gerry rafferty,0
239,7146,7146,281769,270790,Mozart: Le Nozze di Figaro: Eccovi_ o caro amico_ il dolce frutto... Dove sono i bei momenti,Wolfgang Amadeus Mozart,0,The Strain,2014,The Disappeared (#1.9),O Isis und Osiris,wolfgang amadeus mozart,0
210,6423,6423,632317,13455,Redneck Woman,Gretchen Wilson,2004,Amͩrica,2005,(2005-03-14),Redneck Woman,gretchen wilson,1
67,2351,2351,120695,357899,What Do You Have To Do (To Stay OnThe Right Side Of Love),The Supremes / Four Tops,0,Bad Company: The Official Authorised 40th Anniversary Documentary,2014,,Loving You Is Sweeter Than Ever,ivory joe hunter+stevie wonder+paul rodgers+the four tops,0
24,1016,1016,873780,450341,I'll Be Your Mirror,The Velvet Underground / Lou Reed,1966,Georgia,1995,,ILL BE YOUR MIRROR,lou reed,1
295,8980,8980,307853,485681,Symphony No. 4 in F minor Op. 36 (2003 Digital Remaster): IV.     Allegro con fuoco,Royal Philharmonic Orchestra/Sir Thomas Beecham,0,Interlude,1968,,Excerpts From Beethoven Symphony No. 5 - Finale,ludwig van beethoven+the royal philharmonic orchestra  conducted by ernest fleischmann,0
216,6514,6514,469404,442561,You Let My Love Grow Cold (Original),Quincy Jones & Dinah Washington,0,For Love of Ivy,1968,,You Put It on Me,quincy jones,0
223,6680,6680,441735,357215,Rock And Roll Hoochie Koo,Rick Derringer,1990,Bachelorette,2012,,Rock and Roll  Hoochie Koo,rick derringer,1
129,3959,3959,285588,442215,Life Of Illusion,Foo Fighters,2003,Foo Fighters: Back and Forth,2011,,All My Life,foo fighters,0
111,3577,3577,426868,8694,Scherzo Fantastique_ Op. 3,Igor Stravinsky,0,Aleph  lectures contades,1999,Anton Tx��khov,Scherzo a la russe,igor stravinsky,0
166,5218,5218,866719,260989,Here You Come Again,Dolly Parton,1977,The Porter Wagoner Show,1961,Bashful Brother Oswald (#1.501),I Will Always Love You,dolly parton,0
349,10224,10224,178438,458325,Red Letters,The Ruby Doe,2005,Grassroots,2012,,Red Letters,the ruby doe,1
40,1542,1542,704974,287654,It's The Same Old Song/Reach Out I'll Be There,Boyz II Men,2007,The X Factor,2004,Live Results Show 3 (#4.16),Its the Same Old Song,brian holland+lamont dozier+eddie holland+boys ii men,1
317,9317,9317,927038,574404,Ultimo Arlecchino Alternate Take 2,Ennio Morricone,1975,Per qualche dollaro in pi�_,1965,,Indios Flashback Pt. 2,ennio morricone,0
79,2801,2801,815775,226944,Cantata No. 80 A Mighty Fortress Is Our God BWV 80: Chorale_ Cantata No. 80 The Word of God will firm abide against our foes assailing,Johann Sebastian Bach,0,Street Fighter: The Animated Series,1995,So  You Want to Be in Pictures (#2.5),Toccata and Fugue in D Minor  BWV 565,johann sebastian bach,0
430,13057,13057,958376,695438,The End Of The World,Slim Whitman,0,Thorne: Sleepyhead,2010,,The End Of The World,slim whitman,1
350,10237,10237,606182,466670,Corcovado (Quiet Nights Of Quiet Stars),Stan Getz / Astrud Gilberto / Antonio Carlos Jobim / Joͣo Gilberto,1984,Heartbreakers,2001,,Quiet Nights (of Quiet Stars),antonio carlos jobim+gene lees+sarah vaughan,1
13,686,686,456261,525716,Searching For A Heart,Warren Zevon,1991,Love at Large,1990,,Searching For A Heart,warren zevon,1
363,10651,10651,177821,340947,Symphony No. 1 In C Minor Op. 68: Un Poco Allegretto e Grazioso,The London Fox Orchestra,0,Afternoon of a Faun: Tanaquil Le Clercq,2013,,The Nutcracker  Op. 71a  Pas de Deux  Dance of the Prince and the Sugar-Plum Fairy,london symphony orchestra  / charles mackerras,0
435,13286,13286,755624,647547,Let Me (Let Me Be Your Lover),Jimmy 'Bo' Horne,0,The Baker,2007,,Let me (let you be your lover),harry wayne casey+richard finch+jimmy bo horne,1
228,6874,6874,535557,708898,Pallas Athena (Gone Midnight Mix) (2003 Digital Remaster),David Bowie,0,Underworld,2003,,Bring Me the Disco King (Loner Mix),david bowie,0
161,5109,5109,173252,367944,Symphony No. 1 In B-Flat Major_ Op 9,Johann Sebastian Bach,0,Bill W.,2012,,Unaccompanied Cello Suite No. 6 in D Major  BWV 1012- Gavotte I/II,johann sebastian bach+yo-yo ma+arrangement with sony music licensing,0
83,2930,2930,900065,582985,Mambo De Chatanooga,Pͩrez Prado,0,Primary Colors,1998,,SILBANO MAMBO,d͍maso pͩrez prado,0
438,13330,13330,394428,724131,Cantata No. 4 Christ Lay in the Bonds of Death BWV 4: Final Chorale  With Loving Hearts We Keep Today the Feast God Hath Us Given,Johann Sebastian Bach,0,Wie will ich lustig lachen,1984,,Wie will ich lustig lachen from Zerreiͻet  zersprenget  zertr�_mmert die Gruft  BWV 205,johann sebastian bach,0
415,12560,12560,771854,218947,�_ voc�_ dizendo,Ronei Jorge e os ladr͵es de bicicleta,0,Som Brasil,2007,Rita Lee (#4.2),Mania de Voc�_,rita lee+roberto de carvalho+lafayette e os tremend͵es,0
110,3557,3557,900434,102288,Take The A Train,Duke Ellington And His Orchestra,1969,Great Railway Journeys,1994,Singapore to Bangkok (#3.7),Take the A Train,billy strayhorn+duke ellington orchestra  (as duke ellington+his orchestra),1
149,4773,4773,897241,582183,Looking for paradise (Feat. Alicia Keys) (Pedro del Moral_ John Jacobsen & Anzwer Remix),Alejandro Sanz,0,Premios Principales 2010,2010,,Looking for Paradise,alejandro sanz,1
152,4892,4892,345743,301111,Greatest Cockney Rip-Off,Cockney Rejects,0,Top of the Pops,1964,(1980-05-08),The Greatest Cockney Rip-Off,cockney rejects,1
16,783,783,563319,254595,A Swingin Safari,Bert Kaempfert And His Orchestra,2003,The Match Game,1962,(#2.40),A Swingin Safari (The MATCH GamE),bert kaempfert,1
299,9028,9028,694433,343162,Clarinet Concerto 1st Movement,Wolfgang Amadeus Mozart,0,Alice ou la derni��re fugue,1977,,Le 24��me concerto en ut mineur,wolfgang amadeus mozart+paul von schilhawski,0
109,3547,3547,421328,182189,You'll Never Walk Alone,Richard Rodgers_ Oscar Hammerstein II,1994,Playing the Field,1998,(#2.7),Youll Never Walk Alone,richard rodgers+oscar hammerstein ii+lesley sharp+john thomson+melanie hill+adele mccormack+james nesbitt+ricky tomlinson+debra stephenson+tom moore+tracy whitwell+ralph ineson+marsha thomason+emma rydal,1
312,9252,9252,713790,425566,Serenade For Strings No. 13 In G Major_ KV 525 'Eine Kleine Nachtmusik,Wolfgang Amadeus Mozart,0,Edward II,1991,,Divertimento in F major  K138 - Andante,wolfgang amadeus mozart+elektra quartet,0
139,4311,4311,798089,21002,Love Theme,The Boston Pops Orchestra / John Williams,0,BBC Proms,2011,Prom 38: Film Music Night (#1.12),Hedwigs Theme,john williams,0
