,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists,gold
53,53,20771,5778,Off The Wall,James Cotton,0,@Elevenish,2016,(#1.10),Wax Off,nick kingsley james donald davies,0
54,54,20771,235347,Off The Wall,James Cotton,0,The Actress,2010,The Photographer (#2.8),Back Off Move Away (Treasure Fingers Remix),james curd,0
55,55,21087,177091,Break It To Me Gently,Brenda Lee,1987,Pan Am,2011,Truth or Dare (#1.7),Break It to Me Gently,brenda lee,1
56,56,21127,44578,Building A Mystery (Live),Sarah McLachlan,1999,Charmed,1998,Something Wicca This Way Comes (#1.1),Building a mystery,sarah mclachlan,1
57,57,21191,312393,Dance To The Music Of The World - Original Re-Mix (Practice Session),Prince With 94 East,0,Verbotene Liebe,1995,(#1.2702),The dance,prince,
58,58,21998,300345,Knock on Wood,Eddie Floyd,1967,Top of the Pops,1964,(1979-04-19),Knock on Wood,eddie floyd steve cropper amii stewart,1
59,59,22203,384114,Dialogue et final si j'avais su,Maurice Chevalier / FranÃŒÂ_oise Dorin / Marina Hottine / Suzanne Gabriello / Jo Charrier / Marcel Carpentier / Perrette Souplex / Andree Grandjean / Cadet Rivers / Raymond Girerd / Orchestre De Jacques-Henri Rys / Jacques Henri Rys,0,Cantando dietro i paraventi,2003,,Lenfant et les sortilÃƒÅ’Ã‚Â¬ges,maurice ravel,0
60,60,24707,477225,Because You Loved Me (Theme from 'Up Close and Personal'),CÃŒÂ©line Dion,1996,Huling sagupaan,1996,,Because You Loved Me,cÃƒÅ’Ã‚Â©line dion diane warren,1
61,61,24707,709966,Because You Loved Me (Theme from 'Up Close and Personal'),CÃŒÂ©line Dion,1996,Up Close & Personal,1996,,Because You Loved Me,cÃƒÅ’Ã‚Â©line dion,1
62,62,25418,350734,Edgar The Party Man,John Gorka,1996,Annie Oakley,1935,,The Red Man,john philip sousa,0
63,63,27898,572833,Aaja Aaja Main Hoon Pyar Tera,Asha Bhosle & Mohd. Rafi,0,Pati Parmeshwar,1958,,Meri Thokar Se Dharti Ka Bhagyachakra Ghumta Hai  Main Hoon,avinash vyas asha bhosle,0
64,64,27985,257227,If I Get Lucky,The Johnny Shines Blues Band,2002,The Naked Brothers Band,2007,,If Thats Not Love,nat wolff naked brothers band,0
65,65,27985,367052,If I Get Lucky,The Johnny Shines Blues Band,2002,Big Business Girl,1931,,If I Could Be with You,james p. johnson frank albertson   with band,0
66,66,27985,393823,If I Get Lucky,The Johnny Shines Blues Band,2002,Cliff Edwards and His Buckaroos,1941,,I Cant Get Along  Little Dogie,m.k. jerome cliff edwards his band,0
67,67,28018,624137,Bold Soul Sister,Ike & Tina Turner,1969,Soul to Soul,1971,,Soul to Soul,ike turner tina turner,0
68,68,28746,256643,One Woman Man,Dave Hollister,2001,The Muppet Show,1976,Bernadette Peters (#2.12),Just One Person,larry grossman bernadette peters jim henson frank oz richard hunt dave goelz jerry nelson,0
69,69,28871,297112,First Kiss,David Arkenstone,0,Todds Pop Song Reviews,2009,Top Ten Worst Hit Songs of 2009 (#2.30),Kiss Me Thru the Phone,soulja boy james scheffer david siegel sammie bush,0
70,70,28871,588173,First Kiss,David Arkenstone,0,Radio Unnameable,2012,,When First Unto this Country,david bromberg,0
71,71,29227,164011,Hoidetaan kÃŒ_mppÃŒ_ BerliinistÃŒ_,SAMULI PUTRO,2009,MÃƒÅ’Ã‚Â_kki,2010,(#1.1),Hoidetaan kÃƒÅ’_mppÃƒÅ’_ BerliinistÃƒÅ’_,samuli putro,1
72,72,29828,346530,Peppermint Twist,Joey Dee and the Starliters,1973,American Graffiti,1973,,Peppermint Twist,joey dee henry glover,1
73,73,29828,349375,Peppermint Twist,Joey Dee and the Starliters,1973,Andre,1994,,Peppermint Twist,joey dee henry glover the starlighters,1
74,74,29870,693386,There's No Business Like Show Business (Reprise #2),Bernadette Peters/Annie Get Your Gun - 1999 Broadway Cast,0,Theres No Business Like Show Business,1954,,Theres No Business Like Show Business,irving berlin the cast,
75,75,30017,298364,Too Much Heaven (Album Version),Bee Gees,1979,Top club dimanche,1978,(1978-12-24),Too Much Heaven,barry gibb maurice gibb robin gibb the bee gees,1
76,76,30081,273250,Mr. Brightside (Jacques Lu Cont's Thin White Duke Mix),The Killers,2005,The Tonight Show Starring Jimmy Fallon,2014,Justin Timberlake/Ellen DeGeneres/Macklemore & Ryan Lewis (#3.2),Mr. Brightside,brandon flowers dave keuning the killers,1
77,77,30284,270520,When You Wish Upon A Star,Cliff Edwards/Disney Studio Chorus,1991,The Steve Allen Show,1956,(#1.9),When My Dream Boat Comes Home,cliff friend dave franklin fats domino,0
78,78,30284,404619,When You Wish Upon A Star,Cliff Edwards/Disney Studio Chorus,1991,Dancing Pirate,1936,,When Youre Dancing the Waltz,richard rodgers lorenz hart charles collins steffi duna chorus,0
79,79,30623,239674,Let It All Hang Out,Jonathan King,2001,The Blues,2003,The Road to Memphis (#1.3),Let the Good Times Roll,fleecie moore spo-de-odee b.b. king the memphis all-stars,0
80,80,32445,155043,The Time Is Now,WWE John Cena and Tha Trademarc,0,Miss Guided,2008,Pool Party (#1.5),Party Time,bob mair nick vincent richard trapp st. john,0
81,81,32445,711230,The Time Is Now,WWE John Cena and Tha Trademarc,0,Valentines Day,2010,,Every Time You Smiled,john debney glen ballard carina round,0
82,82,32456,546600,Where The Boat Leaves From (Album),Zac Brown Band,2007,Mr. Deeds,2002,,Where Are You Going,dave matthews dave matthews band,0
83,83,32560,686838,In The Mood For Swing,Lionel Hampton & His Orchestra,0,The Swing of Things,2013,,In the Mood,wingy manone andy razaf joe garland glenn miller his orchestra,0
84,84,32648,338836,For Better or Worse,Sir Charles Jones,0,Absolute Beginners,1986,,Better Git It in Your Soul (The Hot and the Cool),charles mingus,0
85,85,32858,567137,Let Her Dance,Bobby Fuller Four,1965,Opry Video Classics: Duets,2007,,Let It Be Me,gilbert bÃƒÅ’Ã‚Â©caud mann curtis pierre delanoÃƒÅ’Ãƒâ€¡ skeeter davis bobby bare,0
86,86,34444,370013,Lighting The Flame (World),Peter Kater,0,Blast from the Past,1999,,Its the End of the World As We Know It,michael stipe peter buck mike mills r.e.m.,0
87,87,34877,177880,Winter Fawn,Matt Pond PA,2010,Parenthood,2010,Lean In (#6.9),Winter,matt corby,0
88,88,35012,544172,Hey Dude,Adam Green,2006,Monogamy,2010,,Hey Jo,dana adam shapiro lindsay marcus   (as bummer lazarus),0
89,89,35758,643563,You Should Be Dancing [Live - Las Vegas 1997] (Album Version),Bee Gees,1998,The 70s,2000,,You Should Be Dancing,barry gibb robin gibb maurice gibb the bee gees,1
90,90,36419,482049,Boys From The County Hell,The Pogues,1984,If I Should Fall from Grace: The Shane MacGowan Story,2001,,Boys from County Hell,the pogues,1
91,91,36978,691737,I've Got A Crush On You,New York Philharmonic;Zubin Mehta,0,The Wizard,1989,, (Youve Got It) The Right Stuff,maurice starr new kids on the block,0
92,92,37071,303359,We Will Rock You (Live In Ukraine),Queen + Paul Rodgers,0,Top of the Pops,1964,(2000-07-07),We Will Rock You,five   queen,1
93,93,37071,402831,We Will Rock You (Live In Ukraine),Queen + Paul Rodgers,0,D2: The Mighty Ducks,1994,,WE WILL ROCK YOU,brian may queen,1
94,94,40164,372657,Vice Versa Love,Barrington Levy,1998,Boca,1994,,VICE VERSE LOVE,barrington levy phil roy bob thiele,1
95,95,41681,171425,Me So Horny,The 2 Live Crew,2007,One Hit Wonderland,2012,Baby Got Back (#1.2),Me So Horny,luther campbell brother marquis mr. mixx ricardo williams fresh kid ice 2 live crew,1
96,96,42185,298458,Firestarter,The Prodigy,1996,Top of the Pops 2,1994,TOTP2 Presents the Nineties,Firestarter,kim deal anne dudley keith flint trevor horn liam howlett jonathan jeczalik gary langan paul morley the prodigy,1
97,97,44262,301122,No Doubt About It,Hot Chocolate,1980,Top of the Pops,1964,(1980-05-15),No Doubt About It,hot chocolate,1
98,98,45149,287701,Young Hunting,Nancy Kerr & James Fagan,0,The X Factor,2004,Live Results Show 7 (#9.25),Young,union j jahmene douglas rylan clark-neal christopher maloney ella henderson james arthur peter ibsen alistair tennant richard rawson,0
99,99,45149,477748,Young Hunting,Nancy Kerr & James Fagan,0,Hunting for Herschell,2003,,Suite Hunting,j. michael james,0
100,100,45719,4262,Bridal Chorus,Richard Wagner / Otto Sieben,1991,7th Heaven,1996,We Do (#7.18),Bridal Chorus,richard wagner,1
101,101,45719,133490,Bridal Chorus,Richard Wagner / Otto Sieben,1991,Lab Rats,2012,Bob Zombie (#4.16),Bridal Chorus (Here Comes The Bride),richard wagner,1
102,102,45719,145406,Bridal Chorus,Richard Wagner / Otto Sieben,1991,M*A*S*H,1972,Goodbye  Farewell  and Amen (#11.16),Bridal Chorus,richard wagner,
103,103,45719,199943,Bridal Chorus,Richard Wagner / Otto Sieben,1991,Sabrina  the Teenage Witch,1996,Soul Mates (#7.22),Bridal Chorus,richard wagner robert picardo,
104,104,45719,257368,Bridal Chorus,Richard Wagner / Otto Sieben,1991,The Nanny,1993,Stop the Wedding  I Want to Get Off (#1.16),Bridal Chorus,richard wagner,
105,105,45719,359466,Bridal Chorus,Richard Wagner / Otto Sieben,1991,Banjo on My Knee,1936,,Bridal Chorus (Here Comes the Bride),richard wagner,
106,106,45719,404308,Bridal Chorus,Richard Wagner / Otto Sieben,1991,Dance Hall,1941,,Bridal Chorus,richard wagner,
107,107,45719,423347,Bridal Chorus,Richard Wagner / Otto Sieben,1991,Dummy,2002,,Bridal Chorus (Here Comes the Bride),richard wagner,
108,108,45719,479180,Bridal Chorus,Richard Wagner / Otto Sieben,1991,I Live for Love,1935,,Bridal Chorus,richard wagner,
109,109,45719,529264,Bridal Chorus,Richard Wagner / Otto Sieben,1991,Madea Goes to Jail,2009,,Bridal March,richard wagner jay weigel,
110,110,46297,556120,Evening Of Light (2007 Remastered LP Version),Nico,0,Nico Icon,1995,,Evening of Light,nico,1
111,111,46682,29718,Pump Me Up,DJ Jazzy Jeff & The Fresh Prince;Will Smith,0,Best Week Ever,2013,(#1.11),Start Me Up,august wisbon dj roc,0
112,112,46682,595521,Pump Me Up,DJ Jazzy Jeff & The Fresh Prince;Will Smith,0,Risky Business,1983,,The Pump,tony hymas simon phillips jeff beck,0
113,113,46762,345028,Everything's Alright (Panpipes - from Jesus Christ Superstar),Andrew Lloyd Webber,0,Along Came Polly,2004,,EVERYTHINGS ALRIGHT,andrew lloyd webber tim rice,1
114,114,46792,437150,Shut Up B***h Intro (Explicit Album Version),Lil' Kim,2005,Fast Money,2006,,Get Up,r. kim aka chan,0
115,115,46964,519850,Cocinando Suave,Ray Barretto,1962,Little Birds,2011,,Cocinando Suave,ray barretto,1
116,116,47360,342917,Billion Dollar Babies,Alice Cooper,1973,Alice Cooper: The Nightmare Returns,1989,,Billion Dollar Babies,alice cooper michael bruce neal smith reggie vinson,1
117,117,47825,643267,A Good Man Is Hard To Find,Les Brown,2001,Thats Entertainment  Part II,1976,,Good Morning,nacio herb brown gene kelly debbie reynolds donald oconnor,0
118,118,47930,468130,Smoke Gets In Your Eyes,The Platters,1968,Hello  My Name Is Doris,2015,,Smoke Gets In Your Eyes,otto a. harbach jerome kern the platters,1
119,119,48010,281882,AWY FRM U,Oberhofer,2010,The Vampire Diaries,2009,We All Go a Little Mad Sometimes (#4.6),Away Frm U,oberhofer,1
120,120,48872,135268,Save Me (Rolling Stone Original Version),Unwritten Law,0,Late Show with David Letterman,1993,(#12.99),Save Me,aimee allen scott russo linda perry unwritten law,1
121,121,50937,9858,Falling In Love (LP Version),Randy Newman,1988,Ally McBeal,1997,Ally McBeal: The Musical  Almost (#3.21),Falling In Love,randy newman vonda shepard,1
122,122,51016,530346,Both Sides Now (Live LP Version),Joni Mitchell,1974,Magkapatid,2002,,Both Sides Now,music lyrics joni mitchell sharon cuneta,1
123,123,51754,331507,Aguirre I (L'acrime di rei),Popol Vuh,0,A Bigger Splash,2015,,Aguirre  Der Zorn Gottes (Lacrime Di Re),florian fricke popol vuh,1
124,124,53070,434148,Goodnight Boys,Tim Rogers,2007,Evita,1996,,Goodnight and Thank You,tim rice andrew lloyd webber madonna antonio banderas vera fogwill marcelo alejandro auchelli luis alday luis boccia,0
125,125,54612,643487,Volunteers,Marty Balin,1992,The 60s,1999,,Volunteers,marty balin paul kantner jefferson airplane,1
126,126,54807,48681,En la otra orilla,Rosana,2001,CompaÃƒÅ’Ã‚Â±eros,1998,Nos han engaÃƒÅ’Ã‚Â±ado (#8.5),En la otra orilla,rosana arbelo,1
127,127,54834,44783,The Four Seasons - Summer - Presto,Antonio Vivaldi,1998,Chefs Table,2015,Enrique Olvera (#2.4),Winter 1 (from The Four Seasons),antonio vivaldi max richter,0
128,128,54834,355957,The Four Seasons - Summer - Presto,Antonio Vivaldi,1998,Away We Go,2009,,The Four Seasons Spring Violin Concerto in E. Allegro,antonio vivaldi royal philharmonic orchestra,0
129,129,54916,269502,You're Gonna Come To Me,Diana Ross & The Supremes,0,The Sonny and Cher Show,1976,(#1.8),Im Gonna Make You Love Me / My World Is Empty Without You,kenny gamble jerry ross also co-attributed to jerry williams leon huff  / brian holland lamont dozier eddie holland sonny bono cher,0
130,130,54916,613283,You're Gonna Come To Me,Diana Ross & The Supremes,0,Short Cuts,1993,,Im Gonna Go Fishin,duke ellington annie ross the low note quintet,0
131,131,55255,142137,Dream Police,Cheap Trick,1979,Lost,2004,The Lie (#5.2),Dream Police,rick nielsen cheap trick,1
132,132,55255,389291,Dream Police,Cheap Trick,1979,Cheap Trick: From Tokyo to You,2004,,Dream Police,rick nielsen cheap trick,
133,133,56486,42717,The Man With The Magic Touch,The Brian Setzer Orchestra,1996,Cartoon Superheroes Abridged,2015,The Movie (#1.6),Iron Man 3 Theme,brian tyler,0
134,134,56486,393392,The Man With The Magic Touch,The Brian Setzer Orchestra,1996,Classic Widows,1995,,Odd Man Out  Prelude,william alwyn london symphony orchestra,0
135,135,56863,191729,Communication Breakdown ('Top Gear'  Live Version From BBC Sessions),Led Zeppelin,0,Rage,1987,The Church Guest Program Rage,Communication Breakdown,jimmy page john paul jones john bonham led zeppelin,1
136,136,57215,345111,Latch Key Kids (Album Version),Bad Religion,1982,Along the Way,1992,,Latch Key Kids,greg graffin bad religion,1
137,137,57457,191319,Come on in This House,The Paul Butterfield Blues Band,1996,Radio 2: In Concert,2010,Paul Weller,Come On Lets Go,paul weller,0
138,138,57457,278223,Come on in This House,The Paul Butterfield Blues Band,1996,The Tonight Show with Jay Leno,1992,(#20.146),Come On Get It,lenny kravitz craig ross the tonight show band,0
139,139,57457,391571,Come on in This House,The Paul Butterfield Blues Band,1996,Christmas at Pee Wees Playhouse,1988,,O Come All Ye Faithful/Deck the Halls/It Came Upon a Midnight Clear,frederick oakeley  / traditional tune english lyrics by thomas oliphant   / lyrics by edmund hamilton sears music by richard storrs willis paul reubens cast,0
140,140,57832,241498,The Man On The Flying Trapeze,Eddie Cantor,1994,The Danny Kaye Show,1963,(#1.4),When the Song and Dance Man Came to Town,danny kaye mary tyler moore eddie foy jr.,0
141,141,57832,500215,The Man On The Flying Trapeze,Eddie Cantor,1994,Kid Millions,1934,,The Man on the Flying Trapeze,gaston lyle eddie cantor,1
142,142,59716,459085,Crank It Up,David Banner / Static,0,Greta,2009,,Toss It Up,david hilker john costello,0
143,143,59777,437006,Can't Go On,David Coverdale & Whitesnake,0,Fast Break,1979,,Go for It (Disco),david shire james di pasquale billy preston syreeta,0
144,144,60232,483563,Fantastic That's You,Oliver Nelson,1966,In Debt We Trust: America Before the Bubble Bursts,2006,,Plastic Fantastic,clifford j. tasner arlys alford david kaufman mike nelson,0
145,145,60273,91103,You're So Fine (1990 Digital Remaster),Steve Miller Band,1968,Fraggle Rock,1983,Dont Cry Over Spilt Milk (#1.10),Feel So Bad,philip balsam dennis lee steve whitmire dave goelz kathryn mullen karen prell,0
146,146,60273,627291,You're So Fine (1990 Digital Remaster),Steve Miller Band,1968,Squeeze Play,1979,,Seems So Nice,steve sarabande scot paris,0
147,147,61728,441273,You've Really Got A Hold On Me,Smokey Robinson & The Miracles,1990,Flipped,2010,,Youve Really Got A Hold On Me,smokey robinson the miracles,1
148,148,61737,480768,I Turn To You,The John Earl Walker Band,0,Ill Turn to You,1946,,Ill Turn to You,john mchugh,0
149,149,61880,670213,When I See You,Macy Gray,2002,The Life and Death of Colonel Blimp,1943,,I See You Everywhere,allan gray,0
150,150,61977,339669,The Real Thing,Nick Cave & Warren Ellis,2010,Ada,1961,,May the Lord Bless You Real Good,warren roberts wally fowler,0
151,151,62002,364553,Lets Go Instrumental,DJ Slugo,0,Ben et Thomas,2004,,Lets Go For A Ride,josh colburn dj patton josh spataro rob wells joey wells eleventeen,0
152,152,62055,438652,Sweet Lovin' Baby,Jimmy Witherspoon,2005,Fido,2006,,Sweet Lovin Baby,jimmy witherspoon,1
153,153,62183,381032,Mr. Tambourine Man,Bob Dylan,1965,By Dawn,2011,,Mr. Crowley,ozzy osbourne randy rhoads bob daisley arrangement with sony music licensing,0
154,154,62183,643479,Mr. Tambourine Man,Bob Dylan,1965,The 60s,1999,,Mr. Tambourine Man,bob dylan,1
155,155,62822,570301,Rum Cay,Jan Hammer,1987,Palm Harbor Vice 2: Brotherhood of the Monkey,1993,,Rum Cay,jan hammer,1
156,156,64466,620333,Let Him Fly,Patty Griffin,1996,Snowriders II,1997,,Let Him Fly,patti griffin,1
157,157,65546,691271,The Michael Vick Song,Tim Wilson,2005,The Wicker Tree,2011,,The Wicker Tree Song,robin hardy keith easdale june nelson gordon wilson stuart glasgow clyderbank male voice choir,0
158,158,65892,511954,Seeds Of Night,The Cave Singers,2007,Last Night,2010,,Seeds of Night,derek fudesco marty lund peter quirk the cave singers,1
159,159,66313,365565,MacArthur Park,Jimmy Webb,1996,Bette Midler in Concert: Diva Las Vegas,1997,,MacArthur Park,jimmy webb bette midler,1
160,160,66313,453056,MacArthur Park,Jimmy Webb,1996,Glen Campbell: Ill Be Me,2014,,MacArthur Park,jimmy webb glen campbell,1
161,161,66385,152615,One Step Closer [Live At Milton Keynes],Linkin Park,2008,Metal Evolution,2011,Nu Metal (#1.8),One Step Closer,linkin park,1
162,162,67558,237594,Concerto No. 2 in C Minor for Piano and Orchestra_ Op. 18: II. Adagio sostenuto,Saint Louis Symphony Orchestra,0,The Beiderbecke Affair,1985,Can Anybody Join In? (#1.2),Piano Concerto No 2,sergei rachmaninoff london symphony orchestra,0
163,163,67558,503430,Concerto No. 2 in C Minor for Piano and Orchestra_ Op. 18: II. Adagio sostenuto,Saint Louis Symphony Orchestra,0,Koi no tsumi,2011,,Symphony No 5 in C Sharp minior - IV. Adagietto,written b gustav mahler london symphony orchestra conducted by james depreist,0
164,164,67597,670929,String Quartets Op. 54 (Hob. III: 57-59)_ 'Tost I'_ String Quartet in G major Op. 54 No. 1: IV.     Finale (Presto),Endellion String Quartet,0,The Lobster,2015,,String Quartet No. 2: I Moderato,alfred shnitke the tale quartet with kind permission of bis record sweden,0
165,165,67651,440143,Cat People (Putting Out Fire),Giorgio Moroder / David Bowie,1982,Firestorm,1998,,Cat People (Putting Out the Fire),giorgio moroder  / david bowie david bowie arrangement with universal music special markets,1
166,166,67657,475133,Phase Dance,Pat Metheny_ Lyle Mays_ Mark Egan_ Dan Gottlieb,1978,Hot Rod Gang,1958,,Dance In The Street,al davis dan welch gene vincent his blue caps  (as gene vincent the blue caps),0
