,Column1,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists,gold
46,654,654,269961,393823,I Can't Fail,The Robert Cray Band,2010,Cliff Edwards and His Buckaroos,1941,,I Cant Get Along  Little Dogie,m.k. jerome cliff edwards his band,0
312,1877,1877,712616,619550,Cruel To Be Kind,Nick Lowe,0,Smashed,2012,,Cruel To Be Kind,nick lowe ian gomm,1
176,2359,2359,869082,400330,Golden Years (1999 Digital Remaster),David Bowie,1976,Creating a Fairy Tale World: The Making of Shrek,2001,,BEST YEARS OF OUR LIVES,david jaymes geoffrey deane baha me,0
234,487,487,213947,41195,El Mono Relojero,Kapanga,1998,Campeones de la vida,1999,(#1.2),El mono relojero,kapanga,1
73,995,995,385847,608145,Younger Girl [Live],John Sebastian,0,Seduced and Abandoned,2013,,Girl  Beautiful Girl,john sebastian,0
137,1818,1818,689730,267685,Never Fall In Love,Dan Bern,1997,The Simpsons,1989,Gump Roast (#13.17),Theyll Never Stop the Simpsons,alf clausen dan castellaneta,0
371,2535,2535,913013,217841,Battlefield,Jordin Sparks,2009,So You Think You Can Dance,2005,Top Eight Perform (#5.18),Battlefield,jordin sparks,1
190,2523,2523,906406,188886,Oh Pretty Woman,Steve Cropper,1971,Punklandia,2008,Vaatteet on mun aatteet (#1.1),Pretty Vacant,steve jones glen matlock paul cook john lydon the sex pistols,0
386,2716,2716,954944,262887,Sweet Lullaby,Deep Forest,1992,The Real World,1992,A Tribute to Pedro Zamora (#3.23),Sweet Lullaby,deep forest,1
29,374,374,157691,387500,Roadhouse Blues,The Jeff Healey Band,1989,Cement,2000,,July Blues,joe ely the joe ely band,0
281,1288,1288,489982,584805,Wave Of Mutilation,Frank Black Francis,0,Pump Up the Volume,1990,,Wave of Mutilation (U.K. Surf),frank black pixies,1
51,723,723,297484,226175,This Heaven (Live In Gdansk),David Gilmour,0,Stars in Their Eyes,1990,(#8.6),This Aint a Love Song,jon bon jovi richie sambora desmond child david burrows,0
319,1950,1950,738714,651806,Green Eyed Lady,Sugarloaf,1988,The Butcher,2009,,Green Eyed Lady,jerry corbetta john phillips david riordan sugarloaf,1
342,2181,2181,809980,670178,Life On Mars? (Live At The Manhattan Center_ New York),David Bowie,2009,The Life Aquatic with Steve Zissou,2004,,Life on Mars,david bowie,1
27,360,360,153685,58130,Sugar,Peggy Lee,1991,Dancing with the Stars,2005,(#14.1),Sugar Town,lee hazlewood,0
2,15,15,6497,620155,Still In Love,Nick Cave & The Bad Seeds,2003,Snow Day,2000,,Still,dane deviller nick lachey m jeff timmons justin jeffre sean hosein drew lachey 98 degrees,0
199,2639,2639,935081,613621,I Like My Old Home Town,Sir Harry Lauder,0,Show Business,1944,,I Want a Girl (Just Like the Girl That Married Dear Old Dad),harry von tilzer eddie cantor george murphy constance moore joan davis,0
156,2057,2057,771195,71230,Change With the Times,Van McCoy,1975,Disney 365,2006,Where Are They Now: Anneliese van der Pol,A Change in Me,tim rice alan menken anneliese van der pol,0
246,660,660,273471,102854,Everybody Loves You,Jenn Grant,0,Greys Anatomy,2005,Hook  Line and Sinner (#6.20),Everybody Loves You,jenn grant,1
366,2441,2441,886495,158154,Babylon (Radio Mix 2),David Gray,0,Monkey Dust,2003,(#2.5),Babylon,david gray,1
344,2188,2188,813842,195130,Hey Jealousy,Gin Blossoms,1989,Reunion,2005,1993 (#1.8),Hey Jealousy,the gin blossoms,1
138,1819,1819,690229,694345,Dark Eyes / It Happened In Monterey (Medley) (1996 Digital Remaster),The Mallet Men,0,Thirty Seconds Over Tokyo,1944,,The Eyes of Texas Are Upon You,john lang sinclair the men in the barracks,0
215,270,270,115029,98198,Sexx Laws,Beck,1999,Glastonbury 2016,2016,Day 3  Part 2 (#1.15),Sexx Laws,beck,1
293,1515,1515,565506,537770,Mozart: Le Nozze di Figaro: Voi che sapete_ che cosa e amor,Wolfgang Amadeus Mozart,0,Melba,1953,,Voi che sapete,wolfgang amadeus mozart,1
385,2676,2676,944704,66545,CanÃŒÃŽÃ¥_ÃŒÃŽÃ¥Â£o Simples,Tiago Bettencourt,2007,Deixa-me Amar,2007,(#1.238),CanÃŒÃ„ÂÃ•ÃŒÃ¢Ã¥_ÃŒÃ„ÂÃ•ÃŒÃ¢Ã¥Â£o simples,tiago bettencourt,1
271,1133,1133,441070,301940,Physical (Live At The Sydney Opera House),Olivia Newton-John,0,Top of the Pops,1964,(1982-12-30),Physical,steve kipner terry shaddick olivia newton-john,1
218,300,300,130470,461356,Blue Jeans Blues [Remastered Album Version],ZZ Top,0,Gzaabneulni,2013,,Blue Jean Blues,billy gibbons frank beard dusty hill zz top,1
35,481,481,210856,72805,Mr. Melody Man (LP Version),Fred Wesley & The Horny Horns Featuring Maceo Parker,0,Documentary Now!,2015,Gentle and Soft: The Story of the Blue Jean Committee Part 2 (#1.7),Mr. Fix It,fred armisen erik kenward jon spurney davey cheowiggen,0
259,936,936,367631,376069,Atomic Dog (Dogs Of The World Unite Remix) (Explicit) (Feat. Coolio),George Clinton Featuring Coolio,1996,Breakin All the Rules,2004,,Atomic Dog,george clinton   (as george clinton jr.) garry m. shider david l. spradley george clinton,1
364,2409,2409,877657,343680,My Life Would Suck Without You ,Kelly Clarkson,2009,All I Ever Wanted: Bonus DVD,2009,,My Life Would Suck Without You,kelly clarkson,1
24,343,343,147539,644159,Phil the Fluter's Ball / Chicken Reel (medley),Tom Byrne and Tom McCaffrey,0,The 3rd Annual Women Rock! Girls and Guitars,2002,,Trough The Fire / Coming Out Of The Dark (Medley),david foster tom keane cynthia weil   / gloria estefan emilio estefan jr. jon secada gloria estefan chaka khan,0
260,937,937,367631,378687,Atomic Dog (Dogs Of The World Unite Remix) (Explicit) (Feat. Coolio),George Clinton Featuring Coolio,1996,Bruce Almighty,2003,,Atomic Dog,george clinton garry m. shider david l. spradley,1
44,631,631,260274,414366,Mozart: Die Entfuhrung aus dem Serail (The Abduction from the Seraglio): Overture,Wolfgang Amadeus Mozart,0,Die Rosel vom Schwarzwald,1956,,Die verrÃŒÃ„ÂÃ•_ckte Blasmusik,wolfgang wahl peer schmidt,0
220,318,318,139142,492346,Georgia On My Mind,Hoagy Carmichael / The Buddy Cole Quartet,1956,Jimmy the C,1977,,Georgia on My Mind,hoagy carmichael stuart gorrell ray charles,1
129,1730,1730,661829,601953,Tell Your Heart I Love You,Stevie Wonder,2005,Safe Men,1998,,Tell Me Something Good,stevie wonder rufus chaka khan,0
93,1216,1216,462397,544012,Billies Bounce,Shelly Manne,0,Moneyball,2011,,Bounce To Dis,d.j. laz miranda fernando arrangement with shelly bay music,0
111,1513,1513,564531,463216,Peer Gyant Suite No. 2_ Op. 55 Solveij's Lied,Edvard Grieg,0,Hanna,2011,,Peer Gynt Suite #1  OP. 46-4  In The Hall Of The Mountain King,edvard grieg the czech philharmonic arrangement with the orchard,0
166,2256,2256,836678,322402,Mr. Blue Sky - Live,Electric Light Orchestra (ELO),0,You Bet Your Life,1950,(#2.30),Blue Skies,irving berlin television orchestra under the leadership of buddy collette,0
278,1240,1240,470933,403042,I Ran (So Far Away) (Die Krupps Remix),A Flock Of Seagulls,2004,Da Kath & Kim Code,2005,,I Ran (So Far Away),frank maudsley paul reynolds ali score michael score a flock of seagulls,1
332,2111,2111,787479,428971,Never Missed You More,Joe D'Urso & Stone Caravan,0,Elmopalooza!,1998,,Nearly Missed,joe raposo rosie odonnell,1
252,795,795,325161,78751,The Road To Hell,Chris Rea,1990,EastEnders,1985,(2001-11-09),The Road to Hell,chris rea,1
18,267,267,112369,294930,Oh What Day,Viva L'American Death Ray Music,0,Tiny Toon Adventures,1990,Its Buster Bunny Time (#1.9),Where  Oh Where  Has My Little Dog Gone?,music from a german folk song,0
379,2630,2630,933092,61020,Du Hast,Rammstein,1997,Daria,1997,Through a Lens Darkly (#3.2),Du Hast,rammstein,1
79,1071,1071,414717,651972,Piano Sonata No. 17 in D Minor_ Op. 31 - 'The Tempest': III. Allegretto,Byron Janis,0,The Byron Janis Story,2010,,Piano Concerto #3 in D-Minor,sergei rachmaninoff byron janis,0
228,443,443,189571,298433,Dinner With Gershwin,Brenda Russell,0,Top of the Pops 2,1994,Donna Summer,Dinner with Gershwin,brenda russell donna summer,1
230,453,453,195132,464584,Sophisticated Lady,Rosemary Clooney / Duke Ellington And His Orchestra,1956,Harlem Nights,1989,,Sophisticated Lady,duke ellington,1
71,968,968,378170,296702,Gotta Get Paid,John Brown,0,Todds Pop Song Reviews,2009,The Lazy Song (#2.11),Get Up Offa That Thing,james brown,0
254,856,856,340989,303359,We Will Rock You (Live),Queen + Paul Rodgers,0,Top of the Pops,1964,(2000-07-07),We Will Rock You,five   queen,1
329,2091,2091,784641,188716,Things Can Only Get Better,Howard Jones,0,Psych,2006,Pilot (#1.1),Things Can Only Get Better,howard jones,1
375,2582,2582,925153,394433,Big News I (LP Version),Clutch,0,Clutch: Full Fathom Five,2008,,Big News I,clutch,1
221,325,325,141182,687427,Send Me on My Way,Rusted Root,1992,The Theory of Flight,1998,,Send Me on My Way,michael glabicki jim donovan jenn wertz liz berlin rusted root,1
160,2117,2117,790750,656160,Blessing Medley,VIP Mass Choir featuring John P. Kee,0,The Devil and Daniel Mouse,1978,,Concert Medley,john sebastian laurel runn,0
104,1408,1408,538438,531287,Run Come (Throw Away Your Stoney Heart),Ras Michael / The Sons Of Negus,1974,Making the Grade,1984,,Come If You Want To,michael linn richard kraft,0
161,2131,2131,793528,650019,The Power of Midnight,Jeff Kashiwa,0,The Bling Ring,2013,,Power,boris bergman franÃŒÃ„ÂÃ•ÃŒÃ¢Ã¥_ois bernheim jeff bhasker mike dean jean-pierre lang robert fripp michael giles larry darnell griffin jr. malik yusef el shabbaz jones greg lake ian mcdonald nathan perez pete sinfield kanye west king crimson cold grits arrangement with warner music group film tv licensing,0
83,1148,1148,448303,487800,Never Too Late For Love (2007 Remastered LP Version),Warren Zevon,1982,It Runs in the Family,2003,,Youll Never Know,mack gordon harry warren diana krall,0
189,2515,2515,905861,619607,Piano Sonata (moonlight) N.14 In C Sharp Minor Op.27 N.2 : Adagio Sostenuto,Ludwig van Beethoven,0,Smile,2010,,Adagio Sostenuto,ludwig van beethoven,0
387,2737,2737,961008,454183,Immune,Godsmack,1997,Godsmack: Smack This!,2002,,Immune,godsmack,1
118,1627,1627,624307,512706,The End,Nick Moss & The Flip Tops,0,Lawless,2012,,End Crawl,nick cave warren ellis the bootleggers,0
233,468,468,202814,388817,Wild Thing,Tone Loc,1988,Charlies Angels: Full Throttle,2003,,Wild Thing,matt dike marvin young anthony smith tone loc,1
188,2504,2504,905109,363111,Just Want To Love You Tonight ,Average White Band,2009,Bedtime with Barney: Imagination Island,1994,,Just Imagine (Reprise),philip a. parker stephen white bob west hope cervantes pia manalo john david bennett ricky carter barry pearl julie johnson patty wirtz,0
208,55,55,21087,177091,Break It To Me Gently,Brenda Lee,1987,Pan Am,2011,Truth or Dare (#1.7),Break It to Me Gently,brenda lee,1
365,2434,2434,884763,327667,Down By The Ohio,Andrews Sisters,0,1941,1979,,Down by the Ohio,abe olman the andrews sisters,1
110,1486,1486,557923,678618,What,Joey Baron feat. Arthur Blythe_ Ron Carter & Bill Frisell,1997,The Pirates of Penzance,1994,,What Ought We Do?,arthur sullivan susie french melissa langton anna butera,0
149,1979,1979,747629,11947,Funny What Love Can Do,Bobby Darin,1995,American Idol: The Search for a Superstar,2002,The Final Decision... But the Right One? (#3.12),What You Wont Do for Love,bobby caldwell alfons kettner matthew rogers,0
157,2058,2058,771295,239674,Let Freedom Ring,Bill Whelan / Tsidii Le Loka / Eoghan O'Neill / Des Moore / Noel Heraty / Robbie Harris / The Amanzi Singers,2000,The Blues,2003,The Road to Memphis (#1.3),Let the Good Times Roll,fleecie moore spo-de-odee b.b. king the memphis all-stars,0
152,2020,2020,759656,42723,Big Trouble,Robert Palmer,1994,Cartoon Sushi,1997,(#1.1),Big Show Theme,robert sharples,0
16,247,247,99955,524271,You Can Be Flirty,Chris T-T,2000,Lottery Ticket,2010,,I Can Transform Ya,chris brown lil wayne swizz beatz jason poo bear boyd lonny bereal,0
315,1917,1917,727067,672152,Mars (Bringer Of War) (1926 recording),Gustav Holst,0,The Magic of David Copperfield XI: The Explosive Encounter,1989,,Mars  the Bringer of War,gustav holst,1
75,999,999,389024,62144,O Que Vai Ser De Mim,Pedro Abrunhosa,1999,De la A a la Z,2010,Pedro Aznar/Katherine Salosny (#1.19),Que he sacado con quererte,violeta parra pedro aznar,0
109,1465,1465,550180,161123,Oh_ What A Good Thing We Had,Johnny Cash;June Carter,2000,Music Scene,1969,(#1.3),Oh What a Night,marvin junior johnny funches the dells,0
318,1946,1946,737657,361852,Waitin' Round to Die,Townes Van Zandt,1987,Be Here to Love Me: A Film About Townes Van Zandt,2004,,Waitin Round to Die,townes van zandt,1
205,2715,2715,954569,30985,Big Booty Hoes (Featuring Too $hort) (Album Version),The Notorious B.I.G.,1999,Big Time Rush,2009,Big Time Pranks 2 (#4.7),Big Time Rush,big time rush,0
272,1145,1145,446978,383785,Unchained Melody,Righteous Brothers,1965,Canary Brothers of Tondo,1992,,Unchained Melody,alex north the righteous brothers,1
139,1833,1833,694045,235806,Concerto No 1 In B Flat Minor_ Op23: Third Movement - Allegro Con Fuoco,Van Cliburn,0,The Adventures of the Galaxy Rangers,1986,Tower of Combat (#1.62),No Guts  No Glory,john van tongeren phil galdston,0
237,534,534,229315,552922,All Day And All Of The Night,Ray Davies,0,Narco,2004,,All Day and All of the Night,ray davies the kinks,1
383,2647,2647,937310,231085,Not Nineteen Forever,The Courteeners,2008,T in the Park 2010,2010,Stereophonics/Paolo Nutini (#1.4),Not Ninteen Forever,the courteeners,1
4,43,43,19654,553430,Metal Daze,Seven Witches,1999,Natural Selection,2011,,Metal Song,andy creighton seven fists of the ram face,0
96,1299,1299,491581,581011,Don't Look Back,Raul Mezcolanza & Ian Hendrix,0,Portrait of a Serial Monogamist,2015,,Look Behind,ian desouza rosina kazi nic murray lal,0
14,146,146,60273,627291,You're So Fine (1990 Digital Remaster),Steve Miller Band,1968,Squeeze Play,1979,,Seems So Nice,steve sarabande scot paris,0
61,841,841,336694,204567,I Am The Bread Of Life (Songs For Worship_ Vol. 1 & 2 Album Version),John Michael Talbot,0,Scream Queens,2015,Dorkus (#1.12),How Am I Supposed to Live Without You,michael bolton,0
236,528,528,227819,301842,Tom Sawyer,Rush,0,Top of the Pops,1964,(1981-11-05),Tom Sawyer,rush,1
67,911,911,359892,454219,Here Without You,Kidz Bop Kids,2004,Godzilla,1998,,Here We Go Round the Mulberry Bush,the kidsongs kids,0
311,1867,1867,708957,25371,I Don't Wanna Grow Up,Tom Waits,1992,Beavis and Butt-Head,1993,The Final Judgement of Beavis (#4.13),I Dont Want to Grow Up,tom waits,1
194,2579,2579,924091,525144,Il Barbiere Di Siviglia: Dunque io son,Philharmonia Orchestra And Chorus_ Maria Callas_ Luigi Alva_ Tito Gobbi,0,Love Me Forever,1935,,Il bacio,luigi arditi,0
154,2027,2027,761943,361820,Daydream Believer (Album Version),John Stewart,0,Be Cool,2005,,Believer,will.i.am john legend christina milian,0
384,2667,2667,942860,428522,Wonder,Megan McCauley,2005,Elektra,2005,,Wonder,megan rudloff will baker pete woodruff megan mccauley,1
301,1697,1697,649531,148438,TÃŒÃŽÃ¥Ã‡ Fora,Kelly Key,2008,MalhaÃŒÃ„ÂÃ•ÃŒÃ¢Ã¥_ÃŒÃ„ÂÃ•ÃŒÃ¢Ã¥Â£o,1995,,TÃŒÃ„ÂÃ•ÃŒÃ¢Ã¥Ã‡ Fora,kelly key,1
19,271,271,115144,255786,Why You Wanna Trip On Me,Michael Jackson,1991,The Merv Griffin Show,1962,(#4.58),Why Did I Choose You?,michael leonard herbert martin jerry lanning,0
363,2376,2376,872892,517151,Ev'ry Time We Say Goodbye,Natalie Cole,2004,Lets Get Lost,1988,,Evry Time We Say Goodbye,cole porter,1
40,549,549,235435,215771,St. Andrew (This Battle Is In The Air),The White Stripes,2007,So You Think You Can Dance Canada,2008,Top 10 (#2.16),St. James Infirmary Blues,the white stripes,0
112,1518,1518,566199,543187,The Desperate Kingdom Of Love,Giant Sand,2008,Modulations,1998,,Desperate,sand (j. richards tim wright),0
13,137,137,57457,191319,Come on in This House,The Paul Butterfield Blues Band,1996,Radio 2: In Concert,2010,Paul Weller,Come On Lets Go,paul weller,0
107,1450,1450,546539,706589,Gotta Be Positive,Eddy Grant,2008,UFOria,1985,,I Gotta Outrun the Blues,eddy raven,0
226,433,433,187047,50697,Living For The City,Stevie Wonder,1973,Countdown,1974,(#1.7),Living for the City,stevie wonder,1
299,1632,1632,627968,235292,God Thank You Woman,Culture Club,1986,The A-Team,1983,Cowboy George (#4.16),God Thank You  Woman,boy george jon moss mikey craig roy hay culture club,1
3,18,18,6882,668079,One More Chance,W & D,0,The Killer Inside Me,2010,,One Hand Loose,joe d. chastain charlie feathers jerry d. huffman,0
269,1077,1077,417190,417994,If I Could Only Stay Asleep,Patsy Cline,1991,Doing Time for Patsy Cline,1997,,If I Could Only Stay Asleep,ethel bassey wayland chandler patsy cline,1
125,1690,1690,646829,573329,New York City (2005 Digital Remaster),John Lennon And Yoko Ono,0,Pavarotti & Friends for War Child,1996,,New York  New York,john kander fred ebb liza minnelli luciano pavarotti,0
77,1062,1062,410149,102837,Where You Belong,Blank & Jones,2008,Greys Anatomy,2005,Heres to Future Days (#5.23),Where The Road Meets The Sun,katie herzig matthew perryman jones,0
184,2422,2422,881449,137687,Night People,John Cooper Clarke,1982,Levenslied,2011,(#2.2),Good Night,john lennon paul mccartney tijn docter hans dagelet choir,0
294,1554,1554,582237,90229,Goodnight Irene,Weavers,0,Folk Britannia,2006,Ballads and Blues (#1.1),Goodnight Irene,leadbelly the weavers,1
369,2475,2475,897429,413586,What Do You Want From Me,Forever The Sickest Kids,2009,Diary of a Wimpy Kid,2010,,WHAT DO YOU WANT FROM ME,caleb turman austin bello jonathan cook kent garrison forever the sickest kids,1
336,2120,2120,791460,79092,Love Will Tear Us Apart,Joy Division,1980,EastEnders,1985,(2011-04-12),Love Will Tear Us Apart,ian curtis peter hook stephen morris bernard sumner joy division,1
182,2405,2405,877546,670443,Dream Lover,Bobby Rydell,1993,The Likes of Louise,1974,,Dream Lover,bobby darin,0
346,2208,2208,818840,499349,The Greatest Gift Of All,Dolly Parton & Kenny Rogers,0,Kenny & Dolly: A Christmas to Remember,1984,,The Greatest Gift of All,john jarvis kenny rogers dolly parton,1
80,1081,1081,417722,613621,I Want To Tell You (Live) (2004 Digital Remaster),George Harrison,0,Show Business,1944,,I Want a Girl (Just Like the Girl That Married Dear Old Dad),harry von tilzer eddie cantor george murphy constance moore joan davis,0
258,917,917,362772,303706,You'll Be Sorry,Steps,2000,Top of the Pops,1964,(2001-06-15),Youll Be Sorry,steps,1
11,129,129,54916,269502,You're Gonna Come To Me,Diana Ross & The Supremes,0,The Sonny and Cher Show,1976,(#1.8),Im Gonna Make You Love Me / My World Is Empty Without You,kenny gamble jerry ross also co-attributed to jerry williams leon huff  / brian holland lamont dozier eddie holland sonny bono cher,0
325,2028,2028,763178,590039,Helium,Bypass Unit,1997,Rave,2000,,Helium,bypass unit,1
86,1169,1169,455437,164340,Moon River (LP Version),Johnny Crawford,0,NCIS: Naval Criminal Investigative Service,2003,Requiem (#5.7),Big River,johnny cash,0
