,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists
2845,2845,497988,527543,Baby_ can I hold you tonight,Tracy Chapman / Luciano Pavarotti / Orchestra Sinfonica Italiana / JosÌ© Molina,0,M-G-M Jubilee Overture,1954.0,,Baby  Its Cold Outside,frank loesser+the mgm symphony orchestra
3065,3065,228420,683634,Walking On A Dream (Ben Watt Remix),Empire Of The Sun,2009,The Semi-Hostage Incident,2014.0,,Its Just A Dream,krista berutti+jeff rackley+courtesy of capture publishing
3155,3155,912892,683634,Give Me Just A Little More Time,Chairmen Of The Board,1970,The Semi-Hostage Incident,2014.0,,Its Just A Dream,krista berutti+jeff rackley+courtesy of capture publishing
3368,3368,280396,635881,Baby_ Let Me Scream At You,Adam Ant,0,Susannah,2009.0,,Let It Go,adam moreno+audible effect
3409,3409,75820,482755,Mass in B Minor BWV 232 : Resurrexit,Johann Sebastian Bach,0,Il silenzio di Pelesjan,2011.0,,St John Passion  BWV 245 - Herr  unser Herrscher,johann sebastian bach
3411,3411,660422,482755,Brandenburgisches Konzert Nr.4 BWV  1049 - Andante,Johann Sebastian Bach,0,Il silenzio di Pelesjan,2011.0,,St John Passion  BWV 245 - Herr  unser Herrscher,johann sebastian bach
3412,3412,683895,482755,Brandenburgisches Konzert Nr.1 BWV  1046 - Allegro,Johann Sebastian Bach,0,Il silenzio di Pelesjan,2011.0,,St John Passion  BWV 245 - Herr  unser Herrscher,johann sebastian bach
3413,3413,753265,482755,Trio C-Moll fÌ_r Flauto Traverso Violine_ Violoncello und Cembalo aus dem 'Musikalischen Opfer' BWV 1,Johann Sebastian Bach,0,Il silenzio di Pelesjan,2011.0,,St John Passion  BWV 245 - Herr  unser Herrscher,johann sebastian bach
3414,3414,790947,482755,Ich Ruf Zu Dir_ Herr Jesu Christ,Johann Sebastian Bach,0,Il silenzio di Pelesjan,2011.0,,St John Passion  BWV 245 - Herr  unser Herrscher,johann sebastian bach
3415,3415,815775,482755,Cantata No. 80 A Mighty Fortress Is Our God BWV 80: Chorale_ Cantata No. 80 The Word of God will firm abide against our foes assailing,Johann Sebastian Bach,0,Il silenzio di Pelesjan,2011.0,,St John Passion  BWV 245 - Herr  unser Herrscher,johann sebastian bach
3416,3416,102201,482755,Vater Unser Im Himmelreich,Johann Sebastian Bach,2008,Il silenzio di Pelesjan,2011.0,,St John Passion  BWV 245 - Herr  unser Herrscher,johann sebastian bach
3449,3449,876166,478595,A Foggy Day In London Town,Frank Sinatra_ Dean Martin and Sammy Davis Jr,0,I Cant Give You Anything But Love  Baby,1940.0,,Day by Day,frank skinner
3559,3559,627146,153228,Finale: Janette/When Does This Feeling Go Away? (LP Version),Michael Feinstein,0,Michael Feinsteins American Songbook,2010.0,Best Band in the Land (#1.2),The Only Way to Go,marvin hamlisch+michael feinstein
3569,3569,415535,305154,Let Forever Be (2003 Digital Remaster),The Chemical Brothers,2008,Tricked,2013.0,(#2.2),Let Forever Be,the chemical brothers+noel gallagher
3576,3576,960501,36678,Land of 1000 Dances,Chris Kenner,1962,Britains Got Talent,2007.0,2016: Auditions 1 (#10.1),Land of a Thousand Dances,chris kenner+wilson pickett
3577,3577,673130,36678,Land Of 1000 Dances,Wilson Pickett,1966,Britains Got Talent,2007.0,2016: Auditions 1 (#10.1),Land of a Thousand Dances,chris kenner+wilson pickett
3673,3673,636423,307892,Scene 11: Final en route amis,Stephane Deneve / Ensemble Orchestral Harmonia Nova / Choeurs Du Theatre Francais De La Musique / Nicole Maison / Annick Massis / Alain Gabriel / Lucile Vignon / Philippe Ermelier / Patrice Berger / Jean-Philippe Courtis,0,UEPA: Un Escenario Para Amar,2015.0,,QuÌ_mica en ComÌ¼n,armando Ìvila+marcela de la garza+rotger rosas+cd9
3707,3707,936012,307892,Que DifÌ_cil Es Hacer El Amor En Un Simca 1000,La Banda Del Capitan Canalla,0,UEPA: Un Escenario Para Amar,2015.0,,QuÌ_mica en ComÌ¼n,armando Ìvila+marcela de la garza+rotger rosas+cd9
3749,3749,445946,307892,En un rincon,El sueÌ±o de Morfeo,2007,UEPA: Un Escenario Para Amar,2015.0,,QuÌ_mica en ComÌ¼n,armando Ìvila+marcela de la garza+rotger rosas+cd9
3811,3811,537506,307892,Muchos Blancos En Todos Los Mapas,Triangulo De Amor Bizarro,2010,UEPA: Un Escenario Para Amar,2015.0,,QuÌ_mica en ComÌ¼n,armando Ìvila+marcela de la garza+rotger rosas+cd9
3886,3886,931196,262070,High Noon,Tex Williams & Tex Ritter,0,The Porter Wagoner Show,1961.0,Tex Ritter (#1.101),High Noon,dimitri tiomkin+ned washington+tex ritter
3908,3908,413381,102553,Don't Lock 'em Away (Song for Molly),Kevin Costner / The Modern West,0,Greys Anatomy,2005.0,Bring the Pain (#2.5),Dont Forget Me,way out west
3920,3920,857397,102553,Don't Forget Me,Way Out West,0,Greys Anatomy,2005.0,Bring the Pain (#2.5),Dont Forget Me,way out west
3937,3937,940386,102553,I Don't Know How To Love Him - Sound-a-like Cover,West End Orchestra & Singers,0,Greys Anatomy,2005.0,Bring the Pain (#2.5),Dont Forget Me,way out west
3982,3982,392445,129770,Don't Say Goodnight,Walter Beasley,0,Knight Rider,1982.0,Deadly Maneuvers (#1.3),Rikki Dont Lose That Number,walter becker+donald fagen+steely dan
3984,3984,949787,129770,I Don't Believe I'll Fall in Love Again (Album Version),DAN SEALS,0,Knight Rider,1982.0,Deadly Maneuvers (#1.3),Rikki Dont Lose That Number,walter becker+donald fagen+steely dan
4013,4013,143304,129770,Rikki Don't Lose That Number,Steely Dan,1974,Knight Rider,1982.0,Deadly Maneuvers (#1.3),Rikki Dont Lose That Number,walter becker+donald fagen+steely dan
4102,4102,75820,413411,Mass in B Minor BWV 232 : Resurrexit,Johann Sebastian Bach,0,Diana,2013.0,,Prelude & Fugue No. 4 in C Sharp Minor  BWV 849,johann sebastian bach+vesselina tchakarova
4104,4104,660422,413411,Brandenburgisches Konzert Nr.4 BWV  1049 - Andante,Johann Sebastian Bach,0,Diana,2013.0,,Prelude & Fugue No. 4 in C Sharp Minor  BWV 849,johann sebastian bach+vesselina tchakarova
4105,4105,683895,413411,Brandenburgisches Konzert Nr.1 BWV  1046 - Allegro,Johann Sebastian Bach,0,Diana,2013.0,,Prelude & Fugue No. 4 in C Sharp Minor  BWV 849,johann sebastian bach+vesselina tchakarova
4106,4106,753265,413411,Trio C-Moll fÌ_r Flauto Traverso Violine_ Violoncello und Cembalo aus dem 'Musikalischen Opfer' BWV 1,Johann Sebastian Bach,0,Diana,2013.0,,Prelude & Fugue No. 4 in C Sharp Minor  BWV 849,johann sebastian bach+vesselina tchakarova
4108,4108,815775,413411,Cantata No. 80 A Mighty Fortress Is Our God BWV 80: Chorale_ Cantata No. 80 The Word of God will firm abide against our foes assailing,Johann Sebastian Bach,0,Diana,2013.0,,Prelude & Fugue No. 4 in C Sharp Minor  BWV 849,johann sebastian bach+vesselina tchakarova
4259,4259,487818,582745,Concerto N.4 In F Minor Largo Op.8 : Winter,Antonio Vivaldi,0,Pride & Prejudice & Zombies,2013.0,,Oboe Concerto,antonio vivaldi
4282,4282,343465,338836,Better Git Hit In Your Soul (Live Version),Charles Mingus,1986,Absolute Beginners,1986.0,,Better Git It in Your Soul (The Hot and the Cool),charles mingus
4302,4302,32648,338836,For Better or Worse,Sir Charles Jones,0,Absolute Beginners,1986.0,,Better Git It in Your Soul (The Hot and the Cool),charles mingus
4348,4348,379037,715244,Rocket Man (I Think It's Going To Be A Long_ Long Time),Elton John,1976,Voyage,1993.0,,Rocket Man,elton john+bernie taupin
4372,4372,190544,164282,Broken Order,Wolf Eyes,2009,NCIS: Naval Criminal Investigative Service,2003.0,Incognito (#13.3),Broken Angel,richard wolf+elijah wolf
4479,4479,533897,216587,Just Dance,Lady GaGa / Kardinal Offishall,2008,So You Think You Can Dance,2005.0,Results Show: Two Dancers Eliminated (#4.21),Just Dance,lady gaga
4482,4482,107661,216587,Just For Me,Roomsa featuring Lady Sarah,2006,So You Think You Can Dance,2005.0,Results Show: Two Dancers Eliminated (#4.21),Just Dance,lady gaga
4591,4591,776394,650276,Nights In White Satin,The Moody Blues,1967,The Boat That Rocked,2009.0,,Nights in White Satin,justin hayward+the moody blues
4681,4681,78706,699073,Tears Never Dry (Original Mix),Stephen Simmonds,0,Tommy,2014.0,,Tears Never Die,stephen simmonds
4805,4805,945922,670178,A Walk On The Wild Side Of Life,David Ball,1994,The Life Aquatic with Steve Zissou,2004.0,,Life on Mars,david bowie
4852,4852,809980,670178,Life On Mars? (Live At The Manhattan Center_ New York),David Bowie,2009,The Life Aquatic with Steve Zissou,2004.0,,Life on Mars,david bowie
4873,4873,267598,670178,I Can't Get Over You To Save My Life,David Frizzell,0,The Life Aquatic with Steve Zissou,2004.0,,Life on Mars,david bowie
5033,5033,361191,520257,All Drains Lead To The Ocean,Thomas Newman,2003,Little Nellie Kelly,1940.0,,Columbia  the Gem of the Ocean,thomas a. beckett
5264,5264,412377,177665,Slow,Vincent Oliver,0,Parenthood,2010.0,Do Not Sleep with Your Autistic Nephews Therapist (#2.17),Hear the Noise That Moves So Soft and Slow,james vincent mcmorrow
5337,5337,713865,514980,Shut Up and Leave Me Alone,The Michael Stanley Band,0,Lego: The Adventures of Clutch Powers,2010.0,,I Work Alone,michael lloyd+greg oconnor
5435,5435,253112,444985,You Can Never Hold Back Spring,Tom Waits,2005,Freddy vs Ghostbusters,2004.0,,I Wont Back Down,tom petty+jeff lynne
5857,5857,657436,595090,Stars and Stripes on Iwo Jima,Sons Of The Pioneers,1999,Rio Grande,1950.0,,Yellow Stripes,the sons of the pioneers
5922,5922,411178,635253,Too Hot To Stop (Pt. 1),The Bar-Kays,0,Superbad,2007.0,,Too Hot to Stop,fred freemand+harry l. nehls+the bar-kays
5995,5995,29828,346530,Peppermint Twist,Joey Dee and the Starliters,1973,American Graffiti,1973.0,,Peppermint Twist,joey dee+henry glover
6010,6010,45719,145406,Bridal Chorus,Richard Wagner / Otto Sieben,1991,M*A*S*H,1972.0,Goodbye  Farewell  and Amen (#11.16),Bridal Chorus,richard wagner
6208,6208,879668,306518,Ese Soy Yo,Yaga_ Mackie_ Maicol_ Manuel,2002,Tu cara me suena,2011.0,(#1.10),Como yo te amo,manuel alejandro+ana magdalena+toÌ±i salazar+francisco
6352,6352,564531,440168,Peer Gyant Suite No. 2_ Op. 55 Solveij's Lied,Edvard Grieg,0,First Comes Courage,1943.0,,Peer Gynt Suite No. 1  Op. 46  4th Movement (In the Hall of the Mountain King),edvard grieg
6550,6550,367631,376069,Atomic Dog (Dogs Of The World Unite Remix) (Explicit) (Feat. Coolio),George Clinton Featuring Coolio,1996,Breakin All the Rules,2004.0,,Atomic Dog,george clinton   (as george clinton+jr.)+garry m. shider+david l. spradley+george clinton
6628,6628,754254,225343,Star Trek: First Contact- End Title,Jerry Goldsmith,0,Stargate SG-1,1997.0,Origin (#9.3),End Title,joel goldsmith
6631,6631,541671,225343,Main Title,Jerry Goldsmith,1966,Stargate SG-1,1997.0,Origin (#9.3),End Title,joel goldsmith
6785,6785,945769,299939,This Is the One Thing We Did Not Want to Have Happen,The Brian Jonestown Massacre,2010,Top of the Pops,1964.0,(1978-09-07),Where Did Our Love Go?,brian holland+lamont dozier+eddie holland+the manhattan transfer
6796,6796,98187,299939,One Of The Ones Who Did,Brian McKnight / Kirk Franklin,2003,Top of the Pops,1964.0,(1978-09-07),Where Did Our Love Go?,brian holland+lamont dozier+eddie holland+the manhattan transfer
6817,6817,84820,38970,Gunpowder & Lead,Miranda Lambert,2009,CMT Top 20 Countdown,2001.0,(2007-11-29),Gunpowder and Lead,miranda lambert+jack ingram
6923,6923,361976,210356,Heart Of Stone,The Rolling Stones,1964,Shindig!,1964.0,(#1.26),Heart of Stone,mick jagger+keith richards+the rolling stones
6932,6932,61456,81612,Last Day On Earth,Pink Turns Blue,2007,Ellen: The Ellen DeGeneres Show,2003.0,Judge Judy Sheindlin/Jacob Tremblay/Sia (#13.93),Todays the Day,pink
6969,6969,917310,240895,We Built This City,Starship,1985,The Code,2014.0,(#1.2),We Built This City,bernie taupin+martin page+dennis lambert+pÌ©ter wolf+jefferson starship
7036,7036,61456,81648,Last Day On Earth,Pink Turns Blue,2007,Ellen: The Ellen DeGeneres Show,2003.0,Leonardo DiCaprio/Eva Longoria/Stephen tWitch Boss (#13.77),Todays the Day,pink
7059,7059,455437,395100,Moon River (LP Version),Johnny Crawford,0,Cold Chisel Ringside,2004.0,,Big River,johnny cash+cold chisel
7077,7077,494368,395100,So Long To the Red River Valley,Johnny Bond and The Red River Boys,2005,Cold Chisel Ringside,2004.0,,Big River,johnny cash+cold chisel
7086,7086,85167,395100,Big River (Featuring Johnny Cash and Waylon Jennings) (Album Version),Trick Pony (Featuring Johnny Cash and Waylon Jennings),2001,Cold Chisel Ringside,2004.0,,Big River,johnny cash+cold chisel
7161,7161,158388,305144,Dos EspaÌ±oles_ Tres Opiniones,Vainica Doble,1973,Tres eran tres,1972.0,,Tres eran tres las hijas de Elena,vainica doble
7170,7170,359921,325454,How Could An Angel Break My Heart,Kenny G with Toni Braxton,1997,Ìdolos,2003.0,Gala 1 - Meu Ìdolo (#1.9),How Could An Angel Break My Heart,toni braxton+kenneth babyface edmonds+dÌ©bora gonÌ¤alves
7181,7181,617574,177869,The Beat Goes On (Dance Mix Feat. G. Faulkner),Ryan Paris,2006,Parenthood,2010.0,Keep on Rowing (#4.12),Do With You (feat. Ben Folds),ryan lerman+ben folds
7200,7200,425869,30622,The Slightest Touch,Five Star,1986,Big Brothers Bit on the Side,2011.0,(2012-09-01)} {{SUSPENDED},The Slightest Touch,five star
7334,7334,66313,365565,MacArthur Park,Jimmy Webb,1996,Bette Midler in Concert: Diva Las Vegas,1997.0,,MacArthur Park,jimmy webb+bette midler
7369,7369,898938,510455,Let It Roll,The Nextmen / Alice Russell,2007,Laggies,2014.0,,Let Go (Breakdown),alice russell+alice russell    alex cowan
7467,7467,473427,511954,Music Of The Night - Sound-a-like Cover,West End Orchestra & Singers,0,Last Night,2010.0,,Seeds of Night,derek fudesco+marty lund+peter quirk+the cave singers
7511,7511,65892,511954,Seeds Of Night,The Cave Singers,2007,Last Night,2010.0,,Seeds of Night,derek fudesco+marty lund+peter quirk+the cave singers
7529,7529,70041,671330,Dance The Night Away,Jimmy Martin,0,The Longest Yard,2005.0,,Fly Away,kenneth karlin+andrea martin   as adrea monica martin+ivan a. matias+carsten shack+nelly+tracie spencer
7592,7592,940850,651185,Don't You (Forget About Me) (Live),Simple Minds,1988,The Breakfast Club,1985.0,,Dont You (Forget About Me),simple minds
7729,7729,859316,574530,Today Is The Day  (LP Version),David Meece,0,Perdona si te llamo amor,2014.0,,One Day,david schreurs+vincent degiorgio+caro emerald
7778,7778,708631,574530,One Thing After Another,David Devant and His Spirit Wife,1999,Perdona si te llamo amor,2014.0,,One Day,david schreurs+vincent degiorgio+caro emerald
7806,7806,523943,574530,One Fine Day,David Byrne & Brian Eno,2008,Perdona si te llamo amor,2014.0,,One Day,david schreurs+vincent degiorgio+caro emerald
7830,7830,250361,331391,I Know I'll Meet My Mother After All,Walter Smith & Friends,0,A Bear for Punishment,1951.0,,That Wonderful Mother of Mine,walter goodwin
7881,7881,237028,503761,Bizet: Carmen: Je vais danser en votre honneur,Georges Bizet,0,Kotia pÌ_in,1989.0,,Votre toast  je peux vous le rendre,georges bizet+tiit kuusik
7914,7914,349262,301941,Song For The Yellow Jacket Avenger,Wooden Stars,1995,Top of the Pops,1964.0,(1982-12-30),The Clapping Song,lincoln chase+the belle stars
8022,8022,157054,129638,Main Title,The Boston Pops Orchestra / John Williams,0,Klemmeni zoi,2007.0,(#1.4),Usual Suspects Main Theme,john ottman
8028,8028,712305,129638,New York_ New York (Main Theme),The Boston Pops Orchestra / John Williams,0,Klemmeni zoi,2007.0,(#1.4),Usual Suspects Main Theme,john ottman
8170,8170,570051,531287,But I Want More (Live At The Reading Rock Festival_ 29th August 1982),The Michael Schenker Group,0,Making the Grade,1984.0,,Come If You Want To,michael linn+richard kraft
8209,8209,538438,531287,Run Come (Throw Away Your Stoney Heart),Ras Michael / The Sons Of Negus,1974,Making the Grade,1984.0,,Come If You Want To,michael linn+richard kraft
8284,8284,348706,100254,Good Lovin',Sam & Dave,1987,Good Times,1974.0,Thelmas African Romance: Part 2 (#4.16),Good Times,dave grusin+james gilstrap+blinky
8338,8338,568846,627064,Where'm I Gonna Live When I Get Home,Warner Williams and Jay Summerour,0,Spun,2002.0,,Gotta Get to Know You,foghat+arrangement with warner special products
8372,8372,70050,501209,View From A Bridge (Raw Remix) (Edit),Kim Wilde,1987,Kim Wilde: The Video Music Collection,1984.0,,View From A Bridge,kim wilde
8417,8417,242785,360652,Hold what you got,JOE TEX,1969,Barney: Lets Go to the Doctor,2012.0,,What Would I Do Without My Teeth?,joe phillips+barney+friends
8475,8475,117822,464282,It's Hard to Be Me,Cyndi Lauper,2002,Hard to Be Me,2010.0,,Its Hard to Be Me,cyndi lauper+rob hyman+william wittman
8483,8483,6139,694050,Things Behind The Sun,Nick Drake,1972,Things Behind the Sun,2001.0,,Things Behind the Sun,nick drake
8499,8499,917254,694050,Reach Out For The Sun,Nick Heyward,1996,Things Behind the Sun,2001.0,,Things Behind the Sun,nick drake
8999,8999,228192,386647,Little Curly Hair In A High Chair,Helen O'Connell & the Jimmy Dorsey Orchestra,2000,Catch Me If You Can,2002.0,,Im Shooting High,jimmy mchugh+ellis hall+bebopera
9143,9143,914641,564970,All In Hand,Rosemary's Sons,2002,On the Old Spanish Trail,1947.0,,Here Is My Helping Hand,bob nolan+the sons of the pioneers
9164,9164,506597,564970,I Am Here (12' Extended Mix),The Grapes Of Wrath,1994,On the Old Spanish Trail,1947.0,,Here Is My Helping Hand,bob nolan+the sons of the pioneers
9205,9205,63522,564970,No One Wished To Settle Here,Mouth Of The Architect,2006,On the Old Spanish Trail,1947.0,,Here Is My Helping Hand,bob nolan+the sons of the pioneers
9376,9376,95640,564970,Hand Me Down,Cry Of Love,0,On the Old Spanish Trail,1947.0,,Here Is My Helping Hand,bob nolan+the sons of the pioneers
9655,9655,461003,155546,Why Wont You,The Rogers Sisters,2006,MisteRogers Neighborhood,1968.0,1150 (#4.20),Wont You Be My Neighbor?,fred rogers
9691,9691,882634,457246,Hell On Wheels,Kill Memory Crash,2008,Grand Theft Auto IV: The Lost and Damned,2009.0,,Hell on Wheels,kill memory crash
9813,9813,414088,178970,Sweet Woman (Album Version),Blue Magic,0,Party of Five,1994.0,Spring Breaks: Part 2 (#2.22),Sweet Mary Jane,frofbit blue
9928,9928,328127,697832,Fly Me To The Moon,Steve Tyrell,2006,Titan A.E.,2000.0,,Its My Turn to Fly,steve ewing+karl grable+jerry jost+clif magness+john pessoni+the urge
10046,10046,462385,83854,Superhero,Jane's Addiction,2003,Entourage,2004.0,The Young and the Stoned (#4.9),Superhero,janes addiction
10075,10075,446978,383785,Unchained Melody,Righteous Brothers,1965,Canary Brothers of Tondo,1992.0,,Unchained Melody,alex north+the righteous brothers
10207,10207,662609,637855,Marie's Mood,Walter Trout,1997,SÌ_g det med blommor,1952.0,,Strings in the Mood,walter r. collins
10358,10358,702210,149438,Love Is All Around (The Mary Tyler Moor Show Theme),Sonny Curtis,0,Mary Tyler Moore,1970.0,Murray Ghosts for Ted (#7.20),Love Is All Around,sonny curtis
10393,10393,764573,22710,Still I'm Sad,Rainbow,1975,Banjjak Banjjak Bitnaneun,2011.0,(#1.12),Im a Sad Romantic,rainbow
10399,10399,830914,160407,Moonlight Serenade,Glenn Miller Orchestra,0,Mulheres Apaixonadas,2003.0,,Serenata do Luar (Moonlight Serenade),glenn miller+mitchell parish+paula lima
10495,10495,649788,417458,Doctor Love,The Leslie West Band,0,Doctor Dolittle,1967.0,,My Friend The Doctor (Flight Of The Luna Moth Sequence),leslie bricusse+20th century fox studio orchestra+chorus+conducted by lionel newman
10558,10558,636445,409407,I Don't Think That Man Should Sleep Alone,Ray Parker Jr.,1987,Deathmaster,1972.0,,A Man without a Vision,ray conniff
10636,10636,267334,133182,El Tieso Y La Negra Soledad,Maldita Vecindad Y Los Hijos Del Quinto Patio,1998,La tele de tu vida,2007.0,(#1.18),LÌÊguila negra,barbara+maria del mar bonet
10659,10659,10335,158427,Foggy Mountain Breakdown,Lester Flatt_ Earl Scruggs,1987,Monty Pythons Flying Circus,1969.0,The Attila the Hun Show (#2.7),Foggy Mountain Breakdown,earl scruggs
10851,10851,544453,156193,A Nice Feeling,Fred Locks,0,MisteRogers Neighborhood,1968.0,1524: Conflict (#14.4),Its Such A Good Feeling,fred rogers
10857,10857,260389,156193,While The Feeling's Good,Kenny Rogers,1994,MisteRogers Neighborhood,1968.0,1524: Conflict (#14.4),Its Such A Good Feeling,fred rogers
10894,10894,687265,392582,Red Right Hand,Nick Cave & The Bad Seeds,1994,Cirque du Freak: The Vampires Assistant,2009.0,,Red Right Hand,mick harvey+nick cave+thomas wydler+the bad seeds
10921,10921,877232,222124,Comedy in Music_ Part II,Victor Borge,0,SpongeBob SquarePants,1999.0,Jellyfish Hunter/The Fry Cook Games (#2.19),South Pacific Island II,victor cavini
11026,11026,570051,149994,But I Want More (Live At The Reading Rock Festival_ 29th August 1982),The Michael Schenker Group,0,Match of the Day: Euro 2016,2016.0,Iceland vs. Hungary (#1.24),One More Night,michael kiwanuka
11039,11039,823523,149994,Night By Night,The Michael Stanley Band,1982,Match of the Day: Euro 2016,2016.0,Iceland vs. Hungary (#1.24),One More Night,michael kiwanuka
11215,11215,714058,346665,Little Star,The Elegants,1986,American Hot Wax,1978.0,,Little Star,arthur venosa+vito picone+the elegants
11216,11216,819517,346665,Little Star,The Elegants,1986,American Hot Wax,1978.0,,Little Star,arthur venosa+vito picone+the elegants
11224,11224,418671,489407,We Just Got Off The Chain,Sir Harry Lauder,0,Jackass: The Movie,2002.0,,Baby Got Back,sir mix a lot
11230,11230,440234,489407,Baby Got Back (Rock Mix),Sir Mix A Lot,0,Jackass: The Movie,2002.0,,Baby Got Back,sir mix a lot
11243,11243,295893,489407,The Genius Is Back,Dr. Dre ft. Mix Master Spade,0,Jackass: The Movie,2002.0,,Baby Got Back,sir mix a lot
11258,11258,622374,388741,Lights In The Night,FLASH & THE PAIN feat. Barry Panda - George Old,0,Charlie Wilsons War,2007.0,,LADIES NIGHT,george funky brown+robert kool bell+kool+the gang
