,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists
572,572,900566,324646,You Can't Win,Michael Jackson,2004,iCarly,2007.0,iGet Pranky (#4.3),The Joke Is On You,michael corcoran+zachary hexum+nicole watkins
573,573,900933,324646,How Am I Supposed To Live Without You,Michael Bolton,1989,iCarly,2007.0,iGet Pranky (#4.3),The Joke Is On You,michael corcoran+zachary hexum+nicole watkins
590,590,797179,324646,Will You Love Me Tomorrow,The Michael Stanley Band,1977,iCarly,2007.0,iGet Pranky (#4.3),The Joke Is On You,michael corcoran+zachary hexum+nicole watkins
603,603,778454,324646,I Will Love You All My Life,Michael English,0,iCarly,2007.0,iGet Pranky (#4.3),The Joke Is On You,michael corcoran+zachary hexum+nicole watkins
620,620,115144,324646,Why You Wanna Trip On Me,Michael Jackson,1991,iCarly,2007.0,iGet Pranky (#4.3),The Joke Is On You,michael corcoran+zachary hexum+nicole watkins
621,621,614344,324646,Coke is A Joke,Michael Rose + Sly & Robbie,0,iCarly,2007.0,iGet Pranky (#4.3),The Joke Is On You,michael corcoran+zachary hexum+nicole watkins
633,633,103441,324646,You Are No Good - Original,Michael Prophet,0,iCarly,2007.0,iGet Pranky (#4.3),The Joke Is On You,michael corcoran+zachary hexum+nicole watkins
694,694,381596,456797,Tell Me About The Blues Highway_ Grampa,Harry Manx & Kevin Breit,0,Grand Slam,1933.0,,Youre Getting to Be a Habit with Me,harry warren
740,740,671549,125610,L.A. Project Dream Dance Mix,Yana Kay,2003,Justified,2010.0,Brothers Keeper (#2.9),Dream My Darling,lynda kay parker
753,753,295774,125610,Rise Up For My Love,Yvonne Kay,0,Justified,2010.0,Brothers Keeper (#2.9),Dream My Darling,lynda kay parker
761,761,679799,247352,I Got It (Spragga down 1 db - Final Album Version),Kevin Lyttle,2004,The Graham Kennedy Show,1968.0,(1975-04-16),Rock and Roll (I Gave You the Best Years of My Life),kevin johnson
768,768,560728,247352,I Wonder To Myself,Tommy Johnson,2000,The Graham Kennedy Show,1968.0,(1975-04-16),Rock and Roll (I Gave You the Best Years of My Life),kevin johnson
769,769,216525,247352,I Never Dreamed You'd Leave In Summer (Album Version),Kevin Mahogany,1996,The Graham Kennedy Show,1968.0,(1975-04-16),Rock and Roll (I Gave You the Best Years of My Life),kevin johnson
772,772,251568,247352,I Can't Change (LP Version),Lou Johnson,1969,The Graham Kennedy Show,1968.0,(1975-04-16),Rock and Roll (I Gave You the Best Years of My Life),kevin johnson
774,774,395125,247352,Let It Rock,Kevin Rudolf Featuring Lil Wayne,2008,The Graham Kennedy Show,1968.0,(1975-04-16),Rock and Roll (I Gave You the Best Years of My Life),kevin johnson
775,775,545594,247352,Rock To The Beat,Kevin Saunderson,0,The Graham Kennedy Show,1968.0,(1975-04-16),Rock and Roll (I Gave You the Best Years of My Life),kevin johnson
777,777,606501,247352,Outside My Window,Puff Johnson,1996,The Graham Kennedy Show,1968.0,(1975-04-16),Rock and Roll (I Gave You the Best Years of My Life),kevin johnson
784,784,68175,247352,Sometimes I Feel Like A Motherless Child,Kevin Eubanks,1996,The Graham Kennedy Show,1968.0,(1975-04-16),Rock and Roll (I Gave You the Best Years of My Life),kevin johnson
788,788,562264,247352,Yesterday I Had The Blues (Album Version),Kevin Mahogany,1996,The Graham Kennedy Show,1968.0,(1975-04-16),Rock and Roll (I Gave You the Best Years of My Life),kevin johnson
790,790,928738,247352,I Get Lifted 2,Paul Johnson,0,The Graham Kennedy Show,1968.0,(1975-04-16),Rock and Roll (I Gave You the Best Years of My Life),kevin johnson
796,796,480268,247352,If I Had My Way,Blind Willie Johnson,2000,The Graham Kennedy Show,1968.0,(1975-04-16),Rock and Roll (I Gave You the Best Years of My Life),kevin johnson
851,851,659255,322066,Put A Hole In Yo Back,50 Cent_ DJ Whoo Kid,0,Yo Gabba Gabba!,2007.0,Day Camp (#4.13),Yo Gabba Gabba Theme,dj lance+various artists+adam deibert+jarond gibbs
873,873,877260,374411,The Christmas Song,Warren Hill,0,Boskos Picture Show,1933.0,,The Gold Diggers Song (Were in the Money),harry warren
875,875,728861,374411,Lawyers_ Guns And Money (2007 Remastered LP Version),Warren Zevon,1978,Boskos Picture Show,1933.0,,The Gold Diggers Song (Were in the Money),harry warren
1156,1156,641022,278691,Look Happy_ It's the End of the World,Matthew Good Band,1997,The Tonight Show with Jay Leno,1992.0,(#20.41),Everybody Wants to Rule the World,roland orzabal+ian stanley+chris hughes+the tonight show band
1158,1158,169988,278691,(What This World Needs Is) A Few More Rednecks,The Charlie Daniels Band,1989,The Tonight Show with Jay Leno,1992.0,(#20.41),Everybody Wants to Rule the World,roland orzabal+ian stanley+chris hughes+the tonight show band
1225,1225,892906,278691,Yankee Doodle-The White Cockade-The World Turned Upside Down,U.S. Air Force Band (Fifes & Drums),0,The Tonight Show with Jay Leno,1992.0,(#20.41),Everybody Wants to Rule the World,roland orzabal+ian stanley+chris hughes+the tonight show band
1424,1424,498042,37566,Tu amor para mÌ_ se acabÌ_,El Combo de las Estrellas - Fernando GonzÌÁlez,0,Buenas noches  bienvenidos,2007.0,(#1.13),Pobrecita de mÌ_,pancho varona+antonio garcÌ_a de diego+joaquÌ_n sabina+ana belÌ©n
1660,1660,178433,134102,Sail Away,Brian Wilson And Van Dyke Parks,1995,Larry L,2009.0,Sail On  Sailor,Sail On  Sailor,brian wilson+van dyke parks+tandyn almer+ray kennedy+jack rieley+larry l
1773,1773,770107,512266,And Build Me A Church On What's Left,Oh Messy Life,0,Late Night,2005.0,,Wearing Me Out,still life projector
1891,1891,764459,137662,You've Got A Friend (Live),Carole King with James Taylor,2009,Levenslied,2011.0,(#1.3),Youve Got a Friend,carole king+hans dagelet+choir
1897,1897,633819,640292,You Changed My Life,Mel & Kim,1988,Taxandria,1994.0,,I Dream of You,kim bullard+marc jordan+richard hennessay
2042,2042,297223,244695,The Vegan Revolution Draft Dodger Anthem,Good Clean Fun,1998,The Footy Show,1994.0,The Grand Final Footy Show 2012 (#19.27),The Anthem,good charlotte+benji madden+joel madden+john feldmann
2119,2119,364284,386296,How High A Ridge I Could Not Tell (Song For Eugene Levy),White Rainbow,2005,Castel: India * Kashmir,2007.0,,Love Song #5,the white buffalo
2120,2120,848950,386296,Out Of The Shadows Of Love,Barry White,1995,Castel: India * Kashmir,2007.0,,Love Song #5,the white buffalo
2135,2135,424651,386296,The Three Song,Thin White Rope,1993,Castel: India * Kashmir,2007.0,,Love Song #5,the white buffalo
2155,2155,241229,386296,I'm Gonna Love You Just A Little,Barry White,2003,Castel: India * Kashmir,2007.0,,Love Song #5,the white buffalo
2179,2179,905109,386296,Just Want To Love You Tonight ,Average White Band,2009,Castel: India * Kashmir,2007.0,,Love Song #5,the white buffalo
2182,2182,691594,386296,Just Wanna Love You Tonight (LP Version),Average White Band,1974,Castel: India * Kashmir,2007.0,,Love Song #5,the white buffalo
2184,2184,709998,386296,Julie Do Ya Love Me,White Plains,1994,Castel: India * Kashmir,2007.0,,Love Song #5,the white buffalo
2191,2191,587832,386296,Gonna Find Love One Day,White Plains,0,Castel: India * Kashmir,2007.0,,Love Song #5,the white buffalo
2265,2265,430685,521891,Mi Sombra En La Pared,Miguel Mateus,0,Lola  la pelÌ_cula,2007.0,,Mi gallo,miguel hermoso+vÌ_ctor reyes+alfonso begara
2512,2512,244757,149791,Never Ending,Elvis Presley with The Jordanaires,1995,Masters of Sex,2013.0,Below the Belt (#2.10),Its Now or Never,wally gold+aaron schrÌ¦der+eduardo di capua+elvis presley
2552,2552,773147,19552,I Love You Because,Leon Payne,1949,Australian Idol,2003.0,Up Close & Personal Special (#3.27),A Song for You,leon russell+daniel spillane
2553,2553,253776,19552,Song About Love (Darius Zickus Remix),Leon Somov & Jazzu,0,Australian Idol,2003.0,Up Close & Personal Special (#3.27),A Song for You,leon russell+daniel spillane
2554,2554,249653,19552,Sweet Sue (Just You) (Album Version),Leon Redbone,1978,Australian Idol,2003.0,Up Close & Personal Special (#3.27),A Song for You,leon russell+daniel spillane
2577,2577,268031,344716,Years After You,Eddie Rabbitt,0,Almost Married,1942.0,,After All These Years,eddie cherkose+jacques press+jane frazee
2580,2580,366016,344716,Party All The Time,Eddie Murphy,1985,Almost Married,1942.0,,After All These Years,eddie cherkose+jacques press+jane frazee
2583,2583,661238,309909,Los Alamos,Leo GarcÌ_a,2005,Unplugged,1989.0,Charly GarcÌ_a (#6.7),Los dinosaurios,charly garcÌ_a
2713,2713,411295,527543,You Know What The Trouble Is Baby,Tommy Dorsey and His Orchestra,2003,M-G-M Jubilee Overture,1954.0,,Baby  Its Cold Outside,frank loesser+the mgm symphony orchestra
2784,2784,455830,527543,Gee Baby,The Johnny Otis Orchestra,0,M-G-M Jubilee Overture,1954.0,,Baby  Its Cold Outside,frank loesser+the mgm symphony orchestra
2800,2800,12163,527543,Lean_ Baby (Digitally Remastered '03),Glen Gray & The Casa Loma Orchestra,0,M-G-M Jubilee Overture,1954.0,,Baby  Its Cold Outside,frank loesser+the mgm symphony orchestra
2845,2845,497988,527543,Baby_ can I hold you tonight,Tracy Chapman / Luciano Pavarotti / Orchestra Sinfonica Italiana / JosÌ© Molina,0,M-G-M Jubilee Overture,1954.0,,Baby  Its Cold Outside,frank loesser+the mgm symphony orchestra
3065,3065,228420,683634,Walking On A Dream (Ben Watt Remix),Empire Of The Sun,2009,The Semi-Hostage Incident,2014.0,,Its Just A Dream,krista berutti+jeff rackley+courtesy of capture publishing
3155,3155,912892,683634,Give Me Just A Little More Time,Chairmen Of The Board,1970,The Semi-Hostage Incident,2014.0,,Its Just A Dream,krista berutti+jeff rackley+courtesy of capture publishing
3327,3327,577135,226249,Is It Wrong (For Loving You),Warner mack,0,Stars in Their Eyes,1990.0,(#9.9),I  Yi  Yi  Yi  Yi (I Like You Very Much),mack gordon+harry warren+shelly weldon
3328,3328,825930,226249,I'll Still Be Missing You,Warner mack,0,Stars in Their Eyes,1990.0,(#9.9),I  Yi  Yi  Yi  Yi (I Like You Very Much),mack gordon+harry warren+shelly weldon
3368,3368,280396,635881,Baby_ Let Me Scream At You,Adam Ant,0,Susannah,2009.0,,Let It Go,adam moreno+audible effect
3409,3409,75820,482755,Mass in B Minor BWV 232 : Resurrexit,Johann Sebastian Bach,0,Il silenzio di Pelesjan,2011.0,,St John Passion  BWV 245 - Herr  unser Herrscher,johann sebastian bach
3411,3411,660422,482755,Brandenburgisches Konzert Nr.4 BWV  1049 - Andante,Johann Sebastian Bach,0,Il silenzio di Pelesjan,2011.0,,St John Passion  BWV 245 - Herr  unser Herrscher,johann sebastian bach
3412,3412,683895,482755,Brandenburgisches Konzert Nr.1 BWV  1046 - Allegro,Johann Sebastian Bach,0,Il silenzio di Pelesjan,2011.0,,St John Passion  BWV 245 - Herr  unser Herrscher,johann sebastian bach
3413,3413,753265,482755,Trio C-Moll fÌ_r Flauto Traverso Violine_ Violoncello und Cembalo aus dem 'Musikalischen Opfer' BWV 1,Johann Sebastian Bach,0,Il silenzio di Pelesjan,2011.0,,St John Passion  BWV 245 - Herr  unser Herrscher,johann sebastian bach
3414,3414,790947,482755,Ich Ruf Zu Dir_ Herr Jesu Christ,Johann Sebastian Bach,0,Il silenzio di Pelesjan,2011.0,,St John Passion  BWV 245 - Herr  unser Herrscher,johann sebastian bach
3415,3415,815775,482755,Cantata No. 80 A Mighty Fortress Is Our God BWV 80: Chorale_ Cantata No. 80 The Word of God will firm abide against our foes assailing,Johann Sebastian Bach,0,Il silenzio di Pelesjan,2011.0,,St John Passion  BWV 245 - Herr  unser Herrscher,johann sebastian bach
3416,3416,102201,482755,Vater Unser Im Himmelreich,Johann Sebastian Bach,2008,Il silenzio di Pelesjan,2011.0,,St John Passion  BWV 245 - Herr  unser Herrscher,johann sebastian bach
3449,3449,876166,478595,A Foggy Day In London Town,Frank Sinatra_ Dean Martin and Sammy Davis Jr,0,I Cant Give You Anything But Love  Baby,1940.0,,Day by Day,frank skinner
3559,3559,627146,153228,Finale: Janette/When Does This Feeling Go Away? (LP Version),Michael Feinstein,0,Michael Feinsteins American Songbook,2010.0,Best Band in the Land (#1.2),The Only Way to Go,marvin hamlisch+michael feinstein
3569,3569,415535,305154,Let Forever Be (2003 Digital Remaster),The Chemical Brothers,2008,Tricked,2013.0,(#2.2),Let Forever Be,the chemical brothers+noel gallagher
3576,3576,960501,36678,Land of 1000 Dances,Chris Kenner,1962,Britains Got Talent,2007.0,2016: Auditions 1 (#10.1),Land of a Thousand Dances,chris kenner+wilson pickett
3577,3577,673130,36678,Land Of 1000 Dances,Wilson Pickett,1966,Britains Got Talent,2007.0,2016: Auditions 1 (#10.1),Land of a Thousand Dances,chris kenner+wilson pickett
3673,3673,636423,307892,Scene 11: Final en route amis,Stephane Deneve / Ensemble Orchestral Harmonia Nova / Choeurs Du Theatre Francais De La Musique / Nicole Maison / Annick Massis / Alain Gabriel / Lucile Vignon / Philippe Ermelier / Patrice Berger / Jean-Philippe Courtis,0,UEPA: Un Escenario Para Amar,2015.0,,QuÌ_mica en ComÌ¼n,armando Ìvila+marcela de la garza+rotger rosas+cd9
3707,3707,936012,307892,Que DifÌ_cil Es Hacer El Amor En Un Simca 1000,La Banda Del Capitan Canalla,0,UEPA: Un Escenario Para Amar,2015.0,,QuÌ_mica en ComÌ¼n,armando Ìvila+marcela de la garza+rotger rosas+cd9
3749,3749,445946,307892,En un rincon,El sueÌ±o de Morfeo,2007,UEPA: Un Escenario Para Amar,2015.0,,QuÌ_mica en ComÌ¼n,armando Ìvila+marcela de la garza+rotger rosas+cd9
3811,3811,537506,307892,Muchos Blancos En Todos Los Mapas,Triangulo De Amor Bizarro,2010,UEPA: Un Escenario Para Amar,2015.0,,QuÌ_mica en ComÌ¼n,armando Ìvila+marcela de la garza+rotger rosas+cd9
3886,3886,931196,262070,High Noon,Tex Williams & Tex Ritter,0,The Porter Wagoner Show,1961.0,Tex Ritter (#1.101),High Noon,dimitri tiomkin+ned washington+tex ritter
3908,3908,413381,102553,Don't Lock 'em Away (Song for Molly),Kevin Costner / The Modern West,0,Greys Anatomy,2005.0,Bring the Pain (#2.5),Dont Forget Me,way out west
3920,3920,857397,102553,Don't Forget Me,Way Out West,0,Greys Anatomy,2005.0,Bring the Pain (#2.5),Dont Forget Me,way out west
3937,3937,940386,102553,I Don't Know How To Love Him - Sound-a-like Cover,West End Orchestra & Singers,0,Greys Anatomy,2005.0,Bring the Pain (#2.5),Dont Forget Me,way out west
3982,3982,392445,129770,Don't Say Goodnight,Walter Beasley,0,Knight Rider,1982.0,Deadly Maneuvers (#1.3),Rikki Dont Lose That Number,walter becker+donald fagen+steely dan
3984,3984,949787,129770,I Don't Believe I'll Fall in Love Again (Album Version),DAN SEALS,0,Knight Rider,1982.0,Deadly Maneuvers (#1.3),Rikki Dont Lose That Number,walter becker+donald fagen+steely dan
4013,4013,143304,129770,Rikki Don't Lose That Number,Steely Dan,1974,Knight Rider,1982.0,Deadly Maneuvers (#1.3),Rikki Dont Lose That Number,walter becker+donald fagen+steely dan
4102,4102,75820,413411,Mass in B Minor BWV 232 : Resurrexit,Johann Sebastian Bach,0,Diana,2013.0,,Prelude & Fugue No. 4 in C Sharp Minor  BWV 849,johann sebastian bach+vesselina tchakarova
4104,4104,660422,413411,Brandenburgisches Konzert Nr.4 BWV  1049 - Andante,Johann Sebastian Bach,0,Diana,2013.0,,Prelude & Fugue No. 4 in C Sharp Minor  BWV 849,johann sebastian bach+vesselina tchakarova
4105,4105,683895,413411,Brandenburgisches Konzert Nr.1 BWV  1046 - Allegro,Johann Sebastian Bach,0,Diana,2013.0,,Prelude & Fugue No. 4 in C Sharp Minor  BWV 849,johann sebastian bach+vesselina tchakarova
4106,4106,753265,413411,Trio C-Moll fÌ_r Flauto Traverso Violine_ Violoncello und Cembalo aus dem 'Musikalischen Opfer' BWV 1,Johann Sebastian Bach,0,Diana,2013.0,,Prelude & Fugue No. 4 in C Sharp Minor  BWV 849,johann sebastian bach+vesselina tchakarova
4108,4108,815775,413411,Cantata No. 80 A Mighty Fortress Is Our God BWV 80: Chorale_ Cantata No. 80 The Word of God will firm abide against our foes assailing,Johann Sebastian Bach,0,Diana,2013.0,,Prelude & Fugue No. 4 in C Sharp Minor  BWV 849,johann sebastian bach+vesselina tchakarova
4167,4167,797179,518351,Will You Love Me Tomorrow,The Michael Stanley Band,1977,Life During Wartime,2009.0,,Thats Love,michael oneill+joe lervold+friends
4180,4180,778454,518351,I Will Love You All My Life,Michael English,0,Life During Wartime,2009.0,,Thats Love,michael oneill+joe lervold+friends
4184,4184,251103,518351,Love At First Sight (From The Film Totally Blonde),Michael BublÌ©,0,Life During Wartime,2009.0,,Thats Love,michael oneill+joe lervold+friends
4186,4186,150750,518351,Why Should Love Be This Way,Michael Stanley Band,1992,Life During Wartime,2009.0,,Thats Love,michael oneill+joe lervold+friends
4200,4200,641450,518351,(Your Love Keeps Lifting Me) Higher And Higher,Michael McDonald,0,Life During Wartime,2009.0,,Thats Love,michael oneill+joe lervold+friends
4224,4224,840904,518351,Falling In Love Again,Michael Stanley Band,1981,Life During Wartime,2009.0,,Thats Love,michael oneill+joe lervold+friends
4259,4259,487818,582745,Concerto N.4 In F Minor Largo Op.8 : Winter,Antonio Vivaldi,0,Pride & Prejudice & Zombies,2013.0,,Oboe Concerto,antonio vivaldi
4282,4282,343465,338836,Better Git Hit In Your Soul (Live Version),Charles Mingus,1986,Absolute Beginners,1986.0,,Better Git It in Your Soul (The Hot and the Cool),charles mingus
4291,4291,35961,338836,I'll Go Where Your Music Takes Me,Tina Charles,1998,Absolute Beginners,1986.0,,Better Git It in Your Soul (The Hot and the Cool),charles mingus
4302,4302,32648,338836,For Better or Worse,Sir Charles Jones,0,Absolute Beginners,1986.0,,Better Git It in Your Soul (The Hot and the Cool),charles mingus
4348,4348,379037,715244,Rocket Man (I Think It's Going To Be A Long_ Long Time),Elton John,1976,Voyage,1993.0,,Rocket Man,elton john+bernie taupin
4372,4372,190544,164282,Broken Order,Wolf Eyes,2009,NCIS: Naval Criminal Investigative Service,2003.0,Incognito (#13.3),Broken Angel,richard wolf+elijah wolf
4479,4479,533897,216587,Just Dance,Lady GaGa / Kardinal Offishall,2008,So You Think You Can Dance,2005.0,Results Show: Two Dancers Eliminated (#4.21),Just Dance,lady gaga
4482,4482,107661,216587,Just For Me,Roomsa featuring Lady Sarah,2006,So You Think You Can Dance,2005.0,Results Show: Two Dancers Eliminated (#4.21),Just Dance,lady gaga
4591,4591,776394,650276,Nights In White Satin,The Moody Blues,1967,The Boat That Rocked,2009.0,,Nights in White Satin,justin hayward+the moody blues
4681,4681,78706,699073,Tears Never Dry (Original Mix),Stephen Simmonds,0,Tommy,2014.0,,Tears Never Die,stephen simmonds
4805,4805,945922,670178,A Walk On The Wild Side Of Life,David Ball,1994,The Life Aquatic with Steve Zissou,2004.0,,Life on Mars,david bowie
4852,4852,809980,670178,Life On Mars? (Live At The Manhattan Center_ New York),David Bowie,2009,The Life Aquatic with Steve Zissou,2004.0,,Life on Mars,david bowie
4873,4873,267598,670178,I Can't Get Over You To Save My Life,David Frizzell,0,The Life Aquatic with Steve Zissou,2004.0,,Life on Mars,david bowie
5033,5033,361191,520257,All Drains Lead To The Ocean,Thomas Newman,2003,Little Nellie Kelly,1940.0,,Columbia  the Gem of the Ocean,thomas a. beckett
5264,5264,412377,177665,Slow,Vincent Oliver,0,Parenthood,2010.0,Do Not Sleep with Your Autistic Nephews Therapist (#2.17),Hear the Noise That Moves So Soft and Slow,james vincent mcmorrow
5324,5324,900933,514980,How Am I Supposed To Live Without You,Michael Bolton,1989,Lego: The Adventures of Clutch Powers,2010.0,,I Work Alone,michael lloyd+greg oconnor
5330,5330,570051,514980,But I Want More (Live At The Reading Rock Festival_ 29th August 1982),The Michael Schenker Group,0,Lego: The Adventures of Clutch Powers,2010.0,,I Work Alone,michael lloyd+greg oconnor
5337,5337,713865,514980,Shut Up and Leave Me Alone,The Michael Stanley Band,0,Lego: The Adventures of Clutch Powers,2010.0,,I Work Alone,michael lloyd+greg oconnor
5355,5355,778454,514980,I Will Love You All My Life,Michael English,0,Lego: The Adventures of Clutch Powers,2010.0,,I Work Alone,michael lloyd+greg oconnor
5360,5360,527031,514980,I Bowed On My Knees,Michael English_ Bill Gaither_ Mark Lowry_ Guy Penrod_ David Phelps,0,Lego: The Adventures of Clutch Powers,2010.0,,I Work Alone,michael lloyd+greg oconnor
5380,5380,721049,514980,Baby I Need Your Loving,Michael McDonald,0,Lego: The Adventures of Clutch Powers,2010.0,,I Work Alone,michael lloyd+greg oconnor
5388,5388,336694,514980,I Am The Bread Of Life (Songs For Worship_ Vol. 1 & 2 Album Version),John Michael Talbot,0,Lego: The Adventures of Clutch Powers,2010.0,,I Work Alone,michael lloyd+greg oconnor
5395,5395,462420,514980,I Don't Care,Michael Reno Harrell,0,Lego: The Adventures of Clutch Powers,2010.0,,I Work Alone,michael lloyd+greg oconnor
5415,5415,708957,444985,I Don't Wanna Grow Up,Tom Waits,1992,Freddy vs Ghostbusters,2004.0,,I Wont Back Down,tom petty+jeff lynne
5419,5419,646314,444985,I Washed My Face In The Morning Dew,Tom T. Hall,1968,Freddy vs Ghostbusters,2004.0,,I Wont Back Down,tom petty+jeff lynne
5435,5435,253112,444985,You Can Never Hold Back Spring,Tom Waits,2005,Freddy vs Ghostbusters,2004.0,,I Wont Back Down,tom petty+jeff lynne
5438,5438,511748,444985,I Wish You Love,Gloria Lynne,1997,Freddy vs Ghostbusters,2004.0,,I Wont Back Down,tom petty+jeff lynne
5857,5857,657436,595090,Stars and Stripes on Iwo Jima,Sons Of The Pioneers,1999,Rio Grande,1950.0,,Yellow Stripes,the sons of the pioneers
5922,5922,411178,635253,Too Hot To Stop (Pt. 1),The Bar-Kays,0,Superbad,2007.0,,Too Hot to Stop,fred freemand+harry l. nehls+the bar-kays
5963,5963,588722,523885,The Medic Theme,Les Baxter,1957,Lost & Found,1999.0,,Lassie Theme,les baxter
5995,5995,29828,346530,Peppermint Twist,Joey Dee and the Starliters,1973,American Graffiti,1973.0,,Peppermint Twist,joey dee+henry glover
6010,6010,45719,145406,Bridal Chorus,Richard Wagner / Otto Sieben,1991,M*A*S*H,1972.0,Goodbye  Farewell  and Amen (#11.16),Bridal Chorus,richard wagner
6056,6056,577135,47277,Is It Wrong (For Loving You),Warner mack,0,Cold Case,2003.0,Bombers (#7.13),Only You,yazoo+vince clarke+arrangement with warner special products
6057,6057,825930,47277,I'll Still Be Missing You,Warner mack,0,Cold Case,2003.0,Bombers (#7.13),Only You,yazoo+vince clarke+arrangement with warner special products
6208,6208,879668,306518,Ese Soy Yo,Yaga_ Mackie_ Maicol_ Manuel,2002,Tu cara me suena,2011.0,(#1.10),Como yo te amo,manuel alejandro+ana magdalena+toÌ±i salazar+francisco
6352,6352,564531,440168,Peer Gyant Suite No. 2_ Op. 55 Solveij's Lied,Edvard Grieg,0,First Comes Courage,1943.0,,Peer Gynt Suite No. 1  Op. 46  4th Movement (In the Hall of the Mountain King),edvard grieg
6367,6367,648581,488243,I Feel Like Hank Williams Tonight,Chris Wall,0,Its Whats Happening  Baby!,1965.0,,I Like It Like That,chris kenner+allen toussaint+the dave clark five
6371,6371,196167,488243,I Can Transform Ya,Chris Brown featuring Lil Wayne & Swizz Beatz,0,Its Whats Happening  Baby!,1965.0,,I Like It Like That,chris kenner+allen toussaint+the dave clark five
6378,6378,903313,488243,Do Like I Do,Chris Clark,0,Its Whats Happening  Baby!,1965.0,,I Like It Like That,chris kenner+allen toussaint+the dave clark five
6396,6396,362909,488243,I Feel Like Singing Along,Chris Wall,0,Its Whats Happening  Baby!,1965.0,,I Like It Like That,chris kenner+allen toussaint+the dave clark five
6397,6397,428904,488243,I Know You Will (LP Version),Peter Holsapple & Chris Stamey,0,Its Whats Happening  Baby!,1965.0,,I Like It Like That,chris kenner+allen toussaint+the dave clark five
6415,6415,414521,488243,You Don't Know Like I Know,Sam & Dave,1966,Its Whats Happening  Baby!,1965.0,,I Like It Like That,chris kenner+allen toussaint+the dave clark five
6421,6421,468292,488243,If I Didn't Have A Girl Like You (LP Version),Sam & Dave,1968,Its Whats Happening  Baby!,1965.0,,I Like It Like That,chris kenner+allen toussaint+the dave clark five
6434,6434,397446,488243,I Said,Deadmau5 & Chris Lake,2010,Its Whats Happening  Baby!,1965.0,,I Like It Like That,chris kenner+allen toussaint+the dave clark five
6464,6464,242054,488243,I Wish Me You,Five Star,0,Its Whats Happening  Baby!,1965.0,,I Like It Like That,chris kenner+allen toussaint+the dave clark five
6492,6492,95287,488243,I Need Love,Sam & Dave,0,Its Whats Happening  Baby!,1965.0,,I Like It Like That,chris kenner+allen toussaint+the dave clark five
6494,6494,679458,488243,The Man I Want To Be,Chris Young,0,Its Whats Happening  Baby!,1965.0,,I Like It Like That,chris kenner+allen toussaint+the dave clark five
6550,6550,367631,376069,Atomic Dog (Dogs Of The World Unite Remix) (Explicit) (Feat. Coolio),George Clinton Featuring Coolio,1996,Breakin All the Rules,2004.0,,Atomic Dog,george clinton   (as george clinton+jr.)+garry m. shider+david l. spradley+george clinton
