Column1,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists,gold
271,271,115144,255786,Why You Wanna Trip On Me,Michael Jackson,1991,The Merv Griffin Show,1962,(#4.58),Why Did I Choose You?,michael leonard herbert martin jerry lanning,0
273,273,116410,345278,Different Kind Of Cowboy (Album Version),Ray Scott,0,Alpha and Omega: Family Vacation,2015,,Different Colors,nicholas petricca sean waugaman kevin ray eli maiman walk the moon,0
293,293,124040,670929,String Quartet Op. 11: II.      Adagio,Endellion String Quartet,0,The Lobster,2015,,String Quartet No. 2: I Moderato,alfred shnitke the tale quartet with kind permission of bis record sweden,0
304,304,133151,85661,Sapphic Ode,Mormon Tabernacle Choir,0,Everybody Loves Raymond,1996,Marie and Franks New Friends (#4.19),Ode to Joy,ludwig van beethoven sydney philharmonia choir antony walker,0
327,327,141196,608145,Little Girl,John Mayall & The Bluesbreakers / Eric Clapton,0,Seduced and Abandoned,2013,,Girl  Beautiful Girl,john sebastian,0
343,343,147539,644159,Phil the Fluter's Ball / Chicken Reel (medley),Tom Byrne and Tom McCaffrey,0,The 3rd Annual Women Rock! Girls and Guitars,2002,,Trough The Fire / Coming Out Of The Dark (Medley),david foster tom keane cynthia weil   / gloria estefan emilio estefan jr. jon secada gloria estefan chaka khan,0
354,354,151086,457152,All Night Long (LP Version),Tom Paxton,0,Grand Theft Auto IV: The Ballad of Gay Tony,2009,,Nude Night,ed simons tom rowlands the chemical brothers,0
358,358,153239,329427,Break Up,Eric Sneo,2007,30 Minutes or Less,2011,,Ante Up (Robbin Hoodz Theory),jamal grinnage eric murry darryl pittman m.o.p. arrangement with sony music licensing,0
360,360,153685,58130,Sugar,Peggy Lee,1991,Dancing with the Stars,2005,(#14.1),Sugar Town,lee hazlewood,0
363,363,153708,304886,Blue In Green,US Army Field Band Jazz Ambassadors,0,Treme,2010,At the Foot of Canal Street (#1.4),Blue Drag,the jazz vipers lucia micarelli,0
374,374,157691,387500,Roadhouse Blues,The Jeff Healey Band,1989,Cement,2000,,July Blues,joe ely the joe ely band,0
376,376,158600,403465,Hey Lady Part 2 (Interlude),Marc Nelson,0,Dagim,2010,,Picture Lady,marc abaya enrique de dios kelly mangahas boogie romero kjwan,0
409,409,177265,380134,Don't Know Why,John Holt,2000,Bums,2006,,Dont Know How Good,john g.a. campbell,0
420,420,179431,389234,Cant You Find Another Way Of Doing It Baby,Sam & Dave,0,Che goh ha tin yau yee sing,2002,,Cant Afford To Love,jovi theng dave wong,0
440,440,189141,278183,Pack Up Your Troubles In Your Old Kit Bag,Llandudno Show Players,0,The Tonight Show with Jay Leno,1992,(#20.14),Up Around the Bend,john fogerty the tonight show band,0
471,471,204509,572448,Baretta: Keep Your Eye on the Sparrow (unrealesed alternative performances),Ron Carter,0,Passion & Poetry: Sams Trucker Movie,2013,,Keep on the Sunny Side of Life,a.p. carter doc watson,0
481,481,210856,72805,Mr. Melody Man (LP Version),Fred Wesley & The Horny Horns Featuring Maceo Parker,0,Documentary Now!,2015,Gentle and Soft: The Story of the Blue Jean Committee Part 2 (#1.7),Mr. Fix It,fred armisen erik kenward jon spurney davey cheowiggen,0
493,493,215284,14227,Jingle Bells (Album Version),Boney James,0,Animaniacs,1993,Hooray for North Hollywood: Part 2 (#5.6),Jingle Bells,james pierpont,0
519,519,223423,418936,Why Do Lovers Break Each Others Hearts,Bob B Soxx & The Blue Jeans,1991,Dont Ever Tell,2016,,Why,blue folkus singers,0
530,530,228594,118057,From This Moment On (2009 Digital Remaster),Frank Sinatra,0,Idols!,2002,Wildcards (#2.12),This Is the Moment,frank wildhorn leslie bricusse frank de graaf,0
542,542,231819,118538,Deep Black Mystery,Norman Howard,0,Idols,2002,Top 5: Seasons and Colours (#4.23),Black Velvet,david tyson christopher ward andriette norman,0
549,549,235435,215771,St. Andrew (This Battle Is In The Air),The White Stripes,2007,So You Think You Can Dance Canada,2008,Top 10 (#2.16),St. James Infirmary Blues,the white stripes,0
603,603,251998,161281,Telephone Song,The Vaughan Brothers;Stevie Ray Vaughan;Jimmy Vaughan,1990,Musikladen,1972,(#1.12),Yodel Song,ray sawyer dr. hook the medicine show,0
606,606,252971,259755,Night Train,Paul Revere & The Raiders (featuring Mark Lindsay),1990,The Partridge Family,1970,Diary of a Mad Millionaire (#3.24),One Night Stand,wes farrell paul anka,0
611,611,253908,43713,Somebody Loves Me,Nat King Cole,1998,Celebrity Bowling,1971,,Everybody Loves My Baby,king richards fluegel knights,0
631,631,260274,414366,Mozart: Die Entfuhrung aus dem Serail (The Abduction from the Seraglio): Overture,Wolfgang Amadeus Mozart,0,Die Rosel vom Schwarzwald,1956,,Die verrÌÄÕ_ckte Blasmusik,wolfgang wahl peer schmidt,0
635,635,264515,718542,Sunlight,Pat Metheny Group,0,We Are Your Friends,2015,,Sunlight [Extended Club Mix],stephen fasano oliver thornton mark ralph the magician years arrangement with warner music group film tv licensing,0
654,654,269961,393823,I Can't Fail,The Robert Cray Band,2010,Cliff Edwards and His Buckaroos,1941,,I Cant Get Along  Little Dogie,m.k. jerome cliff edwards his band,0
675,675,278437,623861,My Girl (She's Like Heaven To Me),White Plains,0,Soul Food,1997,,My Girl,smokey robinson ronald white,0
702,702,289844,437906,E Por Vezes (Dueto Com Susana FÌÎå©lix),Jose Cid,0,Feel the Noise,2007,,Por Ti,jose m. solis meme solis,0
721,721,297104,159313,Amor De La Calle,Trio Los Panchos,1992,Movistar MÌÄÕÌâå_sica,2009,Los Ramblers,Mucho amor,los ramblers,0
722,722,297223,244695,The Vegan Revolution Draft Dodger Anthem,Good Clean Fun,1998,The Footy Show,1994,The Grand Final Footy Show 2012 (#19.27),The Anthem,good charlotte benji madden joel madden john feldmann,0
723,723,297484,226175,This Heaven (Live In Gdansk),David Gilmour,0,Stars in Their Eyes,1990,(#8.6),This Aint a Love Song,jon bon jovi richie sambora desmond child david burrows,0
727,727,299643,249288,Maya Gold,Mike Oldfield,1992,The Interior,2007,,The Gold You Seek,mike ator edwin wendler alluvial soil,0
744,744,306302,297861,High School (Album Version),The Friday Night Boys,0,Tohuwabohu,1990,Unplugged (42) (#7.6),School Days,chuck berry the beach boys,0
748,748,306819,566411,Old Jerry,Stephen Malkmus & The Jicks,2003,One in a Million,1936,,Old Folks at Home (Swanee River),stephen foster the ritz brothers  during their first comedy routine,0
749,749,306819,648078,Old Jerry,Stephen Malkmus & The Jicks,2003,The Bears Tale,1940,,My Old Kentucky Home  Good Night,stephen foster,0
784,784,319498,345238,Feelin Good,Joe Bonamassa,2009,Alpha and Omega,2010,,Feelin So Good,sean combs jennifer lopez cory rooney steven standard george logios big pun fat joe,0
786,786,321697,210405,If,John Berry,0,Shindig!,1964,(#1.28),If I Fell,john lennon paul mccartney the wellingtons,0
811,811,326293,413586,Where Do I Go From Here,New Kids On The Bloc,1990,Diary of a Wimpy Kid,2010,,WHAT DO YOU WANT FROM ME,caleb turman austin bello jonathan cook kent garrison forever the sickest kids,0
836,836,336173,677836,Sweet Marie,tim scott,0,The People Next Door,1970,,Sweet Medusa,scott english larry weiss the bead game,0
838,838,336381,530350,Anything Goes_ I Get A Kick Out Of You,Cole Porter,0,Magnavox Presents Frank Sinatra,1973,,I Get a Kick Out of You,cole porter frank sinatra,0
841,841,336694,204567,I Am The Bread Of Life (Songs For Worship_ Vol. 1 & 2 Album Version),John Michael Talbot,0,Scream Queens,2015,Dorkus (#1.12),How Am I Supposed to Live Without You,michael bolton,0
845,845,336813,393392,The Man I Love,Paul Whiteman & His Orchestra,0,Classic Widows,1995,,Odd Man Out  Prelude,william alwyn london symphony orchestra,0
848,848,336911,655237,Hush Little Baby,Ranking Joe,1996,The Damned United,2009,,Hush,deep purple joe south special arrangement with spark marketing entertainment,0
858,858,341064,11228,O Come All Ye Faithful,The London Community Gospel Choir,0,American Horror Story,2011,Unholy Night (#2.8),O Holy Night,north star boys choir,0
873,873,346847,686681,Time To Say Goodbye,Wayne Wonder,0,The Swan Princess Christmas,2012,,All Time Low,steve mac wayne hector ed drewett the wanted,0
879,879,350579,705579,O Dolci Mani,Giuseppe Di Stefano,0,Two Family House,2000,,Questa o quella (This Woman or That),giuseppe verdi,0
911,911,359892,454219,Here Without You,Kidz Bop Kids,2004,Godzilla,1998,,Here We Go Round the Mulberry Bush,the kidsongs kids,0
954,954,374056,256643,One Time Too Many,Willie Nelson / Steven Tyler,0,The Muppet Show,1976,Bernadette Peters (#2.12),Just One Person,larry grossman bernadette peters jim henson frank oz richard hunt dave goelz jerry nelson,0
956,956,374056,535749,One Time Too Many,Willie Nelson / Steven Tyler,0,Maxwell,2013,,Time on our Side,william henries steven haller,0
958,958,374056,599874,One Time Too Many,Willie Nelson / Steven Tyler,0,Ruckus,1980,,ONE DAY AT A TIME,willie nelson hank cochran janie fricke,0
968,968,378170,296702,Gotta Get Paid,John Brown,0,Todds Pop Song Reviews,2009,The Lazy Song (#2.11),Get Up Offa That Thing,james brown,0
982,982,382771,23221,Take The Money And Run,Steve Miller Band,1976,Baseball,1994,A National Heirloom (#1.4),Take Me Out to the Ballgame,jack norworth albert von tilzer held welzel dick miller the national pastime orchestra,0
995,995,385847,608145,Younger Girl [Live],John Sebastian,0,Seduced and Abandoned,2013,,Girl  Beautiful Girl,john sebastian,0
996,996,386023,150485,Modelo Para Armar,Juan Carlos Baglietto,0,MaÌÄÕÌâå±ana es para siempre,2008,Preparativos (#1.19),Para que sigas volando,carlos macÌÄÕ_as,0
999,999,389024,62144,O Que Vai Ser De Mim,Pedro Abrunhosa,1999,De la A a la Z,2010,Pedro Aznar/Katherine Salosny (#1.19),Que he sacado con quererte,violeta parra pedro aznar,0
1000,1000,389024,508150,O Que Vai Ser De Mim,Pedro Abrunhosa,1999,La lettre,1999,,Tudo O Que Tens Para Me Dar,pedro abrunhosa,0
1062,1062,410149,102837,Where You Belong,Blank & Jones,2008,Greys Anatomy,2005,Heres to Future Days (#5.23),Where The Road Meets The Sun,katie herzig matthew perryman jones,0
1066,1066,411295,94644,You Know What The Trouble Is Baby,Tommy Dorsey and His Orchestra,2003,Game of Thrones,2011,The Climb (#3.6),You Know Nothing,ramin djawadi czech film orchestra choir,0
1071,1071,414717,651972,Piano Sonata No. 17 in D Minor_ Op. 31 - 'The Tempest': III. Allegretto,Byron Janis,0,The Byron Janis Story,2010,,Piano Concerto #3 in D-Minor,sergei rachmaninoff byron janis,0
1081,1081,417722,613621,I Want To Tell You (Live) (2004 Digital Remaster),George Harrison,0,Show Business,1944,,I Want a Girl (Just Like the Girl That Married Dear Old Dad),harry von tilzer eddie cantor george murphy constance moore joan davis,0
1087,1087,419466,216299,I Got Ants In My Pants_ Part 1,James Brown,0,So You Think You Can Dance,2005,1 of 11 Voted Off (#7.7),I Got the Feelin,james brown,0
1103,1103,425256,725097,I'll Get By (As Long As I Have You),Harry James And His Orchestra,2006,Win a Date with Tad Hamilton!,2004,,Get Up,james michael taylor dayne,0
1148,1148,448303,487800,Never Too Late For Love (2007 Remastered LP Version),Warren Zevon,1982,It Runs in the Family,2003,,Youll Never Know,mack gordon harry warren diana krall,0
1152,1152,449340,485664,Unnamed Blues,New Roanoke Jug Band,0,Intent to Kill,1958,,Blues,derek new,0
1153,1153,449340,724908,Unnamed Blues,New Roanoke Jug Band,0,Wildlike,2014,,Cowford Blues,john middleton the knotty pines band,0
1169,1169,455437,164340,Moon River (LP Version),Johnny Crawford,0,NCIS: Naval Criminal Investigative Service,2003,Requiem (#5.7),Big River,johnny cash,0
1170,1170,455437,236260,Moon River (LP Version),Johnny Crawford,0,The Andy Williams Show,1962,,Moon River,henry mancini johnny mercer,0
1181,1181,457632,425484,Oh Well,Tom Petty And The Heartbreakers,2009,Edie & Pen,1996,,Oh Me Oh My Sweet Baby,diamond rio michael garvin tom shapiro,0
1186,1186,459552,282637,Square One (Album Version),Tom Petty,2006,The Voice UK,2012,Blind Auditions 4 (#3.4),One Night Only,henry krieger tom eyen sarah eden-winn,0
1199,1199,461003,155974,Why Wont You,The Rogers Sisters,2006,MisteRogers Neighborhood,1968,1418 (#8.28),Wont You Be My Neighbor?,fred rogers,0
1200,1200,461003,156049,Why Wont You,The Rogers Sisters,2006,MisteRogers Neighborhood,1968,1469: Superheroes (#10.9),Wont You Be My Neighbor?,fred rogers,0
1202,1202,461003,156480,Why Wont You,The Rogers Sisters,2006,MisteRogers Neighborhood,1968,1640: Dress-Up (#21.15),Wont You Be My Neighbor?,fred rogers,0
1216,1216,462397,544012,Billies Bounce,Shelly Manne,0,Moneyball,2011,,Bounce To Dis,d.j. laz miranda fernando arrangement with shelly bay music,0
1238,1238,470613,566411,An Old Fashioned Christmas,The Statler Brothers,1994,One in a Million,1936,,Old Folks at Home (Swanee River),stephen foster the ritz brothers  during their first comedy routine,0
1255,1255,475640,653911,Ecco Il Birbo Che Tha Offesa (Don Giovanni_ Act 1,Wolfgang Amadeus Mozart,0,The Contender,2000,,Minuet From Don Giovanni,wolfgang amadeus mozart john carrington harpist,0
1299,1299,491581,581011,Don't Look Back,Raul Mezcolanza & Ian Hendrix,0,Portrait of a Serial Monogamist,2015,,Look Behind,ian desouza rosina kazi nic murray lal,0
1305,1305,494876,181119,Steppin' Up In Class,Jimmy McCracklin,0,Petticoat Junction,1963,Kates Homecoming (#5.30),Up  Up and Away,jimmy webb meredith macrae lori saunders linda henning,0
1327,1327,499755,307211,Think About Me (Joey Negro Club Mix),Artful Dodger Featuring Michelle Escoffery,0,Tuesday Night Book Club,2006,,Think Twice,michelle penn,0
1337,1337,505040,355957,Four Little Diamonds,Electric Light Orchestra,1983,Away We Go,2009,,The Four Seasons Spring Violin Concerto in E. Allegro,antonio vivaldi royal philharmonic orchestra,0
1364,1364,513861,579072,It's Never Sunny In South Philadelphia,The Wonder Years,0,Poetic Justice,1993,,Never Dreamed Youd Leave in Summer,stevie wonder syreeta arrangement with polygram special markets,0
1368,1368,516685,681465,Sammy Loves Eddie Hates David,Tim Hecker,2002,The Riddle,2007,,Loves Sneakin Up,tim garland,0
1378,1378,523326,269553,No Nights By Myself,Sonny Boy Williamson,0,The Sonny and Cher Show,1976,(#2.16),Nights On Broadway,barry gibb robin gibb maurice gibb sonny bono cher engelbert humperdinck barbi benton,0
1381,1381,523943,574530,One Fine Day,David Byrne & Brian Eno,2008,Perdona si te llamo amor,2014,,One Day,david schreurs vincent degiorgio caro emerald,0
1408,1408,538438,531287,Run Come (Throw Away Your Stoney Heart),Ras Michael / The Sons Of Negus,1974,Making the Grade,1984,,Come If You Want To,michael linn richard kraft,0
1410,1410,538986,77530,Que Tal Si Te Vas Conmigo,Los Dareyes De La Sierra,0,Duro de domar,2005,Beto Casella/Los Twist (#9.15),PensÌÄÕÌâå© que se trataba de cieguitos,pipo cipolatti los twist,0
1429,1429,542553,288080,What I Did For Love,Grace Jones,1977,The X Factor,2005,Live Show 5 (#4.22),I Want to Know What Love Is,angel tupai mick jones,0
1450,1450,546539,706589,Gotta Be Positive,Eddy Grant,2008,UFOria,1985,,I Gotta Outrun the Blues,eddy raven,0
1460,1460,549737,706077,Get Out There And Dance (Album Version),Tim O'brien,0,Two-Fisted Rangers,1939,,Get Along Pinto Pony,tim spencer,0
1465,1465,550180,161123,Oh_ What A Good Thing We Had,Johnny Cash;June Carter,2000,Music Scene,1969,(#1.3),Oh What a Night,marvin junior johnny funches the dells,0
1486,1486,557923,678618,What,Joey Baron feat. Arthur Blythe_ Ron Carter & Bill Frisell,1997,The Pirates of Penzance,1994,,What Ought We Do?,arthur sullivan susie french melissa langton anna butera,0
1513,1513,564531,463216,Peer Gyant Suite No. 2_ Op. 55 Solveij's Lied,Edvard Grieg,0,Hanna,2011,,Peer Gynt Suite #1  OP. 46-4  In The Hall Of The Mountain King,edvard grieg the czech philharmonic arrangement with the orchard,0
1518,1518,566199,543187,The Desperate Kingdom Of Love,Giant Sand,2008,Modulations,1998,,Desperate,sand (j. richards tim wright),0
1531,1531,575219,98685,Let Us Live,The Game / Chrisette Michele,0,Glee,2009,Loser Like Me (#6.1),Let It Go,kristen anderson-lopez robert lopez lea michele,0
1534,1534,575984,339669,The Real Thing,Phil Lesh & Friends featuring Warren Haynes,2002,Ada,1961,,May the Lord Bless You Real Good,warren roberts wally fowler,0
1594,1594,606384,335104,Population Dead,David Newman,2005,A Perfect Day,2009,,Still Dead,thomas newman,0
1608,1608,615027,277251,Over There - You're a Grand Old Flag - Yankee Doodle Boy,U.S. Air Force Band,0,The Tonight Show with Jay Leno,1992,(#19.133),Hey There Delilah,tom higgenson the tonight show band,0
1615,1615,618915,560076,Song For My Friends,Jim Bob,0,Nothing But Trouble,1991,,Same Song,shock-g ron brooks tupac shakur digital underground george clinton jim vitti j.s. theracon bootsy collins parliament jimmy mchugh dorothy fields,0
1627,1627,624307,512706,The End,Nick Moss & The Flip Tops,0,Lawless,2012,,End Crawl,nick cave warren ellis the bootleggers,0
1631,1631,627801,331221,Let the Letter Read You,Philip Glass,0,99 Homes,2014,,Let Me Down,keith jackson steven davis steve shelton the glass heroes,0
1638,1638,629905,457950,Four Seasons Concerto No. 4 In F Minor - Winter: Allegro,The London Fox Orchestra,0,Grand Theft Auto: Vice City,2002,,Four Little Diamonds,electric light orchestra jeff lynne arrangement with sony music licensing,0
1662,1662,636915,326637,Y Te Vas,Jose Luis Perales,1975,10.000 noches en ninguna parte,2013,,Porque te vas,jeanette josÌÄÕÌâå© luis perales,0
1671,1671,640273,446033,Snowdon Song,Tony Caro and John,0,Friends,1971,,Michelles Song,elton john bernie taupin,0
1685,1685,644702,279886,Who Can I Turn To?,US Army Field Band Jazz Ambassadors,0,The Tonight Show with Jay Leno,1992,Rainn Wilson/Epic Meal Time/Serj Tankian (#19.110),You Can Call Me Al,paul simon the tonight show band,0
1689,1689,646829,556568,New York City (2005 Digital Remaster),John Lennon And Yoko Ono,0,Night of 100 Stars,1982,,New York  New York,john kander fred ebb liza minnelli,0
1690,1690,646829,573329,New York City (2005 Digital Remaster),John Lennon And Yoko Ono,0,Pavarotti & Friends for War Child,1996,,New York  New York,john kander fred ebb liza minnelli luciano pavarotti,0
1694,1694,648128,11143,I don't remember you /  Sometimes a day goes by [The Happy Time / Woman of the Year],Bryn Terfel / Paul Gemignani / Orchestra of the Welsh National Opera,0,American Horror Story,2011,Show Stoppers (#4.12),If I Cant Be Yours All Of The Time,the morrie morrison orchestra,0
1708,1708,652902,329098,September When It Comes,Rosanne Cash Featuring Johnny Cash,2000,29 und noch Jungfrau,2007,,When We Are Together,johnny mcelhone sharleen spiteri texas,0
1724,1724,660422,391836,Brandenburgisches Konzert Nr.4 BWV  1049 - Andante,Johann Sebastian Bach,0,Chronik der Anna Magdalena Bach,1968,,Italian Concerto  BWV 971 - Andante,johann sebastian bach,0
1730,1730,661829,601953,Tell Your Heart I Love You,Stevie Wonder,2005,Safe Men,1998,,Tell Me Something Good,stevie wonder rufus chaka khan,0
1764,1764,672058,36061,What Was Once...,David Torn,1995,Britains Got More Talent,2007,2015: Live Semi-Final 4 (#9.11),What I Did for Love,david guetta giorgio tuinfort breyan stanley isaac jason evigan sam martin sean douglas emeli sandÌÄÕÌâå©,0
1765,1765,672058,73511,What Was Once...,David Torn,1995,Dolly,1987,Down in New Orleans (#1.21),What a Wonderful World,bob thiele george david weiss george kirby,0
1766,1766,672058,287558,What Was Once...,David Torn,1995,The X Factor,2004,Judges Houses 2 (#10.12),What About Now,ben moody david hodges josh hartzler westlife,0
1784,1784,678131,493747,Goodbye Baby (Baby Goodbye),Van Morrison,1967,Jolson Sings Again,1949,,Pretty Baby,egbert van alstyne tony jackson al jolson,0
1795,1795,682142,501811,Lord Remember Me (Album Version),Long John Baldry,0,Kingdom Come,2001,,Help Lord (Wont You Come),m.c. hammer ontario haynes maurice stewart john rhone arrangement with warner special products,0
1796,1796,682142,692733,Lord Remember Me (Album Version),Long John Baldry,0,The Yellow Handkerchief,2008,,Do Lord Remember Me,mississippi john hurt arrangement with ocean park music group,0
1808,1808,686544,264071,World Destruction (Meltdown Remix),Time Zone featuring John Lydon & Afrika Bambaataa,1992,The Ren & Stimpy Show,1991,I Was a Teenage Stimpy/Whos Stupid Now? (#5.6),Natures World 8,john fox,0
1818,1818,689730,267685,Never Fall In Love,Dan Bern,1997,The Simpsons,1989,Gump Roast (#13.17),Theyll Never Stop the Simpsons,alf clausen dan castellaneta,0
1819,1819,690229,694345,Dark Eyes / It Happened In Monterey (Medley) (1996 Digital Remaster),The Mallet Men,0,Thirty Seconds Over Tokyo,1944,,The Eyes of Texas Are Upon You,john lang sinclair the men in the barracks,0
1833,1833,694045,235806,Concerto No 1 In B Flat Minor_ Op23: Third Movement - Allegro Con Fuoco,Van Cliburn,0,The Adventures of the Galaxy Rangers,1986,Tower of Combat (#1.62),No Guts  No Glory,john van tongeren phil galdston,0
1847,1847,699481,437150,Shut Up B***h (Explicit Album Version),Lil' Kim,2005,Fast Money,2006,,Get Up,r. kim aka chan,0
1870,1870,710573,363111,I Just Had You On My Mind,John Wesley Ryles,0,Bedtime with Barney: Imagination Island,1994,,Just Imagine (Reprise),philip a. parker stephen white bob west hope cervantes pia manalo john david bennett ricky carter barry pearl julie johnson patty wirtz,0
1905,1905,720986,418368,Say Forever You'll Be Mine,Porter Wagoner & Dolly Parton,0,Dolly: A Collection of Hits & Duets,2014,,Mama Say A Prayer,dolly parton,0
1909,1909,722722,127353,Redemption Day,Sheryl Crow,1996,Katie,2012,(#1.78),This Day,sheryl crow,0
1932,1932,732038,260212,Ill Catch You When You Fall,Laura Lee,0,The Perry Como Show,1948,(#10.18),Catch a Falling Star,lee pockriss paul vance perry como,0
1953,1953,739607,681761,Herodiade: Ne Pouvant Reprimer,Alfredo Kraus,0,The Road to Empire,2007,,Ebben! Ne andrÌÄÕ_ lontana,alfredo catalani,0
1957,1957,740561,33325,Good Riddance - Time Of Your Life (Vocals Removed),Green Day Can You Rock Instructional,0,Boardwalk Empire,2010,Family Limitation (#1.6),A Good Man is Hard to Find,eddie green ehud rasherie,0
1968,1968,745179,731120,Way Down,Marty Stuart And His Fabulous Superlatives / Handsome Harry,2005,Yu-Gi-Oh!: The Abridged Movie,2007,,One Way or Another,nigel harrison debbie harry blondie,0
1977,1977,746773,247165,I Can't Help It (If I'm Still In Love With You),Hank Williams,1951,The Graham Kennedy Show,1968,(1973-08-14),I Cant Dance to Your Music,jeff barry mentor williams john farnham,0
1979,1979,747629,11947,Funny What Love Can Do,Bobby Darin,1995,American Idol: The Search for a Superstar,2002,The Final Decision... But the Right One? (#3.12),What You Wont Do for Love,bobby caldwell alfons kettner matthew rogers,0
1981,1981,747695,444200,I'm Stuck,Alexandre Desplat & Aaron Zigman,2007,Frank Sinatras Welcome Home Party for Elvis Presley,1960,,Stuck on You,aaron schrÌÄÕÌâå_der j. leslie mcfarland elvis presley the jordanaires,0
1991,1991,750047,29456,If I Can't Eat Right,Killer Mike feat. Gangsta Pill and Rochelle Fox,2008,Benched,2014,Hooked & Booked (#1.3),I Cant Hang,nathan fox,0
2020,2020,759656,42723,Big Trouble,Robert Palmer,1994,Cartoon Sushi,1997,(#1.1),Big Show Theme,robert sharples,0
2021,2021,759656,125684,Big Trouble,Robert Palmer,1994,Justified,2010,Guy Walks Into a Bar (#3.10),Big Dog Blues,robert j. walsh,0
2027,2027,761943,361820,Daydream Believer (Album Version),John Stewart,0,Be Cool,2005,,Believer,will.i.am john legend christina milian,0
2043,2043,764495,378709,Living In The U.S.A. (1991 Digital Remaster),Steve Miller Band,1991,Bruce Springsteen: Born in the U.S.A.,1984,,Born In U.S.A.,bruce springsteen the e street band,0
2057,2057,771195,71230,Change With the Times,Van McCoy,1975,Disney 365,2006,Where Are They Now: Anneliese van der Pol,A Change in Me,tim rice alan menken anneliese van der pol,0
2058,2058,771295,239674,Let Freedom Ring,Bill Whelan / Tsidii Le Loka / Eoghan O'Neill / Des Moore / Noel Heraty / Robbie Harris / The Amanzi Singers,2000,The Blues,2003,The Road to Memphis (#1.3),Let the Good Times Roll,fleecie moore spo-de-odee b.b. king the memphis all-stars,0
2059,2059,771295,305154,Let Freedom Ring,Bill Whelan / Tsidii Le Loka / Eoghan O'Neill / Des Moore / Noel Heraty / Robbie Harris / The Amanzi Singers,2000,Tricked,2013,(#2.2),Let Forever Be,the chemical brothers noel gallagher,0
