song_id,track_id,title,artists,song,year,episode,episode_year
55255.0,142137.0,Lost,rick nielsen+cheap trick,Dream Police,1979.0,The Lie (#5.2),2004.0
56863.0,191729.0,Rage,jimmy page+john paul jones+john bonham+led zeppelin,Communication Breakdown ('Top Gear'  Live Version From BBC Sessions),0.0,The Church Guest Program Rage,1987.0
57215.0,345111.0,Along the Way,greg graffin+bad religion,Latch Key Kids (Album Version),1982.0,,1992.0
57832.0,500215.0,Kid Millions,gaston lyle+eddie cantor,The Man on the Flying Trapeze,1994.0,,1934.0
61728.0,441273.0,Flipped,Smokey Robinson & The Miracles,You've Really Got A Hold On Me,1990.0,,2010.0
61737.0,480768.0,Ill Turn to You,The John Earl Walker Band,Ill Turn to You,0.0,,1946.0
62055.0,438652.0,Fido,jimmy witherspoon,Sweet Lovin' Baby,2005.0,,2006.0
62183.0,643479.0,The 60s,bob dylan,Mr. Tambourine Man,1965.0,,1999.0
62822.0,570301.0,Palm Harbor Vice 2: Brotherhood of the Monkey,jan hammer,Rum Cay,1987.0,,1993.0
64466.0,620333.0,Snowriders II,patti griffin,Let Him Fly,1996.0,,1997.0
65892.0,511954.0,Last Night,derek fudesco+marty lund+peter quirk+the cave singers,Seeds of Night,2007.0,,2010.0
66313.0,365565.0,Bette Midler in Concert: Diva Las Vegas,jimmy webb+bette midler,MacArthur Park,1996.0,,1997.0
66313.0,453056.0,Glen Campbell: Ill Be Me,jimmy webb+glen campbell,MacArthur Park,1996.0,,2014.0
66385.0,152615.0,Metal Evolution,linkin park,One Step Closer [Live At Milton Keynes],2008.0,Nu Metal (#1.8),2011.0
67651.0,440143.0,Firestorm,giorgio moroder  / david bowie+david bowie+arrangement with universal music special markets,Cat People (Putting Out the Fire),1982.0,,1998.0
68851.0,5745.0,90210,lady gaga,Poker Face,2008.0,Zero Tolerance (#1.23),2008.0
69563.0,457803.0,Grand Theft Auto: San Andreas,johnny king+the fatback band,Yum Yum (Gimme Some),1975.0,,2004.0
70050.0,501209.0,Kim Wilde: The Video Music Collection,kim wilde,View From A Bridge (Raw Remix) (Edit),1987.0,,1984.0
71124.0,438410.0,Feudin Rhythm,tex owens+eddy arnold,Cattle Call,2004.0,,1949.0
71124.0,567201.0,Opry Video Classics: Pioneers,tex owens+eddy arnold,Cattle Call,2004.0,,2007.0
74997.0,182126.0,Play for Today,john lennon+paul mccartney,Lucy in the Sky with Diamonds,1974.0,The Flipside of Dominick Hide (#11.8),1970.0
75820.0,391831.0,Chronik der Anna Magdalena Bach,johann sebastian bach,Mass in B Minor BWV 232 : Resurrexit,0.0,,1968.0
75922.0,210178.0,Shindig!,Dick & Dee Dee,Thou Shalt Not Steal (Album Version),0.0,(#1.19),1964.0
76235.0,521278.0,Living with Michael Jackson: A Tonight Special,michael jackson,2 Bad,1995.0,,2003.0
76521.0,636822.0,Sweet  Sweet Country,habib koite,Barra,0.0,,2013.0
76639.0,479339.0,I Love You  Dont Touch Me!,pierre marchand+sarah mclachlan,Fumbling Towards Ecstasy,1999.0,,1997.0
78706.0,699073.0,Tommy,stephen simmonds,Tears Never Dry (Original Mix),0.0,,2014.0
79018.0,404213.0,Dance Craze,madness,Night Boat to Cairo,1979.0,,1981.0
80699.0,86786.0,Fallen Angels,jerome kern+dorothy fields+fred astaire,The Way You Look Tonight,1998.0,The Professional Man (#2.2),1993.0
81334.0,372122.0,Bluebird,patsy cline+pappy stewart,Dear God - I Go To Church On Sunday,0.0,,2013.0
84230.0,138611.0,Life with Judy Garland: Me and My Shadows,jean schwartz+judy garland,Rock-a-Bye Your Baby with a Dixie Melody,0.0,,2001.0
84230.0,641961.0,Terms of Endearment,sam lewis+joe young+jean schwartz+judy garland,Rock-a-Bye Your Baby with a Dixie Melody,0.0,,1983.0
84820.0,38970.0,CMT Top 20 Countdown,miranda lambert+jack ingram,Gunpowder and Lead,2009.0,(2007-11-29),2001.0
85070.0,529146.0,Made in Heaven,neil young+buffalo springfield+arrangement with warner special products,Mr. Soul (Album Version),0.0,,1987.0
85167.0,164340.0,NCIS: Naval Criminal Investigative Service,Trick Pony (Featuring Johnny Cash and Waylon Jennings),Big River (Featuring Johnny Cash and Waylon Jennings) (Album Version),2001.0,Requiem (#5.7),2003.0
85167.0,395100.0,Cold Chisel Ringside,Trick Pony (Featuring Johnny Cash and Waylon Jennings),Big River (Featuring Johnny Cash and Waylon Jennings) (Album Version),2001.0,,2004.0
86020.0,560028.0,Not the Way It Feels,jim croce+toby lightman,Operator (Thats Not The Way It Feels),0.0,,2010.0
86129.0,46178.0,CinÌ©ma de minuit,francis lai,Les Ì©toiles du cinÌ©ma,1996.0,,1976.0
86201.0,363417.0,Beethovens 2nd,carole bayer sager+james ingram+clif magness+dolly parton,The Day I Fall in Love,0.0,,1993.0
86604.0,103417.0,Greys Anatomy,unkle bob,Swans,2006.0,Some Kind of Miracle (#3.17),2005.0
87037.0,644992.0,The 62nd Annual Tony Awards,elton john+the lion king company,Circle of Life,0.0,,2008.0
87569.0,547262.0,Mrs. Miniver,Sir Edward Elgar,Pomp and Circumstance March No. 1 in D Op. 39 No. 1 (1993 Digital Remaster),0.0,,1942.0
88714.0,121266.0,Intervention,craig marks,Intervention Main Title,1987.0,Dan (#4.12),2005.0
89508.0,202119.0,Saturday Night Live,the black eyed peas+fergie+will.i.am+taboo+david guetta+apl.de.ap+frederic riesterer,I Gotta Feeling (Edit),2009.0,January Jones/Black Eyed Peas (#35.6),1975.0
89865.0,247165.0,The Graham Kennedy Show,jeff barry+mentor williams+john farnham,I Can't Dance To Your Music,1995.0,(1973-08-14),1968.0
91106.0,682914.0,The Santa Clause 3: The Escape Clause,joakim arnell+the refreshments,I'm The Real Santa,0.0,,2006.0
91648.0,528178.0,MacGruber,andrew bird,Dark Matter,2006.0,,2010.0
94655.0,481030.0,Im in Love with a Church Girl,bosko+rene f. sotomayor+t-bone,Shake Ya Body,2005.0,,2013.0
94862.0,578616.0,Plaza Suite,Frank Chacksfield,I Could Have Danced All Night,0.0,,1986.0
95287.0,420703.0,Down to You,sam phillips,I Need Love,0.0,,2000.0
97668.0,73473.0,Dolly,tim dubois+dolly parton+jerry reed,She Got The Goldmine (I Got The Shaft),1993.0,(#1.8),1987.0
98008.0,158772.0,Morfi  todos a la mesa,fito pÌÁez,Tema de Piluso,0.0,(2016-02-02),2015.0
99074.0,380243.0,Burgeon and Fade,The Mohawk Lodge,Calm Down,2007.0,,2007.0
99421.0,175193.0,OperaciÌ_n triunfo,mÌ_nica naranjo+giulia fasolino+bruno zucchetti+anna gotti,Chicas Malas (Album Version),2002.0,Gala 11 (#6.12),2001.0
100380.0,46860.0,Classic Ghost Stories,Sir Edward Elgar,Symphony No. 1 in A flat Op. 55 (1992 Digital Remaster): II.     Allegro molto -,0.0,Oh  Whistle  and Ill Come to You  My Lad (#1.4),1986.0
102207.0,435701.0,Faintheart,phil oakey  / philip adrian wright   / jo callis+human league,Don't You Want Me (Majik J Original Booty Vocal Mix),2003.0,,2008.0
102503.0,543893.0,Mondo Trasho,teddy randazzo+bobby weinstein+little anthony+the imperials,Goin Out of My Head,0.0,,1969.0
104214.0,237224.0,The Beatles Anthology,ned fairchild+eddie cochran,Twenty Flight Rock,1957.0,,1995.0
104386.0,379979.0,Bully,tricky+i. broomfield,Bury the Evidence (Album version),2001.0,,2001.0
105630.0,378709.0,Bruce Springsteen: Born in the U.S.A.,Bruce Springsteen & The E Street Band,Born In The U.S.A.,1984.0,,1984.0
108601.0,484714.0,IncontrÌ«lable,marvin gaye+odell brown+david ritz,Sexual Healing,1982.0,,2006.0
109815.0,450737.0,Get Low,jack lawrence+the ink spots,If I Didn't Care,1989.0,,2009.0
110184.0,369817.0,Blade II,c.j. stone+reinhard raith+voodoo+serano,Blood is Pumping (Cold Blood),2001.0,,2002.0
110426.0,68531.0,Designing Women,Maurice Williams and the Zodiacs,Stay (Just a Little Bit Longer),0.0,Theres Some Black People Coming to Dinner (#2.16),1986.0
110426.0,346687.0,American Hot Wax,Maurice Williams and the Zodiacs,Stay (Just a Little Bit Longer),0.0,,1978.0
110859.0,10030.0,Alma GÌ»mea,Kenny G featuring Arturo Sandoval,At Last,2009.0,,2005.0
115029.0,98198.0,Glastonbury 2016,beck,Sexx Laws,1999.0,Day 3  Part 2 (#1.15),2016.0
117222.0,203992.0,Scandal,the isley brothers,LIVIN' IN THE LIFE,1977.0,Defiance (#2.7),2012.0
117233.0,35021.0,BrainDead,David Cassidy & The Partridge Family,I Think I Love You,0.0,Notes Toward a Post-Reagan Theory of Party Alliance  Tribalist  and Loyalty: Past as Prologue (#1.6),2016.0
117822.0,464282.0,Hard to Be Me,cyndi lauper+rob hyman+william wittman,It's Hard to Be Me,2002.0,,2010.0
118215.0,648162.0,The Beatles: 1,john lennon+paul mccartney+the beatles,I Don't Want To Hear Any More (single version),0.0,,2015.0
118491.0,418523.0,Dom za vesanje,vaska jankovska,Ederlezi,0.0,,1988.0
119201.0,342264.0,Alanis Morissette: Feast on Scraps,alanis morissette  / glen ballard+alanis morissette,You Learn (Acoustic Album Version),2005.0,,2002.0
119281.0,458507.0,Grease,jim jacobs+warren casey+frankie avalon,Beauty School Drop-Out,1978.0,,1978.0
120424.0,272420.0,The Thorn Birds,henry mancini,The Thorn Birds Theme,1988.0,Part 3 (#1.3),1983.0
122185.0,470048.0,High Heels and Low Lifes,leroy green+ron kersey+the trammps,Disco Inferno (Single Edit),0.0,,2001.0
126904.0,697536.0,Tin Men,david steele+fine young cannibals,As Hard As It Is,1988.0,,1987.0
127132.0,30124.0,Beverly Hills  90210,chris isaak,Wicked Game (Remastered Album Version),2006.0,One Man and a Baby (#1.11),1990.0
129690.0,197029.0,Rockopop,henry priestman+the christians,Words,1990.0,(1990-02-10),1988.0
130470.0,461356.0,Gzaabneulni,billy gibbons+frank beard+dusty hill+zz top,Blue Jeans Blues [Remastered Album Version],0.0,,2013.0
132847.0,445588.0,French Kiss,les negresses vertes+mathieu crespin+jean-marie paulus+noel rota+stefane mellino,Les Yeux De Ton PÌ¬re (I'll Kill You),0.0,,1995.0
132951.0,239835.0,The Bobby Goldsboro Show,curtis mayfield,Future Shock (ReMastered),2006.0,(1973-12-15),1973.0
134337.0,161285.0,Musikladen,shel silverstein+dr. hook+the medicine show,Roland The Roadie And Gertrude The Groupie,0.0,(#1.12),1972.0
137233.0,357788.0,Bad Brains Live at CBGB OMFUG 1982,bad brains,Big Takeover (1991 Digital Remaster),1983.0,,2006.0
137838.0,382954.0,Call of the Canyon,bob nolan+the sons of the pioneers,A Cowboy Has To Sing,0.0,,1942.0
138395.0,136449.0,Later... With Jools Holland,the cribs,We Were Aborted,2009.0,(#35.3),1992.0
138919.0,681000.0,The Regular Guy,screamin jay hawkins,Constipation Blues,1969.0,,2003.0
139142.0,492346.0,Jimmy the C,hoagy carmichael+stuart gorrell+ray charles,Georgia on My Mind,1956.0,,1977.0
139428.0,51975.0,Criminal Minds,jackson browne,Doctor My Eyes,1972.0,Plain Sight (#1.4),2005.0
139428.0,47466.0,Cold Case,jackson browne,Doctor My Eyes,1972.0,Honor (#3.8),2003.0
140145.0,135268.0,Late Show with David Letterman,aimee allen+scott russo+linda perry+unwritten law,Save Me,1999.0,(#12.99),1993.0
140145.0,105298.0,Ha-Shminiya,aimee mann,Save Me,1999.0,Ippon (#1.35),2005.0
141182.0,687427.0,The Theory of Flight,michael glabicki+jim donovan+jenn wertz+liz berlin+rusted root,Send Me on My Way,1992.0,,1998.0
141658.0,261363.0,The Porter Wagoner Show,freddie weller,The Promised Land,0.0,Freddie Weller (#1.474),1961.0
142027.0,416160.0,Disco,allee willis+jon lind+earth wind+fire,Boogie Wonderland,1987.0,,2008.0
143210.0,573375.0,Pawn Sacrifice,john fogerty+creedence clearwater revival,Travellin Band,1998.0,,2014.0
143304.0,129770.0,Knight Rider,walter becker+donald fagen+steely dan,Rikki Don't Lose That Number,1974.0,Deadly Maneuvers (#1.3),1982.0
144176.0,424122.0,EA Skate 2,year long disaster,Leda Atomica,2007.0,,2009.0
146156.0,79047.0,EastEnders,ed cobb+soft cell,Tainted Love (DJ Rad Remix),2010.0,(2010-05-12),1985.0
146293.0,10623.0,American Dad!,skyler gordy+stefan gordy+lil jon+eric delatorre+lmfao,Shots,2008.0,Can I Be Frank with You? (#8.3),2005.0
146293.0,296476.0,Todds Pop Song Reviews,lil jon+skyler gordy+stefan gordy+eric delatorre+lmfao,Shots,2008.0,Turn Down for What by DJ Snake and Lil Jon (#6.8),2009.0
146405.0,376535.0,Bride Wars,thomas de quincey+manuela kamosi+technotronic,Pump Up The Jam,1989.0,,2009.0
147228.0,239072.0,The Bill,hugh cornwell+jean-jacques burnel+jet black+dave greenfield+the stranglers,Golden Brown,1981.0,Confidence (#13.31),1984.0
148476.0,206167.0,Sense8,fatboy slim+macy gray+bill withers+fatboy slim  ),Demons,2000.0,Demons (#1.6),2015.0
149082.0,629036.0,Starsky & Hutch,Johnny Cash with The Carter Family The Statler Brothers & Carl Perkins,Closing Medley: Folsom Prison Blues/I Walk The Line/Ring Of Fire/The Rebel - Johnny Yuma,0.0,,2004.0
149082.0,136327.0,Later... With Jools Holland,Johnny Cash with The Carter Family The Statler Brothers & Carl Perkins,Closing Medley: Folsom Prison Blues/I Walk The Line/Ring Of Fire/The Rebel - Johnny Yuma,0.0,(#3.7),1992.0
149838.0,719734.0,Welcome to Sunny Florida,tori amos,Cloud on My Tongue,1994.0,,2004.0
151228.0,93663.0,Frontline/World,Mandell_ Eleni,Artificial Fire,2009.0,30 000 Feet: Frequent Flyer,2002.0
152439.0,406364.0,Dave Matthews Band: The Gorge,DAVE MATTHEWS BAND,Grey Street,2001.0,,2004.0
153652.0,263189.0,The Ren & Stimpy Show,raymond scott,Manhattan Minuet,1992.0,A Visit to Anthony (#2.11),1991.0
153685.0,540458.0,Midnight Serenade,sidney d. mitchell+edna alexander+maceo pinkard+peggy lee,Sugar,1991.0,,1947.0
153694.0,599923.0,Rude,the dream warriors,Sink Into the Frame of the Portrait,1994.0,,1995.0
156163.0,220208.0,Soul Train,kiyamma griffin+vincent herbert+freddie jackson,Can I Touch You,1992.0,Freddie Jackson/Mikki Howard/Da Youngstas (#22.5),1971.0
156268.0,340330.0,Adventures in the Sin Bin,the shadows of knight,Gospel Zone (LP Version),0.0,,2012.0
157422.0,346730.0,American Idiot,green day,Jesus Of Suburbia [I. Jesus Of Suburbia/II. City Of The Damned/III. I Don't Care/IV. Dearly Beloved/V. Tales Of Another Broken Home] [feat. Green Day & The Cast Of American Idiot] (Album Version),0.0,,
157437.0,313356.0,Videomatch,gustavo cerati+soda stereo,De mÌ¼sica ligera,1990.0,(1995-12-28),1990.0
158767.0,693106.0,Thelonious Monk: Straight  No Chaser,Miles Davis & Thelonious Monk,Blue Monk,0.0,,1988.0
159394.0,159321.0,Movistar MÌ¼sica,claudio valenzuela+lucybell,Fe,2006.0,Lucybell,2009.0
159983.0,298566.0,Top of the Pops,steve marriott+ronnie lane+small faces,Itchycoo Park - Original (Mono),0.0,(1976-01-08),1964.0
161099.0,554436.0,Nel blu dipinto di blu,domenico modugno+franco migliacci,Nel Blu dipinto di Blu (Volare) - Johnny Dorelli Version,0.0,,1959.0
169108.0,302146.0,Top of the Pops,new order,Round & Round,1989.0,(1989-03-16),1964.0
169246.0,681077.0,The Replacements,dino fekaris+freddie perren+gloria gaynor,I Will Survive (ReMastered),1999.0,,2000.0
169319.0,210752.0,Shindig!,titus turner+the righteous brothers,Sticks and Stones,1967.0,(#1.41),1964.0
170338.0,420259.0,Double Trouble,doc pomus+mort shuman+elvis presley,Double Trouble,1987.0,,1967.0
170792.0,31133.0,Bingo,the sisters of mercy,This Corrosion,1987.0,(1988-02-26),1987.0
170858.0,159942.0,Mulatschag,billy talent,Saint Veronika,2009.0,(#1.142),2006.0
170984.0,599770.0,Rubbeldiekatz,nino tempo+april stevens,Teach Me Tiger,1961.0,,2011.0
171183.0,431215.0,Enter the Void,throbbing gristle,Hamburger Lady (Remastered Version),0.0,,2009.0
171803.0,373149.0,Bon Appetit,John Lennon / Paul McCartney,Yesterday,1998.0,,1967.0
173213.0,1354.0,20 to 1,louis armstrong+george david weiss  / bob thiele,What A Wonderful World,1968.0,Greatest Songs of All Time (#3.2),2005.0
173993.0,111885.0,Hollywood a Go Go,george jones+don rollins+jody miller,The Race Is On,0.0,(#1.33),1964.0
174812.0,576166.0,Physical Graffiti: A Classic Album Under Review,john paul jones+jimmy page+robert plant+led zeppelin,No Quarter,2002.0,,2008.0
175972.0,234200.0,Tempos Modernos,ana carolina+chiara civello,10 minutos (Dimmi PerchÌ©),2009.0,(#1.1),2010.0
177469.0,278248.0,The Tonight Show with Jay Leno,david paich+boz scaggs+the tonight show band,Lido Shuffle,1976.0,(#20.151),1992.0
177889.0,18102.0,Atop the Fourth Wall,mick jagger+keith richards+the rolling stones,You Can't Always Get What You Want,1969.0,Ultimates 3 # 3 and 4 (#3.5),2008.0
178940.0,623858.0,Soul Food,kenneth babyface edmonds+arrangement with sony music licensing,I Said I Love You,1996.0,,1997.0
179897.0,332681.0,A Disney Christmas Gift,music: john debney,Christmas Morning Story,0.0,,1983.0
180696.0,430074.0,Empire Records,evan dando+chris bell+alex chilton,The Ballad of El Goodo,1995.0,,1995.0
184359.0,656476.0,The Dig,brazilian girls,Homme,2005.0,,2005.0
184452.0,217934.0,So You Think You Can Dance,maxwell,This Woman's Work,1997.0,Top Six Perform (#7.16),2005.0
187047.0,50697.0,Countdown,stevie wonder,Living for the City,1973.0,(#1.7),1974.0
187328.0,627524.0,St. Trinians,The Four Aces / Al Alberts,Love Is a Many Splendored Thing,1991.0,,2007.0
187629.0,180132.0,Peaky Blinders,nick cave+warren ellis,Queenie's Suite,2006.0,(#1.1),2013.0
187737.0,312792.0,Veronica Mars,saybia,Brilliant Sky,2004.0,Silence of the Lamb (#1.11),2004.0
187794.0,524917.0,Love Hurts,southern pacific+kurt howell+john mcfee+arrangement with warner special products,MIDNIGHT HIGHWAY,0.0,,1990.0
188836.0,47302.0,Cold Case,bernard sumner+peter hook+stephen morris+gillian gilbert+new order,Age of Consent,1983.0,Chinatown (#7.8),2003.0
189571.0,298433.0,Top of the Pops 2,brenda russell+donna summer,Dinner with Gershwin,0.0,Donna Summer,1994.0
190493.0,618924.0,Sliding Doors,warren zevon+jackson browne+patty larkin,Tenderness On The Block (2007 Remastered LP Version),1978.0,,1998.0
