Column1,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artist_name,gold
691,691,813177,92215,I Don't Want To Be,Gavin DeGraw,2003,Friday Night Football,2002,Round 23: Richmond vs North Melbourne (#14.27),I Dont Want to Be,performed by gavin degraw,1
692,692,814868,301333,Reach Out And Touch (Somebody's Hand) (Live),Diana Ross,1989,Top of the Pops,1964,(1980-11-20),Im Coming Out,diana ross,0
783,783,563319,254595,A Swingin Safari,Bert Kaempfert And His Orchestra,2003,The Match Game,1962,(#2.40),A Swingin Safari (The MATCH GamE),bert kaempfert,1
786,786,89508,199252,I Gotta Feeling (Edit),The Black Eyed Peas,2009,Rugby League: Challenge Cup,2007,Fourth Round: Huddersfield vs. St Helens (#8.1),I Gotta Feeling,will.i.am+apl.de.ap+taboo+fergie+david guetta+the black eyed peas,1
798,798,799421,153534,Mickey Mouse Clubhouse Theme,They Might Be Giants,2008,Mickey Mouse Clubhouse,2006,Minnie and Daisys Flower Shower (#3.28),Mickey Mouse Clubhouse theme,they might be giants,1
850,850,872553,677853,Cello Concerto No. 2 in D Major_ Hob. VIIb/2: III. Allegro,Bamberg Symphony Orchestra,0,The People vs. George Lucas,2010,,Symphony No.3 in E flat major Eroica  Op.55,moscow symphony orchestra in the great hall of the moscow conservatory,0
897,897,280974,666801,The Girl From Ipanema,Antonio Carlos Jobim / Stan Getz,0,The Intern,2015,,The Girl From Ipanema,antonio carlos jobim+norman gimbel+vinicius de moraes+astrud gilberto,1
913,913,119274,489341,You Can't Rollerskate In A Buffalo Herd,Roger Miller,0,Jackass 3D,2010,,You Cant Rollerskate in a Buffalo Herd,roger miller,1
964,964,345856,528937,A Still Life Franchise (Album Version),Less Than Jake,0,Madden NFL 2007,2006,,Still Life Franchise,less than jake,1
969,969,646522,627089,Run Around,Blues Traveler,1997,Spun,2002,,Run Around,blues traveler,1
1016,1016,873780,450341,I'll Be Your Mirror,The Velvet Underground / Lou Reed,1966,Georgia,1995,,ILL BE YOUR MIRROR,lou reed,1
1024,1024,216250,503610,Have You Ever Seen The Rain?,John Fogerty,0,Kong Curling,2011,,Have you ever seen the rain,john fogerty,1
1048,1048,892274,44186,Pencil Full Of Lead (Radio Edit),Paolo Nutini,2009,Champion of Champions,2013,2015: Day Two - Part 2 (#3.4),Pencil Full of Lead,paolo nutini,1
1093,1093,240709,299624,Wuthering Heights,Kate Bush,1977,Top of the Pops,1964,(1978-03-16),Wuthering Heights,kate bush,1
1095,1095,368537,185294,Ghostbusters,Ray Parker Jr,1984,Pop Up Video,1997,Movie Magic 1: Movie Theme Songs (#2.59),Ghostbusters,ray parker jr.,1
1113,1113,773250,281180,You Give Love A Bad Name,Bon Jovi,1986,The Vampire Diaries,2009,Graduation (#4.23),You Give Love a Bad Name,jon bon jovi+desmond child+richie sambora+bon jovi,1
1119,1119,543165,645863,Go West,Village People,1979,The Adventures of Priscilla  Queen of the Desert,1994,,Go West,jacques morali+henri belolo+victor willis+the village people,1
1151,1151,845516,152813,Te Quiero Tanto_ Tanto,Onda Vaselina,1998,Mi pequea traviesa,1997,,Te Quiero Tanto Tanto,guillermo mndez gui_+la onda vaselina,1
1154,1154,453218,67333,Saia Indiscreta,Filarm_nica Gil,0,Deixa-me Amar,2007,(#1.82),Saia indiscreta,filarm_nica gil,1
1174,1174,160521,702337,Che Cosse' L'amor,Vinicio Capossela,2010,Tre uomini e una gamba,1997,,Che coss lamor,vinicio capossela,1
1253,1253,602739,688627,Cantique (XXX Version),Die Form,0,The Tunnel,2001,,Cantique 1,die form,1
1268,1268,139536,196424,Trash Day (Parody of 'Hot In Herre' by Nelly),Weird Al' Yankovic,2003,Robot Chicken,2005,The Munnery (#2.12),Weasel Stomping Day,weird al yankovic,0
1306,1306,240489,681253,Louie Louie,Richard Berry,0,The Return of Sherlock Holmes,1987,,Louie  Louie,richard berry,1
1317,1317,344072,320229,The Nutcracker Op.71-atto 2 - Chinese Dance,Pyotr Il'yich Tchaikovsky,0,Without a Trace,2002,Copy Cat (#2.5),Arabian Dance,pyotr ilyich tchaikovsky,0
1339,1339,187047,520093,Living For The City,Stevie Wonder,1973,Little Girl Blue,1974,,Living for the City,stevie wonder,1
1436,1436,632964,167566,Y ahora voy a salir (Ranxeira),Mago de Oz,2007,No disparen al pianista,2007,(#1.7),Y ahora voy a salir,mago de oz,1
1542,1542,704974,287654,It's The Same Old Song/Reach Out I'll Be There,Boyz II Men,2007,The X Factor,2004,Live Results Show 3 (#4.16),Its the Same Old Song,brian holland+lamont dozier+eddie holland+boys ii men,1
1544,1544,652056,575223,Left To My Own Devices (Live At The Mermaid Theatre),Pet Shop Boys,0,Pet Shop Boys: A Life in Pop,2006,,Left to my own devices,neil tennant+chris lowe+pet shop boys,1
1568,1568,730682,428638,Waltz Of The Flowers From  Nutcracker,Pyotr Il'yich Tchaikovsky,0,Elf,2003,,The Nutcracker Suite  Op.71a,pyotr ilyich tchaikovsky+the brian setzer orchestra,0
1645,1645,880887,301989,I Can Dream About You,Dan Hartman,1984,Top of the Pops,1964,(1985-08-22),I Can Dream About You,dan hartman,1
1666,1666,474274,142658,There She Goes_ My Beautiful World (Amsterdam),Nick Cave & The Bad Seeds,0,Lowdown,2010,Cooper Scooper (#1.5),There She Goes  My Beautiful World,nick cave+the bad seeds,1
1705,1705,368997,13390,No lo digo por nada,Alejandro Sanz,2007,Amores verdaderos,2012,Striptease (#1.40),No me compares,alejandro sanz,0
1711,1711,663657,162475,Canon In D Major,Johann Pachelbel,1977,My Name Is Earl,2005,Kept a Guy Locked in a Truck (#2.14),Canon in D,johann pachelbel,1
1731,1731,778322,361608,Soul Makossa,Manu Dibango,1972,Battle of the Year,2013,,Soul Makossa,manu dibango,1
1736,1736,873042,558678,Your English is Good,Tokyo Police Club,2007,Nobody,2009,,Your English Is Good,josh hook+graham wright+greg alsop+dave monks+tokyo police club,1
1745,1745,394428,330290,Cantata No. 4 Christ Lay in the Bonds of Death BWV 4: Final Chorale  With Loving Hearts We Keep Today the Feast God Hath Us Given,Johann Sebastian Bach,0,53 d_as de invierno,2006,,Musical Offering BWV 1070 (Trio),johann sebastian bach+pere bardag_+manuel mart_nez del fresno+dani espasa+nelia sanchis,0
1805,1805,899940,613507,My Prayer Rug (w/ JB & JE),Odd Nosdam,0,Shout Gladi Gladi,2015,,My Prayer Rug,odd nosdam,1
1884,1884,732385,30313,Pink Panther Theme,Henry Mancini,1998,Bi no tsubo,2006,Ayu (#1.282),The Pink Panther Theme,henry mancini,1
1966,1966,45322,602680,Oye Como Va - Andy BopH Remix,Tito Puente Jr. ft India,0,Salsa,1988,,Oye Como Va,tito puente,1
2090,2090,776463,139021,Stop The Cavalry,Jona Lewie,1980,Lindenstrae,1985,Heute kommt der Weihnachtsmann (#1.786),Stop the Cavalry,jona lewie,1
2123,2123,780663,674375,Mr. Mudd and Mr. Gold (live),Townes Van Zandt,0,The Motel Life,2012,,Mr. Mudd and Mr. Gold,townes van zandt,1
2156,2156,252756,446315,Subterranean Homesick Blues,Bob Dylan,1965,Frogs for Snakes,1998,,Subterranean Homesick Blues,bob dylan,1
2168,2168,443145,213652,Impromtu No. 2 in A-Flat Major_ Op. 142,Sviatoslav Richter_ Franz Schubert,0,Six Feet Under,2001,The Plan (#2.3),Opus 29  No. 1  Andante,franz schubert,0
2195,2195,408463,173286,Hold You In My Arms,Ray LaMontagne,2004,One Tree Hill,2003,Lifetime Piling Up (#2.20),Hold You In My Arms,ray lamontagne,1
2202,2202,654650,268010,Cats In The Cradle,Harry Chapin,2010,The Simpsons,1989,Labor Pains (#25.5),Cats in the Cradle,harry chapin+sandy chapin,1
2206,2206,663893,345331,Higher State Of Consciousness,Josh Wink,0,Als wir tr_umten,2015,,Higher State of Conciousness,josh wink,1
2230,2230,76235,22294,2 Bad,Michael Jackson,1995,Banda sonora,2007,(#5.3),Bad,michael jackson,1
2272,2272,879071,667865,Two Little Orphans,Dolly Parton & Lynn Anderson,2003,The Kennedy Center Honors: A Celebration of the Performing Arts,2006,,Little Sparrow,dolly parton,0
2294,2294,623145,604592,Maybe I'm Amazed,Paul McCartney,1970,Saturday Night Live: 40th Anniversary Special,2015,,Maybe Im Amazed,paul mccartney,1
2300,2300,106567,698684,Suite Bergamasque (arr. For Harp And Oboe): Claire De Lune,Claude Debussy,0,Tokyo Sonata,2008,,Claire de Lune,claude debussy,1
2308,2308,225366,447564,In Private,Paul McCartney,2007,Funny People,2009,,In Private,paul mccartney,1
2344,2344,9771,65591,Solta,Pedro Khima,2007,Deixa-me Amar,2007,(#1.151),Solta,pedro khima,1
2350,2350,942598,490684,Zehn kleine Klavierst_cke_ Op. 12: No. 1_ March,Sergei Prokofiev,0,Je suis le seigneur du chteau,1989,,Alexander Nevskii  Op. 78: Cantate,sergei prokofiev,0
2351,2351,120695,357899,What Do You Have To Do (To Stay OnThe Right Side Of Love),The Supremes / Four Tops,0,Bad Company: The Official Authorised 40th Anniversary Documentary,2014,,Loving You Is Sweeter Than Ever,ivory joe hunter+stevie wonder+paul rodgers+the four tops,0
2406,2406,944704,66715,Can_o Simples,Tiago Bettencourt,2007,Deixa-me Amar,2007,(#1.27),Can_o simples,tiago bettencourt,1
2469,2469,699989,304944,New Orleans (Album Version),Willy DeVille,2009,Treme,2010,Meet De Boys on the Battlefront (#1.2),New Orleans,willy deville,1
2645,2645,247188,447629,Mass in B Minor BWV 232: Gratias Agimus,Johann Sebastian Bach,0,Fur: An Imaginary Portrait of Diane Arbus,2006,,Sonata in E Minor,johann sebastian bach,0
2660,2660,45719,594193,Bridal Chorus,Richard Wagner / Otto Sieben,1991,Ricki and the Flash,2015,,Bridal Chorus,richard wagner,1
2684,2684,572509,462939,Cathedral Wedding Song,Richard Wagner / Otto Sieben,0,Hana,2003,,Wedding March,richard wagner,1
2692,2692,618260,300003,I Want Candy,The Count Bishops,0,Top of the Pops,1964,(1978-10-12),I Want Candy,bert berns+bob feldman+jerry goldstein+richard gottehrer+the count bishops,1
2725,2725,877636,471276,The Count (aka Herv) And Lily Face The Fear,Lily Allen,2009,Hits,2014,,The Fear,lily allen,1
2746,2746,82643,362230,Remote Control,Beastie Boys,1998,Beastie Boys: Video Anthology,2000,,Remote Control,the beastie boys,1
2753,2753,400218,140714,St. Thomas,Sonny Rollins Quartet,0,Livshunger,2002,(#1.6),SAINT THOMAS,sonny rollins,1
2783,2783,912980,367933,Body And Soul,The Benny Goodman Sextet,0,Bill W.,2012,,Body & Soul,benny goodman,1
2799,2799,753265,226944,Trio C-Moll f_r Flauto Traverso Violine_ Violoncello und Cembalo aus dem 'Musikalischen Opfer' BWV 1,Johann Sebastian Bach,0,Street Fighter: The Animated Series,1995,So  You Want to Be in Pictures (#2.5),Toccata and Fugue in D Minor  BWV 565,johann sebastian bach,0
2801,2801,815775,226944,Cantata No. 80 A Mighty Fortress Is Our God BWV 80: Chorale_ Cantata No. 80 The Word of God will firm abide against our foes assailing,Johann Sebastian Bach,0,Street Fighter: The Animated Series,1995,So  You Want to Be in Pictures (#2.5),Toccata and Fugue in D Minor  BWV 565,johann sebastian bach,0
2887,2887,301342,585299,Step On (Twisting My Melon Mix),Happy Mondays,2007,Pure Oasis,1996,,Step On,happy mondays,1
2891,2891,130033,24017,Swan Lake_ Op. 20: Danse espagnole,Pyotr Ilyich Tchaikovsky_ Vasily Petrenko_ Pyotr Ilyich Tchaikovsky_ Vasily Petrenko_ Royal Liverpool Philharmonic Orchestra,0,Batman,1966,The Devils Fingers (#2.15),Danse Arabe,pyotr ilyich tchaikovsky+liberace,0
2922,2922,818718,206447,Me Perfuma,Los Autnticos Decadentes,1991,SesioneS con Alejandro Franco,2007,Los Autnticos Decadentes,Me tiro a la basura,los autnticos decadentes,0
2930,2930,900065,582985,Mambo De Chatanooga,Prez Prado,0,Primary Colors,1998,,SILBANO MAMBO,dmaso prez prado,0
2931,2931,251001,498064,Thank You (Precious Memories Album Version),Ray Boltz,0,Karla Faye Tucker: Forevermore,2004,,Thank You,ray boltz,1
2948,2948,922930,61629,Het Voetbalstadion (Catootje),Andr van Duin,0,De Flip Fluitketel show,1980,,Lach om het Leven,andr van duin,0
2952,2952,628572,395230,Theme from The Magnificent Seven,Elmer Bernstein,0,Cold Turkey,1971,,Theme from The Magnificent Seven,elmer bernstein,1
2957,2957,399025,168843,Can You Hear Me,Keaton Simons,2008,Novel Adventures,2008,The Fab Four (#1.2),Can You Hear Me,keaton simons,1
2970,2970,814634,597131,I Wish I Could Shimmy Like My Sister Kate,Preservation Hall Jazz Band,0,Rock and Roll Hall of Fame Live: Feelin Alright,2009,,I Cant Turn You Loose,otis redding+little richard+mick jagger+the rock hall jam band,0
2995,2995,517764,477118,Wagner: Der fliegende Hollander (The Flying Dutchman): Wirst du des Vaters Wah lnicht schelten? - Dutchman_ Senta,Richard Wagner,0,Hugo Pool,1997,,The Flying Dutchman,richard wagner,1
3024,3024,798785,648975,Marching To The Killing Rhythm (Album Version),Darkest Hour,0,The Big Bounce,2004,,Marching To The Killing Rhythm,darkest hour,1
3034,3034,96347,733174,Wildlife Analysis,Boards of Canada,1996,i,2004,,Wildlife Analysis,boards of canada,1
3061,3061,395215,27231,Se me vais deixar,Tony Carreira,2008,Belmonte,2013,(#1.204),E Agora Tu Vais (Vais Deixar a Minha Vida),tony carreira,0
3072,3072,86129,516705,Les toiles du cinma,Francis Lai,1996,Les trois glorieuses,2010,,Les toles du cinma,francis lai,1
3074,3074,845499,516705,La Course du livre _ travers les champs,Francis Lai,1996,Les trois glorieuses,2010,,Les toles du cinma,francis lai,0
3098,3098,474764,190043,Nervos De A_o (1994 Digital Remaster),Paulinho Da Viola,0,Queridos Amigos,2008,(#1.1),Nervos de A_o,lupic_nio rodrigues+paulinho da viola,1
3105,3105,98350,600739,Quizas_ Quizas_ Quizas (Perhaps_ Perhaps_ Perhaps) (2003 Digital Remaster),Nat King Cole,0,Running with Scissors,2006,,Quizas  Quizas  Quizas (Perhaps  Perhaps  Perhaps),osvaldo farrs+nat king cole,1
3138,3138,563596,343466,Bellini: Il Pirata: Che rechi tu?,Vincenzo Bellini,0,All About Steve,2009,,Casta Dive Che Inargenti from Norma,vincenzo bellini,0
3155,3155,932741,388965,Turn The Beat Around,Vicki Sue Robinson,1976,Chasing Amy,1997,,My Stomp  My Beat,gerard mcmahon+vicki sue robinson,0
3165,3165,674293,129533,Will You Dance?,Janis Ian,2004,Kishibe no arubamu,1977,,Will You Dance?,janis ian,1
3210,3210,372252,14403,Carmen Suite: Intermezzo,Georges Bizet,1993,Animaniacs,1993,O Silly Mio/Puttin on the Blitz/The Great Wakkorotti: The Summer Concert (#1.31),Carmen - Chanson du Toreador,georges bizet,0
3217,3217,815775,552368,Cantata No. 80 A Mighty Fortress Is Our God BWV 80: Chorale_ Cantata No. 80 The Word of God will firm abide against our foes assailing,Johann Sebastian Bach,0,Naked As We Came,2013,,Overture (Suite) No. 3 in D major  BWV 1068 - II. Air,johann sebastian bach+,0
3218,3218,173252,552368,Symphony No. 1 In B-Flat Major_ Op 9,Johann Sebastian Bach,0,Naked As We Came,2013,,Overture (Suite) No. 3 in D major  BWV 1068 - II. Air,johann sebastian bach+,0
3234,3234,857719,45719,Furr,Blitzen Trapper,2008,Chuck,2007,Chuck Versus the DeLorean (#2.10),Furr,blitzen trapper,1
3308,3308,400595,90672,The Way It Is,Bruce Hornsby and the Range,1986,Formula 1: BBC Sport,2009,The British Grand Prix: Highlights (#2.30),The Way It Is,bruce hornsby+john hornsby+the range,1
3452,3452,702210,149364,Love Is All Around (The Mary Tyler Moor Show Theme),Sonny Curtis,0,Mary Tyler Moore,1970,Christmas and the Hard-Luck Kid II (#1.14),Love Is All Around,sonny curtis,1
3455,3455,842597,302069,This Ain't A Love Song,Bon Jovi,1995,Top of the Pops,1964,(1986-09-04),You Give Love a Bad Name,jon bon jovi+richie sambora+desmond child+bon jovi,0
3456,3456,773250,302069,You Give Love A Bad Name,Bon Jovi,1986,Top of the Pops,1964,(1986-09-04),You Give Love a Bad Name,jon bon jovi+richie sambora+desmond child+bon jovi,1
3519,3519,608887,240877,Everybody Wants You (Live) (24-Bit Digitally Remastered 05),Billy Squier,2005,The Closer,2005,Standards and Practices (#1.13),Everybody Wants You,billy squier,1
3547,3547,421328,182189,You'll Never Walk Alone,Richard Rodgers_ Oscar Hammerstein II,1994,Playing the Field,1998,(#2.7),Youll Never Walk Alone,richard rodgers+oscar hammerstein ii+lesley sharp+john thomson+melanie hill+adele mccormack+james nesbitt+ricky tomlinson+debra stephenson+tom moore+tracy whitwell+ralph ineson+marsha thomason+emma rydal,1
3557,3557,900434,102288,Take The A Train,Duke Ellington And His Orchestra,1969,Great Railway Journeys,1994,Singapore to Bangkok (#3.7),Take the A Train,billy strayhorn+duke ellington orchestra  (as duke ellington+his orchestra),1
3577,3577,426868,8694,Scherzo Fantastique_ Op. 3,Igor Stravinsky,0,Aleph  lectures contades,1999,Anton Txkhov,Scherzo a la russe,igor stravinsky,0
3628,3628,921814,433906,Salm - 2nd Movement,New Zealand Symphony Orchestra / William Southgate,0,Everything You Want,2005,,1st Movement,antonio vivaldi+the moscow international symphony orchestra,0
3648,3648,453218,67453,Saia Indiscreta,Filarm_nica Gil,0,Deixa-me Amar,2007,(#1.93),Saia indiscreta,filarm_nica gil,1
3650,3650,614429,386717,The Winding Staircase,New Radiant Storm King,2006,Catch and Release,2006,,The Winding Staircase,new radiant storm king,1
3688,3688,764342,231926,Alice's Theme,Danny Elfman,2010,Tales from the Crypt,1989,Till Death Do We Part (#5.13),Tales from the Crypt Theme,danny elfman,0
3777,3777,9771,65481,Solta,Pedro Khima,2007,Deixa-me Amar,2007,(#1.141),Solta,pedro khima,1
3781,3781,218449,5000,Dominos,The Big Pink,2009,90210,2008,Let the Games Begin (#4.4),Dominos,the big pink,1
3793,3793,94690,17999,Polka Power!,Weird Al Yankovic,1999,Atop the Fourth Wall,2008,The Culling: Superboy #9 (#6.32),The Hot Rocks Polka,weird al yankovic,0
3826,3826,347954,227527,The Imperial March,The Boston Pops Orchestra / John Williams,0,Studio C,2012,(#6.10),The Imperial March (Darth Vaders Theme),john williams,1
3832,3832,798089,227527,Love Theme,The Boston Pops Orchestra / John Williams,0,Studio C,2012,(#6.10),The Imperial March (Darth Vaders Theme),john williams,0
3846,3846,905861,542578,Piano Sonata (moonlight) N.14 In C Sharp Minor Op.27 N.2 : Adagio Sostenuto,Ludwig van Beethoven,0,Mission: Impossible III,2006,,String Quartet in C Minor  Op. 18 No. 4,ludwig van beethoven+kodaly quartet+arrangement with source/q,0
3847,3847,325479,542578,Symphony No. 9 In D Minor_ Op. 125; lll Adagio Molto E Cantabile,Ludwig van Beethoven,0,Mission: Impossible III,2006,,String Quartet in C Minor  Op. 18 No. 4,ludwig van beethoven+kodaly quartet+arrangement with source/q,0
3850,3850,578269,286790,Clubbed To Death [Kurayamino Variation],Rob Dougan,0,The X Factor,2004,Auditions 4 (#3.4),Clubbed to Death,rob dougan,1
3867,3867,552483,634035,Energy Spent,Liam Finn,2007,Summer Coda,2010,,Energy Spent,liam finn,1
3872,3872,177085,120288,Brown Sugar,The Rolling Stones,1971,Independent Lens,1999,Muscle Shoals (#15.17),Brown Sugar,mick jagger+keith richards+the rolling stones,1
3880,3880,752469,534804,I Saw Her Standing There,Paul McCartney,1990,Mask,1985,,I Want to Hold Your Hand,paul mccartney  / john lennon+the beatles,0
3888,3888,130033,477142,Swan Lake_ Op. 20: Danse espagnole,Pyotr Ilyich Tchaikovsky_ Vasily Petrenko_ Pyotr Ilyich Tchaikovsky_ Vasily Petrenko_ Royal Liverpool Philharmonic Orchestra,0,Huhtikuu on kuukausista julmin,1983,,Symphonie no. 6 h-Moll Pathtique / Sinfonia nro 6 h-molli Pateettinen sinfonia op. 74,pyotr ilyich tchaikovsky,0
3900,3900,317521,294583,The Ride Of The Valkyries_ Op.wwv86b : Overture,Richard Wagner,0,Tiny Toon Adventures,1990,Brave Tales of Real Rabbits (#1.59),Lohengrin - Overture to the 3rd Act,richard wagner,0
3959,3959,285588,442215,Life Of Illusion,Foo Fighters,2003,Foo Fighters: Back and Forth,2011,,All My Life,foo fighters,0
4038,4038,400896,654637,Missing,Bruce Springsteen,1996,The Crossing Guard,1995,,Missing,bruce springsteen,1
4089,4089,839072,159151,The Entertainer,Scott Joplin,1971,Movie Guide,2013,Movie Guide: Part 5 (#1.5),The Entertainer,scott joplin,1
4098,4098,541775,634316,We Want Some Pussy (Liberty City Long Hard Mix),The 2 Live Crew,2002,Summerhood,2008,,We Want Some Pussy,luther campbell+brother marquis+mr. mixx+fresh kid ice+2 live crew,1
4104,4104,187328,612482,Love Is A Many Splendored Thing,The Four Aces / Al Alberts,1991,Shifshuf Naim,1981,,Love is a Many Splendored Thing,sammy fain+lyrics by paul francis webster+the four aces,1
4111,4111,392001,25940,Comfortably Numb (Album Version),Scissor Sisters,2004,Being Human,2008,Where the Wild Things Are (#1.5),Comfortably Numb,the scissor sisters,1
4182,4182,248894,447216,Salm - 1st Movement,New Zealand Symphony Orchestra / William Southgate,0,Full Frame,2015,,Symphony #6 - Movement 4,pyotr ilyich tchaikovsky+rfcm symphony orchestra,0
4198,4198,746274,388013,Posh Girls,Scouting for Girls,2010,Chalet Girl,2011,,Posh Girls,scouting for girls,1
4215,4215,921265,608655,Dance To The Music,Sly & The Family Stone,1968,Semi-Pro,2008,,Dance To The Music,sly stone+sly+the family stone  (as sly+the family stone)+arrangement with sony bmg music entertainment,1
4293,4293,355393,604011,Wait,Sarah McLachlan,1993,Sarah McLachlan: Mirrorball,1999,,Wait,sarah mclachlan,1
4311,4311,798089,21002,Love Theme,The Boston Pops Orchestra / John Williams,0,BBC Proms,2011,Prom 38: Film Music Night (#1.12),Hedwigs Theme,john williams,0
4323,4323,293377,562937,Crazy Lowdown Ways,Ocean Colour Scene,2001,Ocean Colour Scene: Filmed from the Front Row,2001,,Crazy Lowdown Ways,ocean colour scene,1
4387,4387,222429,8737,Symphony No. 3 In C Major_ Andante,Trondheim Symphony Orchestra,0,Aleph  lectures contades,1999,Franz Kafka,Piano Concerto No. 1,bla bart_k+london symphony orchestra,0
4401,4401,16377,8737,Concerto for Orchestra (Zoroastrian Riddles) (1996)/3. Adagio non troppo,David Zinman;Pittsburgh Symphony Orchestra,0,Aleph  lectures contades,1999,Franz Kafka,Piano Concerto No. 1,bla bart_k+london symphony orchestra,0
4435,4435,658428,66790,Um Caso Raro,P_lo Norte,0,Deixa-me Amar,2007,(#1.33),Um caso raro,p_lo norte,1
4440,4440,794575,198948,No One Knows,Queens Of The Stone Age,2002,Rude Tube,2008,Planet Fail (#8.1),No One Knows,queens of the stone age,1
4578,4578,712305,354238,New York_ New York (Main Theme),The Boston Pops Orchestra / John Williams,0,Astrix & Oblix: Mission Cloptre,2002,,Darth Vaders Theme (Imperial March),john williams,0
4629,4629,579155,723977,Family Fun Day,The Slovak National Symphony Orchestra,0,Why We Ride,2013,,The Whole Family Rides,steven gutheinz+czech national symphony orchestra,0
4653,4653,235066,242935,Don't Worry,Marty Robbins,1961,The Drifter,1965,The Saloon,Dont Worry,marty robbins,1
4749,4749,372252,111022,Carmen Suite: Intermezzo,Georges Bizet,1993,Histeria!,1998,The Wheel of History (#1.17),Carmen - March of the Toreadors,georges bizet,0
4773,4773,897241,582183,Looking for paradise (Feat. Alicia Keys) (Pedro del Moral_ John Jacobsen & Anzwer Remix),Alejandro Sanz,0,Premios Principales 2010,2010,,Looking for Paradise,alejandro sanz,1
4786,4786,385889,3412,I'm Your Boogie Man,White Zombie,2003,666 Park Avenue,2012,A Crowd of Demons (#1.5),Im Your Boogie Man (Sex On The Rocks Remix),white zombie,1
4884,4884,659419,257411,Those Lazy_ Hazy_ Crazy Days Of Summer (1990 Digital Remaster),Nat King Cole,1994,The Nat King Cole Show,1954,(#1.10),Crazy Rhythm,joseph meyer+roger wolfe kahn+nat king cole,0
4892,4892,345743,301111,Greatest Cockney Rip-Off,Cockney Rejects,0,Top of the Pops,1964,(1980-05-08),The Greatest Cockney Rip-Off,cockney rejects,1
4895,4895,924244,638778,Safety Dance,Men Without Hats,1992,Take Me Home Tonight,2011,,Safety Dance,ivan doroschuk+men without hats,1
4957,4957,853279,551163,William Tell Overture,Arthur Fiedler;Boston Pops Orchestra,0,Mythica: The Darkspore,2015,,Tell Me,nathaniel drew+kristen marie jensen+the salt lake pops orchestra,0
5033,5033,500255,560716,Sometimes I See,Sophie B. Hawkins,1994,Now and Then,1995,,As I Lay Me Down,sophie b. hawkins+arrangement with sony music licensing,0
5055,5055,648460,26081,Eras Tu (A Metade De Mim),Tony Carreira,0,Belmonte,2013,(#1.100),E Agora Tu Vais (Vais Deixar a Minha Vida),tony carreira,0
5077,5077,446116,548136,Creole Rhapsody,Duke Ellington & His Famous Orchestra,2005,Murder at the Vanities,1934,,Second Hungarian Rhapsody,franz liszt+gertrude michael+duke ellington orchestra,0
5088,5088,532209,463739,A Year & A Day,Neal Casal,2009,Happy End.,2005,,Free Light of Day,neal casal,0
