,Unnamed: 0,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists
7670,7670,7670,2476,475434,One Morning,Ken Stringfellow,2001,Hotel Sahara,1951.0,,Early One Morning,
8003,8003,8003,2579,426224,Me kÌ_ymme joulun viettohon,Juice Leskinen Slam,1998,Ekumeeninen joulu: Turun tuomiokirkko,2013.0,,Me kÌ_ymme joulun viettohon,martti turunen+mauno isola
8875,8875,8875,3151,435946,Emotional Way,Giovanni,0,Falco: Everything,2000.0,,Emotional,rob bolland+ferdi bolland+falco
9331,9331,9331,3181,86135,The Way We Were,The London Pops Orchestra,0,Extant,2014.0,Wish You Were Here (#1.3),The Way We Touch,we are twin
13981,13981,13981,4432,208737,The Luck You Got,The High Strung,2005,Shameless,2011.0,The Sins of My Caretaker (#3.5),The Luck You Got,the high strung
16022,16022,16022,5269,1354,What A Wonderful World  (LP Version),Victoria Williams,0,20 to 1,2005.0,Greatest Songs of All Time (#3.2),What A Wonderful World,louis armstrong+george david weiss  / bob thiele
16219,16219,16219,5315,217553,Sacrifice,London After Midnight,1991,So You Think You Can Dance,2005.0,Top 4 Perform (#8.22),Sacrifice,elton john+bernie taupin+sinÌ©ad oconnor
16323,16323,16323,5351,350714,Annie Laurie,John McDermott,0,Annie Laurie,1926.0,,Annie Laurie,lady john scott
16509,16509,16509,5516,105298,Save Me,Julie Driscoll_ Brian Auger & The Trinity,2008,Ha-Shminiya,2005.0,Ippon (#1.35),Save Me,aimee mann
16529,16529,16529,5516,135268,Save Me,Julie Driscoll_ Brian Auger & The Trinity,2008,Late Show with David Letterman,1993.0,(#12.99),Save Me,aimee allen+scott russo+linda perry+unwritten law
16621,16621,16621,5516,331789,Save Me,Julie Driscoll_ Brian Auger & The Trinity,2008,A Certain Justice,2014.0,,,brian jackson harris+justin raines+michael wickstrom
16805,16805,16805,5516,654930,Save Me,Julie Driscoll_ Brian Auger & The Trinity,2008,The Cure,2012.0,,Save Me,brian elder
18125,18125,18125,6139,694050,Things Behind The Sun,Nick Drake,1972,Things Behind the Sun,2001.0,,Things Behind the Sun,nick drake
18680,18680,18680,6497,392787,Still In Love,Nick Cave & The Bad Seeds,2003,City Dragon,1995.0,,Still in Love,leo fox
18828,18828,18828,6517,107606,Ocean Pie,Shed Seven,1994,Heartbreak St,2011.0,Shed Seven: Maximum Hits Live in Bandung,Ocean Pie,shed seven
19007,19007,19007,6638,548836,Roll 'Em Pete,Joe Turner,1992,Musico Pandemonium,2014.0,,,joe manco+eric von der heide+aristoscat
19127,19127,19127,6681,44783,Winter (Four Seasons),Ulytau,0,Chefs Table,2015.0,Enrique Olvera (#2.4),Winter 1 (from The Four Seasons),antonio vivaldi+max richter
19266,19266,19266,6866,363167,Two Tickets To Paradise,Eddie Money,1977,Bee Season,2005.0,,Two Tickets to Paradise,eddie money
20219,20219,20219,7634,378638,Cloud 9,Donnie,2002,Brown Sugar,2002.0,,Cloud 9,donnie
20723,20723,20723,7861,5194,Sometime Around Midnight,The Airborne Toxic Event,2008,90210,2008.0,Off the Rails (#1.18),Sometime Around Midnight,the airborne toxic event
20769,20769,20769,7957,688570,Evening/Morning,Bombay Bicycle Club,2008,The Truth About Webcam Girls,2014.0,,Evening/Morning,bombay bicycle club
21872,21872,21872,8635,494169,Stone In Love,Journey,1981,Journey,1983.0,,Stone in Love,jonathan cain+neal schon
22804,22804,22804,8659,548836,Untitled,Der Blutharsch,2003,Musico Pandemonium,2014.0,,,joe manco+eric von der heide+aristoscat
23463,23463,23463,8796,209324,Friendship,Judy Garland And Johnny Mercer,2001,Sharon  Lois & Brams Elephant Show,1984.0,Young & Old (#5.63),Friendship,sharon hampson+lois lilienstein+bram morrison  (as sharon+lois+bram)
24791,24791,24791,8922,492630,House Of The Rising Sun,Walls Of Jericho,2008,Jobs,2013.0,,House Of The Rising Sun,the brymers
24830,24830,24830,8922,542161,House Of The Rising Sun,Walls Of Jericho,2008,Mishehu Larutz Ito,2006.0,,House of the Rising Sun,bar belfer
27502,27502,27502,9587,245399,Touch Me (I Want Your Body) ?09,Samantha Fox,1992,The Frank Skinner Show,1995.0,(#4.7),Touch Me (I Want Your Body),samantha fox
27937,27937,27937,9587,602946,Touch Me (I Want Your Body) ?09,Samantha Fox,1992,Samantha Fox: Making Music,1987.0,,Touch Me (I Want Your Body),samantha fox
28585,28585,28585,9682,393842,Goosey Gander,Woody Herman & His Orchestra,1987,Climbing High,1938.0,,Goosey Gander,
28671,28671,28671,9706,595932,The Best Summer Ever,A Sunny Day In Glasgow,2006,Road Trip: Beer Pong,2009.0,,The Last Summer,leonard jay jackson+dave scott+the forward
29185,29185,29185,9771,65611,Solta,Pedro Khima,2007,Deixa-me Amar,2007.0,(#1.153),Solta,pedro khima
29186,29186,29186,9771,66821,Solta,Pedro Khima,2007,Deixa-me Amar,2007.0,(#1.36),Solta,pedro khima
29187,29187,29187,9771,67111,Solta,Pedro Khima,2007,Deixa-me Amar,2007.0,(#1.62),Solta,pedro khima
29299,29299,29299,9777,548836,Nina Nina,ChÌ©co Feliciano And Joe King,2006,Musico Pandemonium,2014.0,,,joe manco+eric von der heide+aristoscat
30587,30587,30587,10335,158427,Foggy Mountain Breakdown,Lester Flatt_ Earl Scruggs,1987,Monty Pythons Flying Circus,1969.0,The Attila the Hun Show (#2.7),Foggy Mountain Breakdown,earl scruggs
30954,30954,30954,10480,477868,Knock Down,Alesha Dixon / Asher D,2006,Hush,2008.0,,Knock Down,alesha dixon
31354,31354,31354,10640,403331,Forty-Second Street,The Boswell Sisters,1989,Daffy Doodles,1946.0,,Forty-Second Street,harry warren
31378,31378,31378,10680,81455,Big City Life,Matthew Good,2005,Eli Stone,2008.0,The Path (#2.1),Big Life,wil
31558,31558,31558,10729,525469,Come On In,Washboard Sam,0,Love Wrecked,2005.0,,Come On,benjamin i. jelen
31563,31563,31563,10729,592959,Come On In,Washboard Sam,0,Rest Stop: Dont Look Back,2008.0,,Come On,jonah johnson+richard pookie woods+blackcowboy
32710,32710,32710,10819,548836,I Feel Like I'm Fixin To,Country Joe & The Fish,0,Musico Pandemonium,2014.0,,,joe manco+eric von der heide+aristoscat
37178,37178,37178,11931,302892,Say You'll Be There (Live),Spice Girls,1998,Top of the Pops,1964.0,(1996-12-25),Say Youll Be There,spice girls+jon b.+eliot kennedy
39235,39235,39235,12940,668581,Amado Mio,Quinn Lemley,0,The Lady from Shanghai,1947.0,,Amado Mio,allan roberts+doris fisher
39266,39266,39266,13002,354142,The Grand Vizier's Garden Party (Entrance) (1994 Digital Remaster),Pink Floyd,0,Assault of Innocence,1975.0,,The Grand Viziers Garden Party (Entrance),pink floyd
41679,41679,41679,14009,25603,Live Forever,Kym Marsh,0,Behind the Music,1997.0,Oasis,Live Forever,noel gallagher+oasis
41713,41713,41713,14009,562489,Live Forever,Kym Marsh,0,Oasis: Live from Manchester,2007.0,,Live Forever,noel gallagher+oasis
43516,43516,43516,14612,525659,You Said Goodbye,The Shake,2007,Love and Other Impossible Pursuits,2009.0,,You Are Goodbye,holly conlan
43752,43752,43752,14630,182363,High Love,Clare Teal,2008,Please Like Me,2013.0,Margherita (#2.10),Higher Love,steve winwood+will jennings+james vincent mcmorrow
44286,44286,44286,14740,620850,Eton Boating Song,The Honley Male Voice Choir/The Band Of HM Royal Marines,0,Society,1989.0,,Eton Boat Song,algernon drummond   with evelyn wodehouse
46075,46075,46075,15934,149438,Love Is All,Spandau Ballet,2009,Mary Tyler Moore,1970.0,Murray Ghosts for Ted (#7.20),Love Is All Around,sonny curtis
46076,46076,46076,15934,149488,Love Is All,Spandau Ballet,2009,Mary Tyler Moore,1970.0,The Courtship of Marys Fathers Daughter (#3.15),Love Is All Around,sonny curtis
46077,46077,46077,15934,149494,Love Is All,Spandau Ballet,2009,Mary Tyler Moore,1970.0,The Good-Time News (#3.1),Love Is All Around,sonny curtis
46087,46087,46087,15934,178107,Love Is All,Spandau Ballet,2009,Parenthood,2010.0,Remember Me  Im the One Who Loves You (#3.17),Love Is All I Am,dawes
46090,46090,46090,15934,185054,Love Is All,Spandau Ballet,2009,Pop Idol,2001.0,Heat 2 (#1.10),Love Is All Around,reg presley+david wilson
46347,46347,46347,15934,651877,Love Is All,Spandau Ballet,2009,The Butterfly Ball,1977.0,,Love is All,roger glover+eddie hardin
47203,47203,47203,16435,481521,The Army Air Corps,The King Sisters & Alvino Rey,0,Ice-Capades Revue,1942.0,,The Army Air Corps Song,robert crawford
47244,47244,47244,16776,309114,New York,Tupac,0,Un  dos  tres... responda otra vez,1972.0,La crisis (#8.10),New York  New York,tiffany smith+lucy lovick
47247,47247,47247,16776,325721,New York,Tupac,0,#LuvMovieMusicDream!,2014.0,,New York New York,
47268,47268,47268,16776,556568,New York,Tupac,0,Night of 100 Stars,1982.0,,New York  New York,john kander+fred ebb+liza minnelli
47271,47271,47271,16776,573329,New York,Tupac,0,Pavarotti & Friends for War Child,1996.0,,New York  New York,john kander+fred ebb+liza minnelli+luciano pavarotti
47281,47281,47281,16983,388065,Camino Interior,Chambao,2005,Chambao puro,2005.0,,Camino interior,chambao+antonio carmona
47934,47934,47934,17932,305901,Human Being,The New York Dolls,1974,True Detective,2014.0,Church in Ruins (#2.6),Human Being,new york dolls
48009,48009,48009,18017,165895,Another Day,Jaga Jazzist,2002,Never Mind the Buzzcocks,1996.0,(#9.6),Stay Another Day,tony mortimer+dominic hawken+rob kean+east 17
48069,48069,48069,18150,211466,Rosie,Richie Sambora,1991,Shindig!,1964.0,Shindig Goes to London: Part 1 (#2.23),Rosie,john a. lomax+alan lomax+eric burdon+chas chandler+the animals
51771,51771,51771,19802,134100,Let The Wind Blow,Brian Wilson,1995,Larry L,2009.0,Let the Wind Blow,Let the Wind Blow,brian wilson+mike love+larry l
51805,51805,51805,19802,331789,Let The Wind Blow,Brian Wilson,1995,A Certain Justice,2014.0,,,brian jackson harris+justin raines+michael wickstrom
52007,52007,52007,19924,185424,Tocar Na Banda,Adoniran Barbosa,0,Por Toda Minha Vida,2006.0,Adoniran Barbosa (#4.1),Tocar na Banda,adoniran barbosa
52620,52620,52620,20278,254177,Walk Like That,Marty Stuart,0,The Marty Stuart Show,2008.0,The Old Crow Medicine Show (#1.6),Walk Like That,kenny vaughan
53049,53049,53049,20656,104316,Love Me Tender,Elvis Presley,1956,Guapas,2014.0,Algo tÌÁcito (#1.39),Love Me Tender,elvis presley+vera matson+norah jones+adam levy
53335,53335,53335,20656,429530,Love Me Tender,Elvis Presley,1956,Elvis: Love Me Tender - The Love Songs,2009.0,,Love Me Tender,elvis presley+vera matson+george r. poulton+ken darby
53550,53550,53550,20656,686053,Love Me Tender,Elvis Presley,1956,The Story of Elvis Presley,1977.0,,Love Me Tender,ken darby+elvis presley  )+frank sinatra
55129,55129,55129,21032,317975,Close Your Eyes,Zero Le CrÌ»che,2008,What Goes On,2007.0,Constellations (#1.3),Close You Eyes,turn
55205,55205,55205,21032,667180,Close Your Eyes,Zero Le CrÌ»che,2008,The Jacket,2005.0,,Close Your Eyes,bernice petkere+al bowlly
55308,55308,55308,21087,177091,Break It To Me Gently,Brenda Lee,1987,Pan Am,2011.0,Truth or Dare (#1.7),Break It to Me Gently,brenda lee
56380,56380,56380,21225,185039,Dont Break My Heart,Silicon Dream,1998,Pop Idol,2001.0,Heat 1 (#1.8),Un-Break My Heart,diane warren+haifa
56456,56456,56456,21225,311450,Dont Break My Heart,Silicon Dream,1998,Velvet,2013.0,En vilo (#3.12),Dont Break My Heart,christian padovan+stÌ©phane huguenin+yves sanna
56457,56457,56457,21225,311568,Dont Break My Heart,Silicon Dream,1998,Velvet,2013.0,La espera (#3.7),Dont Break My Heart,christian padovan+stÌ©phane huguenin+yves sanna
56853,56853,56853,21329,102936,More Than A Song,Reflex,0,Greys Anatomy,2005.0,I Want You with Me (#10.2),More Than Anything,emeli sandÌ©+jessica symonds+renell shaw+rudimental
57167,57167,57167,21619,249450,Ballin' the Jack,Brenda Lee,0,The Jack Benny Program,1950.0,Johnny Carson Guest (#14.5),Ballin the Jack,chris smith+johnny carson
57701,57701,57701,21998,300345,Knock on Wood,Eddie Floyd,1967,Top of the Pops,1964.0,(1979-04-19),Knock on Wood,eddie floyd+steve cropper+amii stewart
57801,57801,57801,22157,596768,C'mon Let's Go,Girlschool,1981,Rock n Roll High School,1979.0,,Cmon Lets Go,ritchie valens+the paley brothers
60725,60725,60725,22969,263138,Joy to the World,The Jordanaires & Orion,0,The Ren & Stimpy Show,1991.0,A Scooter for Yaksmas (#5.10),Joy to the World 59,richard harvey
60779,60779,60779,23557,208756,Movie Monster,Sound Team,2006,Shameless,2011.0,The Sins of My Caretaker (#3.5),Movie Monster,dead bundy+the neat neats
60786,60786,60786,23557,524597,Movie Monster,Sound Team,2006,Love & Sex,2000.0,,Monster,gerlinda grimes+weaklazyliar
60791,60791,60791,23557,657207,Movie Monster,Sound Team,2006,The Dream-Quest of Unknown Kadath,2003.0,,Monster,
61398,61398,61398,23629,89827,I Told You I Was Freaky,Flight Of The Conchords,2009,Flight of the Conchords,2007.0,Wingmen (#2.9),I Told You I was Freaky,jemaine clement+bret mckenzie
63385,63385,63385,24361,162412,Wind Beneath My Wings,Tony Christie,0,My Name Is Earl,2005.0,Broke Joys Fancy Figurine (#1.6),Wind Beneath My Wings,larry henley+jeff silbar+jaime pressly
63439,63439,63439,24361,287637,Wind Beneath My Wings,Tony Christie,0,The X Factor,2004.0,Live Results Show 2 (#1.12),Wind Beneath My Wings,verity keays
63946,63946,63946,24393,620850,Boat Song,Wilderness,0,Society,1989.0,,Eton Boat Song,algernon drummond   with evelyn wodehouse
63985,63985,63985,24628,244743,Hark! The Herald Angels Sing,The Choirboys,2008,The Fosters,2013.0,Christmas Past (#2.11),Hark the Herald Angels Sing,john swanson
63987,63987,63987,24628,271867,Hark! The Herald Angels Sing,The Choirboys,2008,The Tennessee Ernie Ford Show,1956.0,Lee Aaker & Rin Tin Tin (#2.12),Hark the Herald Angels Sing,felix mendelssohn-bartholdy+tennessee ernie ford+the top twenty+lee aaker+brion ford+buck ford
64000,64000,64000,24628,615024,Hark! The Herald Angels Sing,The Choirboys,2008,Silent Night,2012.0,,Hark the Herald Angels Sing,olli cunningham+bob saker
66531,66531,66531,25063,237673,Swing Low_ Sweet Chariot,Bill Monroe & The Bluegrass Boys / Gordon Terry / Howdy Forrester / Tex Logan / Buck Ryan / Curly Ray Cline / Lonnie Peerce / Ralph 'Joe' Meadows / Clarence 'Tater' Tate / Kenny Baker / Paul Warren / Randall Collins / Jim Brock,1973,The Ben Stiller Show,1992.0,A Few Good Scouts (#1.12),Swing Low  Sweet Chariot,wallis willis+andy dick+bob odenkirk+ben stiller
66765,66765,66765,25063,548836,Swing Low_ Sweet Chariot,Bill Monroe & The Bluegrass Boys / Gordon Terry / Howdy Forrester / Tex Logan / Buck Ryan / Curly Ray Cline / Lonnie Peerce / Ralph 'Joe' Meadows / Clarence 'Tater' Tate / Kenny Baker / Paul Warren / Randall Collins / Jim Brock,1973,Musico Pandemonium,2014.0,,,joe manco+eric von der heide+aristoscat
66895,66895,66895,25075,256583,Feelings,Greg X. Volz,0,The Morecambe & Wise Show,1968.0,1975 Christmas Show (#9.0),Feelings,des oconnor
69003,69003,69003,25998,357873,Good Girl Gone Bad,Rihanna,2007,Bad Company: In Concert - Merchants of Cool,2002.0,,Good Lovin Gone Bad,mick ralphs
71908,71908,71908,27262,447080,Fuego,Menudo,1998,Fuego,1969.0,,Fuego,marÌ_a grever+carlos alonso
72668,72668,72668,27754,204945,100 Years,Tommy Guerrero,2000,Scrubs,2001.0,My Big Bird (#5.8),100 Years,five for fighting
73639,73639,73639,28018,57894,Bold Soul Sister,Ike & Tina Turner,1969,Dancing with the Stars,2004.0,2010 Grand Finale (#10.10),Hey Soul Sister,amund bjorklund+espen lind+pat monahan
73650,73650,73650,28018,282326,Bold Soul Sister,Ike & Tina Turner,1969,The Voice Kids,2014.0,The Blind Auditions  Part 1 (#1.1),Hey  Soul Sister,robbie anderson+amund bjÌürklund+espen lind+pat monahan
75062,75062,75062,28253,635579,Phir Dil Ki Khushi,Sabri Brothers,0,Sur: The Melody of Life,2002.0,,Tu Dil Ki Khushi,nida fazli+m.m. keeravani+lucky ali+sunidhi chauhan
75471,75471,75471,28400,134677,Santa Baby,Miss Piggy,2007,Late Night with Jimmy Fallon,2009.0,(#2.187),Santa Baby,joan javits+philip springer+fred ebb+jimmy fallon
78398,78398,78398,29227,164011,Hoidetaan kÌ_mppÌ_ BerliinistÌ_,SAMULI PUTRO,2009,MÌ¦kki,2010.0,(#1.1),Hoidetaan kÌ_mppÌ_ BerliinistÌ_,samuli putro
79216,79216,79216,29828,346530,Peppermint Twist,Joey Dee and the Starliters,1973,American Graffiti,1973.0,,Peppermint Twist,joey dee+henry glover
79217,79217,79217,29828,349375,Peppermint Twist,Joey Dee and the Starliters,1973,Andre,1994.0,,Peppermint Twist,joey dee+henry glover+the starlighters
79515,79515,79515,29870,693386,There's No Business Like Show Business (Reprise #2),Bernadette Peters/Annie Get Your Gun - 1999 Broadway Cast,0,Theres No Business Like Show Business,1954.0,,Theres No Business Like Show Business,irving berlin+the cast
80435,80435,80435,30003,145270,The Simple Life,Jeff Lorber,0,M*A*S*H,1972.0,A Night at Rosies (#7.23),Give Me the Simple Life,rube bloom
80436,80436,80436,30003,145386,The Simple Life,Jeff Lorber,0,M*A*S*H,1972.0,Fade Out  Fade In (#6.1),Give Me the Simple Life,rube bloom
81373,81373,81373,30125,18967,Mountain,On Trial,2006,Austin City Limits,1975.0,Willie Nelson (#1.1),Mountain Dew,bascom lamar lunsford+scotty wiseman+willie nelson
81381,81381,81381,30125,448360,Mountain,On Trial,2006,Galerians: Rion,2004.0,,The Mountain,devildriver
81383,81383,81383,30125,519777,Mountain,On Trial,2006,Little Accidents,2014.0,,The Mountain,ben nichols+lucero
84431,84431,84431,30623,428793,Let It All Hang Out,Jonathan King,2001,Elizabethtown,2005.0,,Let It Out (Let It All Hang Out),b.b. cunningham+gary mcewen+jerry masters+john hunter+the hombres
84576,84576,84576,30702,114338,Sing A Simple Song,West Street Mob,1983,How I Met Your Mother,2005.0,Something New (#8.24),Simple Song,the shins
85546,85546,85546,30817,43314,And Then The Rain,The Jesus Lizard,1998,Casual,2015.0,Biden (#1.6),And Then,j mascis
87147,87147,87147,31521,598060,Lies,Zero Hour,2008,Roller Blade Warriors: Taken by Force,1989.0,,Lies,jesse hawkins
88017,88017,88017,31936,31768,Number One,Tinchy Stryder / N-Dubz,0,Bleach,2004.0,Abarai Reiji  kenzan! (#1.16),Number One,shiro sagisu+hazel fernadez+bill liesegang+gina foster+derek green
88604,88604,88604,32234,548836,HE IS YOUR FRIEND,JOE T VANNELLI PROJECT FEAT. HELEN & TERRY,0,Musico Pandemonium,2014.0,,,joe manco+eric von der heide+aristoscat
90641,90641,90641,32622,34546,May The Lord Bless And Keep You,Ernest Tubb,0,Bordertown,1989.0,Nahanni (#1.23),May the Good Lord Bless and Keep You,meredith willson+the wedding guests
93314,93314,93314,33199,366855,Can You Feel It?,Apples In Stereo,2007,Bicycle Bobby,2009.0,,Can You Feel Me,jack foltyn
95350,95350,95350,34564,408535,Watch Out ,Alex Gaudino Feat. Shena,2008,Deadly Weekend,2014.0,,Watch Out,jt nouns
95723,95723,95723,34814,648245,Please Believe Me,Margo Guryan,2002,The Beatles: The First U.S. Visit,1991.0,,Please  Please Me,john lennon+paul mccartney
95901,95901,95901,34877,291833,Winter Fawn,Matt Pond PA,2010,The Young and the Restless,1973.0,(#1.8796),Winter Town,rose ranger
97306,97306,97306,35776,344511,Is It Good Enough,Mica Paris,1998,Alligator Alley,2000.0,,Good Enough,cherish alexander+the painkillers
99578,99578,99578,36419,482049,Boys From The County Hell,The Pogues,1984,If I Should Fall from Grace: The Shane MacGowan Story,2001.0,,Boys from County Hell,the pogues
102644,102644,102644,37196,79581,Silent Night,Joni James,0,Eastbound & Down,2009.0,Chapter 28 (#4.7),Silent Night,franz gruber+joseph mohr
102687,102687,102687,37196,242626,Silent Night,Joni James,0,The Dog Rescuers,2013.0,Christmas Special (#2.13),Silent Night,
102765,102765,102765,37196,557772,Silent Night,Joni James,0,Nitro Circus: The Movie,2012.0,,Silent Night,ian a lover+luftshansia
102784,102784,102784,37196,628474,Silent Night,Joni James,0,Star in the Night,1945.0,,Silent Night  Holy Night,franz gruber+a chorus at the end
103659,103659,103659,37664,558013,Rock N' Roll,Indica,0,No Kidding,1960.0,,Rock and Roll,edwin astley
105748,105748,105748,38572,259755,One Night Stand,The Partridge Family,1989,The Partridge Family,1970.0,Diary of a Mad Millionaire (#3.24),One Night Stand,wes farrell+paul anka
107859,107859,107859,39717,436896,Florida Special,Wilbert Harrison åÊ,0,Farlig kurva,1952.0,,Florida Special,dennis berry
108771,108771,108771,40356,640246,Te lo juro yo,Maria Carrasco,0,Tatuaje,1999.0,,Te lo juro yo,manuel l. quiroga+rosario flores
108826,108826,108826,40475,311101,On The Run,Fred Anderson,2001,Vegas Rat Rods,2014.0,Tuxedo Rod (#1.5),On The Run,therealjonsmith
109204,109204,109204,40986,282139,Worried Man Blues,Woody Guthrie,1964,The Virginian,1962.0,The Horse Fighter (#4.13),Worried Man Blues,randy boone
110476,110476,110476,41681,171425,Me So Horny,The 2 Live Crew,2007,One Hit Wonderland,2012.0,Baby Got Back (#1.2),Me So Horny,luther campbell+brother marquis+mr. mixx+ricardo williams+fresh kid ice+2 live crew
111048,111048,111048,41856,346629,Light Of The World,Causey Way,1999,American Hardcore,2006.0,,Way Of The World,will shatter+flipper
112643,112643,112643,42185,298458,Firestarter,The Prodigy,1996,Top of the Pops 2,1994.0,TOTP2 Presents the Nineties,Firestarter,kim deal+anne dudley+keith flint+trevor horn+liam howlett+jonathan jeczalik+gary langan+paul morley+the prodigy
116710,116710,116710,43965,384781,Here I am Waiting,Tuesday,0,Care Bears: Journey to Joke-a-Lot,2004.0,,Here I am a King,daniel gerard leblanc+creighton doane+julie lemieux
117701,117701,117701,44262,301122,No Doubt About It,Hot Chocolate,1980,Top of the Pops,1964.0,(1980-05-15),No Doubt About It,hot chocolate
118817,118817,118817,44764,17708,One Of Us,Poster Children,1995,Atop the Fourth Wall,2008.0,JLA: Act of God - Part 3 (#3.19),One of Us,joan osborne
120959,120959,120959,45719,4262,Bridal Chorus,Richard Wagner / Otto Sieben,1991,7th Heaven,1996.0,We Do (#7.18),Bridal Chorus,richard wagner
120977,120977,120977,45719,145406,Bridal Chorus,Richard Wagner / Otto Sieben,1991,M*A*S*H,1972.0,Goodbye  Farewell  and Amen (#11.16),Bridal Chorus,richard wagner
120991,120991,120991,45719,199943,Bridal Chorus,Richard Wagner / Otto Sieben,1991,Sabrina  the Teenage Witch,1996.0,Soul Mates (#7.22),Bridal Chorus,richard wagner+robert picardo
121003,121003,121003,45719,257368,Bridal Chorus,Richard Wagner / Otto Sieben,1991,The Nanny,1993.0,Stop the Wedding  I Want to Get Off (#1.16),Bridal Chorus,richard wagner
121026,121026,121026,45719,404308,Bridal Chorus,Richard Wagner / Otto Sieben,1991,Dance Hall,1941.0,,Bridal Chorus,richard wagner
121039,121039,121039,45719,479180,Bridal Chorus,Richard Wagner / Otto Sieben,1991,I Live for Love,1935.0,,Bridal Chorus,richard wagner
122875,122875,122875,46964,519850,Cocinando Suave,Ray Barretto,1962,Little Birds,2011.0,,Cocinando Suave,ray barretto
123853,123853,123853,47360,342917,Billion Dollar Babies,Alice Cooper,1973,Alice Cooper: The Nightmare Returns,1989.0,,Billion Dollar Babies,alice cooper+michael bruce+neal smith+reggie vinson
127125,127125,127125,47825,33325,A Good Man Is Hard To Find,Les Brown,2001,Boardwalk Empire,2010.0,Family Limitation (#1.6),A Good Man is Hard to Find,eddie green+ehud rasherie
127438,127438,127438,47930,468130,Smoke Gets In Your Eyes,The Platters,1968,Hello  My Name Is Doris,2015.0,,Smoke Gets In Your Eyes,otto a. harbach+jerome kern+the platters
128327,128327,128327,48262,259755,One Night Stand,Tony_ Tone_ Toni,0,The Partridge Family,1970.0,Diary of a Mad Millionaire (#3.24),One Night Stand,wes farrell+paul anka
128572,128572,128572,48340,657713,Three Little Birds,Bob Marley & The Wailers,2007,The Edsel Show,1957.0,,Three Little Fishes,saxie dowell+lucy bender sokole+frank sinatra+rosemary clooney
128583,128583,128583,48340,720771,Three Little Birds,Bob Marley & The Wailers,2007,What Price Hollywood?,1932.0,,Three Little Words,harry ruby
128587,128587,128587,48374,227579,Introduction,Simcoe Street Mob,0,Studio One,1948.0,A Wreath of Roses (#2.35),Introduction from ,nikolai rimsky-korsakov
128588,128588,128588,48374,227663,Introduction,Simcoe Street Mob,0,Studio One,1948.0,Goodbye Piccadilly (#9.12),Introduction from ,nikolai rimsky-korsakov
128589,128589,128589,48374,227665,Introduction,Simcoe Street Mob,0,Studio One,1948.0,Greed (#5.39),Introduction from ,nikolai rimsky-korsakov
