,Column1,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists,gold
37,519,519,223423,418936,Why Do Lovers Break Each Others Hearts,Bob B Soxx & The Blue Jeans,1991,Dont Ever Tell,2016,,Why,blue folkus singers,0
122,1671,1671,640273,446033,Snowdon Song,Tony Caro and John,0,Friends,1971,,Michelles Song,elton john bernie taupin,0
307,1781,1781,676519,281645,Wasted,Low Vs Diamond,0,The Vampire Diaries,2009,The Departed (#3.22),Wasted,low vs diamond,1
247,677,677,278875,504829,Burning Up (Showgirl Tour - Live In Sydney),Kylie Minogue,0,Kylie Minogue: Kylie Fever 2002 in Concert - Live in Manchester,2002,,Burning Up,greg fitzgerald tom nichols kylie minogue,1
59,836,836,336173,677836,Sweet Marie,tim scott,0,The People Next Door,1970,,Sweet Medusa,scott english larry weiss the bead game,0
68,954,954,374056,256643,One Time Too Many,Willie Nelson / Steven Tyler,0,The Muppet Show,1976,Bernadette Peters (#2.12),Just One Person,larry grossman bernadette peters jim henson frank oz richard hunt dave goelz jerry nelson,0
168,2267,2267,839528,473156,Dust Down A Country Road,John Hiatt,1995,Home Sweet Home,2012,,Down To The Wire,j. palmer john courage bill palmer ephriam nagler,0
255,877,877,349983,123504,Nothin' But A Heartache (LP Version),The Doobie Brothers,1977,James at 15,1977,Listless Fever (#1.14),Nothin But a Heartache,the doobie brothers,1
52,727,727,299643,249288,Maya Gold,Mike Oldfield,1992,The Interior,2007,,The Gold You Seek,mike ator edwin wendler alluvial soil,0
326,2067,2067,773858,141345,Untouched [Live] (Album Version),The Veronicas,2009,Loose Women,1999,(#13.212),Untouched,toby gad jessica origliasso lisa origliasso the veronicas,1
245,657,657,271395,179052,He Ain't Heavy He's My Brother (1998 Digital Remaster),The Hollies,0,Pasila,2007,Veli (#2.10),He Aint Heavy  Hes My Brother,bob russell bobby scott the hollies,1
373,2551,2551,917286,598671,Any Day Now,Ronnie Milsap,1982,Ronnie Milsap: Live,2002,,Any Day Now,bob hilliard burt bacharach ronnie milsap,1
76,1000,1000,389024,508150,O Que Vai Ser De Mim,Pedro Abrunhosa,1999,La lettre,1999,,Tudo O Que Tens Para Me Dar,pedro abrunhosa,0
354,2275,2275,842597,226175,This Ain't A Love Song,Bon Jovi,1995,Stars in Their Eyes,1990,(#8.6),This Aint a Love Song,jon bon jovi richie sambora desmond child david burrows,1
159,2061,2061,771295,562650,Let Freedom Ring,Bill Whelan / Tsidii Le Loka / Eoghan O'Neill / Des Moore / Noel Heraty / Robbie Harris / The Amanzi Singers,2000,Oasis: Whats Your Story?,2010,,Let There Be Love,noel gallagher oasis,0
298,1592,1592,604017,138292,Kingdoms Of Rain (Album),Mark Lanegan,1994,Lie to Me,2009,Truth or Consequences (#2.2),Kingdoms Of Rain,mark lanegan,1
162,2138,2138,795013,255014,Red Match Box,The Lafayette Afro Rock Band,0,The Match Game,1962,(#6.14),The MATCH GamE,the score production band,0
214,257,257,105630,378709,Born In The U.S.A.,Bruce Springsteen & The E Street Band,1984,Bruce Springsteen: Born in the U.S.A.,1984,,Born In U.S.A.,bruce springsteen the e street band,1
216,296,296,126904,697536,As Hard As It Is,Fine Young Cannibals,1988,Tin Men,1987,,Hard as It Is,david steele fine young cannibals,1
287,1474,1474,552971,530005,Im Not a Juvenile Delinquent,Frankie Lymon,0,Mafia II,2010,,Im NOT A JUVENILE DELINQUENT,frankie lymon the teenagers morris levy,1
324,2010,2010,755503,498914,When I'm Cleaning Windows,George Formby,1989,Keep Your Seats  Please!,1936,,When Im Cleaning Windows,george formby harry gifford fred e. cliffe,1
340,2164,2164,805034,396041,When I Paint My Masterpiece (Live) (2001 Digital Remaster),The Band With Bob Dylan,0,Comedian,2002,,When I Paint My Masterpiece,bob dylan the band,1
334,2115,2115,789110,469489,Last Train To Clarksville (Municipal Auditorium_ Mobile_ AL.) (Live 8/12/67),The Monkees,0,Hey  Hey  Its the Monkees,1997,,Last Train to Clarksville,the monkees,1
6,53,53,20771,5778,Off The Wall,James Cotton,0,@Elevenish,2016,(#1.10),Wax Off,nick kingsley james donald davies,0
1,13,13,5516,654930,Save Me,Julie Driscoll_ Brian Auger & The Trinity,2008,The Cure,2012,,Save Me,brian elder,0
357,2330,2330,863205,79106,We Are Family,Sister Sledge,1979,EastEnders,1985,(2011-05-05),We Are Family,bernard edwards nile rodgers sister sledge,1
316,1924,1924,730531,650177,Shake Your Moneymaker,Elmore James,1961,The Blues Brothers,1980,,SHAKE YOUR MONEYMAKER,elmore james,1
232,463,463,200397,406518,Arnold Layne,David Gilmour Featuring David Bowie,2006,David Gilmour Remember That Night,2007,,Arnold Layne,syd barrett david gilmour david bowie,1
146,1957,1957,740561,33325,Good Riddance - Time Of Your Life (Vocals Removed),Green Day Can You Rock Instructional,0,Boardwalk Empire,2010,Family Limitation (#1.6),A Good Man is Hard to Find,eddie green ehud rasherie,0
102,1378,1378,523326,269553,No Nights By Myself,Sonny Boy Williamson,0,The Sonny and Cher Show,1976,(#2.16),Nights On Broadway,barry gibb robin gibb maurice gibb sonny bono cher engelbert humperdinck barbi benton,0
60,838,838,336381,530350,Anything Goes_ I Get A Kick Out Of You,Cole Porter,0,Magnavox Presents Frank Sinatra,1973,,I Get a Kick Out of You,cole porter frank sinatra,0
282,1342,1342,506516,221005,Girls On Film (BBC Radio 1 Peter Powell Session (Recorded 19th June 1981_ Transmitted 11th August 1981)),Duran Duran,1981,Speed Grapher,2005,Okanekudasai (#1.22),Girls on Film,duran duran,1
10,99,99,45149,477748,Young Hunting,Nancy Kerr & James Fagan,0,Hunting for Herschell,2003,,Suite Hunting,j. michael james,0
26,358,358,153239,329427,Break Up,Eric Sneo,2007,30 Minutes or Less,2011,,Ante Up (Robbin Hoodz Theory),jamal grinnage eric murry darryl pittman m.o.p. arrangement with sony music licensing,0
45,635,635,264515,718542,Sunlight,Pat Metheny Group,0,We Are Your Friends,2015,,Sunlight [Extended Club Mix],stephen fasano oliver thornton mark ralph the magician years arrangement with warner music group film tv licensing,0
65,873,873,346847,686681,Time To Say Goodbye,Wayne Wonder,0,The Swan Princess Christmas,2012,,All Time Low,steve mac wayne hector ed drewett the wanted,0
141,1870,1870,710573,363111,I Just Had You On My Mind,John Wesley Ryles,0,Bedtime with Barney: Imagination Island,1994,,Just Imagine (Reprise),philip a. parker stephen white bob west hope cervantes pia manalo john david bennett ricky carter barry pearl julie johnson patty wirtz,0
286,1403,1403,536048,311158,FotografÃŒÃŽ_a,Juanes / Nelly Furtado,0,Velo de novia,2003,Velo de novia (#1.1),FotografÃŒÃ„ÂÃ•_a,juanes nelly furtado,1
186,2431,2431,883485,532493,Golden Days,Jason & The Scorchers,0,Management,2008,,Hangover Days,jason collett,0
328,2082,2082,779617,545097,May The Bird Of Paradise Fly Up Your Nose,Little' Jimmy Dickens,1993,More American Graffiti,1979,,May the Bird of Paradise Fly Up Your Nose,neal merritt little jimmy dickens,1
15,151,151,62002,364553,Lets Go Instrumental,DJ Slugo,0,Ben et Thomas,2004,,Lets Go For A Ride,josh colburn dj patton josh spataro rob wells joey wells eleventeen,0
206,7,7,4202,541635,The Land Of Rape And Honey (Album Version),Ministry,0,Ministry: Tapes of Wrath,2000,,The Land of Rape & Honey (Live),ministry,1
249,718,718,295876,120120,That's Us / Wild Combination,Arthur Russell,2004,Independent Lens,1999,How to Survive a Plague (#15.7),Thats Us/Wild Combination,superhuman happiness arthur russell,1
5,47,47,20637,633817,Somewhere Over Paris,Michael Stanley Band,1998,Suicide Squad,2016,,Over Here,aaquil brown khalif brown andre harris marquel middlebrooks pierre ramon slaughter michael williams rae sremmurd bobo swae,0
74,996,996,386023,150485,Modelo Para Armar,Juan Carlos Baglietto,0,MaÃŒÃ„ÂÃ•ÃŒÃ¢Ã¥Â±ana es para siempre,2008,Preparativos (#1.19),Para que sigas volando,carlos macÃŒÃ„ÂÃ•_as,0
144,1932,1932,732038,260212,Ill Catch You When You Fall,Laura Lee,0,The Perry Como Show,1948,(#10.18),Catch a Falling Star,lee pockriss paul vance perry como,0
7,66,66,27985,393823,If I Get Lucky,The Johnny Shines Blues Band,2002,Cliff Edwards and His Buckaroos,1941,,I Cant Get Along  Little Dogie,m.k. jerome cliff edwards his band,0
261,962,962,376551,676626,Papercut (Live In Texas),Linkin Park,2003,The One,2001,,Papercut,chester bennington linkin park,1
320,1962,1962,742343,637440,Blues In The Night,Cab Calloway,2005,Swooner Crooner,1944,,Blues in the Night,harold arlen cartoon parody of cab calloway,1
132,1766,1766,672058,287558,What Was Once...,David Torn,1995,The X Factor,2004,Judges Houses 2 (#10.12),What About Now,ben moody david hodges josh hartzler westlife,0
225,377,377,158767,693106,Blue Monk,Miles Davis & Thelonious Monk,0,Thelonious Monk: Straight  No Chaser,1988,,Blue Monk,thelonious monk,1
239,567,567,242056,483173,How Do You Sleep? (Instrumental Score),John Lennon And The Plastic Ono Band (With The Flux Fiddlers),0,Imagine: John Lennon,1988,,How Do You Sleep?,john lennon,1
331,2108,2108,786486,562489,Live Forever,Oasis,0,Oasis: Live from Manchester,2007,,Live Forever,noel gallagher oasis,1
20,273,273,116410,345278,Different Kind Of Cowboy (Album Version),Ray Scott,0,Alpha and Omega: Family Vacation,2015,,Different Colors,nicholas petricca sean waugaman kevin ray eli maiman walk the moon,0
348,2216,2216,821167,135728,Wild Night,Van Morrison,1971,Late Show with David Letterman,1993,(#19.31),Wild Night,van morrison the cbs orchestra,1
241,596,596,248698,728818,Tong Poo,Ryuichi Sakamoto,0,Yellow Magic Orchestra Live at NHK,2011,,TONG POO,ryuichi sakamoto,1
263,975,975,379551,356243,Saturday Night Fish Fry - Parts 1 & 2 (Digitally Remastered),Louis Jordan & His Tympany Five,0,B.B. King: The Life of Riley,2012,,Saturday Night Fish Fry,louis jordan ellis lawrence walsh,1
78,1066,1066,411295,94644,You Know What The Trouble Is Baby,Tommy Dorsey and His Orchestra,2003,Game of Thrones,2011,The Climb (#3.6),You Know Nothing,ramin djawadi czech film orchestra choir,0
135,1796,1796,682142,692733,Lord Remember Me (Album Version),Long John Baldry,0,The Yellow Handkerchief,2008,,Do Lord Remember Me,mississippi john hurt arrangement with ocean park music group,0
164,2211,2211,819679,86867,Blue Skies,The Glenn Miller Orchestra,1996,Falling Skies,2011,Search and Recover (#3.5),Falling Skies (Credits Theme from TV Series),falling skies orchestra,0
64,858,858,341064,11228,O Come All Ye Faithful,The London Community Gospel Choir,0,American Horror Story,2011,Unholy Night (#2.8),O Holy Night,north star boys choir,0
55,749,749,306819,648078,Old Jerry,Stephen Malkmus & The Jicks,2003,The Bears Tale,1940,,My Old Kentucky Home  Good Night,stephen foster,0
90,1199,1199,461003,155974,Why Wont You,The Rogers Sisters,2006,MisteRogers Neighborhood,1968,1418 (#8.28),Wont You Be My Neighbor?,fred rogers,0
210,171,171,70050,501209,View From A Bridge (Raw Remix) (Edit),Kim Wilde,1987,Kim Wilde: The Video Music Collection,1984,,View From A Bridge,kim wilde,1
106,1429,1429,542553,288080,What I Did For Love,Grace Jones,1977,The X Factor,2005,Live Show 5 (#4.22),I Want to Know What Love Is,angel tupai mick jones,0
248,694,694,286196,103303,Gotta Figure This Out,Erin McCarley,2009,Greys Anatomy,2005,Rise Up (#5.7),Gotta Figure This Out,erin mccarley,1
250,781,781,318137,269502,I'm Gonna Love You (Soundtrack Version),Sonny & Cher,0,The Sonny and Cher Show,1976,(#1.8),Im Gonna Make You Love Me / My World Is Empty Without You,kenny gamble jerry ross also co-attributed to jerry williams leon huff  / brian holland lamont dozier eddie holland sonny bono cher,1
289,1481,1481,556417,478430,Superstition,Stevie Wonder,1972,I Am Legend,2007,,Superstition,stevie wonder,1
56,784,784,319498,345238,Feelin Good,Joe Bonamassa,2009,Alpha and Omega,2010,,Feelin So Good,sean combs jennifer lopez cory rooney steven standard george logios big pun fat joe,0
8,86,86,34444,370013,Lighting The Flame (World),Peter Kater,0,Blast from the Past,1999,,Its the End of the World As We Know It,michael stipe peter buck mike mills r.e.m.,0
264,976,976,379561,247463,Empire In My Mind,The Wallflowers,2002,The Guardian,2001,,The Empire In My Mind,jakob dylan the wallflowers,1
134,1795,1795,682142,501811,Lord Remember Me (Album Version),Long John Baldry,0,Kingdom Come,2001,,Help Lord (Wont You Come),m.c. hammer ontario haynes maurice stewart john rhone arrangement with warner special products,0
370,2516,2516,905861,620489,Piano Sonata (moonlight) N.14 In C Sharp Minor Op.27 N.2 : Adagio Sostenuto,Ludwig van Beethoven,0,So This Is New York,1948,,Moonlight Sonata,ludwig van beethoven,1
275,1168,1168,455409,96714,Warm Whispers [XM Session],Missy Higgins,0,Ghost Whisperer,2005,Greek Tragedy (#4.15),Warm Whispers,missy higgins,1
310,1859,1859,702281,491542,Short Shorts,The Royal Teens,1986,Jersey Boys,2014,,Short Shorts,bill crandall thomas austin bob gaudio bill dalton the royal teens,1
229,448,448,190618,517935,Get Outta My Dreams_ Get Into My Car,Billy Ocean,1988,License to Drive,1988,,GET OUTTA MY DREAMS  GET INTO MY CAR,robert john lange billy ocean,1
63,848,848,336911,655237,Hush Little Baby,Ranking Joe,1996,The Damned United,2009,,Hush,deep purple joe south special arrangement with spark marketing entertainment,0
235,520,520,224966,39120,The Climb,Miley Cyrus,2009,CMT Top 20 Countdown,2001,(2009-03-20),The Climb,miley cyrus,1
351,2235,2235,828641,663746,Emma (Remastered),Sisters Of Mercy,0,The Guest,2014,,Emma,errol brown tony wilson the sisters of mercy arrangement with,1
276,1179,1179,457567,422078,Pure Love,Ronnie Milsap,1974,Drive-In,1976,,Pure Love,eddie rabbitt ronnie milsap,1
81,1087,1087,419466,216299,I Got Ants In My Pants_ Part 1,James Brown,0,So You Think You Can Dance,2005,1 of 11 Voted Off (#7.7),I Got the Feelin,james brown,0
339,2159,2159,801764,50688,The Wild One,Suzi Quatro,1974,Countdown,1974,(#1.6),The Wild One,nicky chinn mike chapman suzi quatro,1
240,592,592,247363,599874,One Day At A Time,Willie Nelson,1965,Ruckus,1980,,ONE DAY AT A TIME,willie nelson hank cochran janie fricke,1
361,2349,2349,868421,391192,The New Machine,Chris Whitley,2003,Chris Whitley: Scrapyard,2001,,New Machine,chris whitley,1
89,1186,1186,459552,282637,Square One (Album Version),Tom Petty,2006,The Voice UK,2012,Blind Auditions 4 (#3.4),One Night Only,henry krieger tom eyen sarah eden-winn,0
167,2266,2266,839528,237479,Dust Down A Country Road,John Hiatt,1995,The Beatles,1965,Im Down/Run for Your Life (#2.3),Im Down,john lennon paul mccartney the beatles,0
21,293,293,124040,670929,String Quartet Op. 11: II.      Adagio,Endellion String Quartet,0,The Lobster,2015,,String Quartet No. 2: I Moderato,alfred shnitke the tale quartet with kind permission of bis record sweden,0
302,1712,1712,654391,129860,Love's Been A Little Bit Hard On Me,Juice Newton,1982,Knight Rider,1982,The Topaz Connection (#1.16),Loves Been a Little Bit Hard on Me,juice newton,1
181,2403,2403,877546,330507,Dream Lover,Bobby Rydell,1993,61*,2001,,Dream Lover,bobby darin arrangement with warner special products,0
200,2648,2648,937335,533814,La Luna,Steve Roach & Robert Rich,0,Marilyn Hotchkiss Ballroom Dancing & Charm School,2005,,Bella Luna,robert j. walsh,0
49,721,721,297104,159313,Amor De La Calle,Trio Los Panchos,1992,Movistar MÃŒÃ„ÂÃ•ÃŒÃ¢Ã¥_sica,2009,Los Ramblers,Mucho amor,los ramblers,0
217,297,297,127132,30124,Wicked Game (Remastered Album Version),Chris Isaak,2006,Beverly Hills  90210,1990,One Man and a Baby (#1.11),Wicked Game,chris isaak,1
353,2242,2242,830930,160679,Maple Leaf Rag,Scott Joplin,1971,Murdoch Mysteries,2008,Murdoch in Ragtime (#7.10),Maple Leaf Rag,scott joplin jazz band,1
92,1202,1202,461003,156480,Why Wont You,The Rogers Sisters,2006,MisteRogers Neighborhood,1968,1640: Dress-Up (#21.15),Wont You Be My Neighbor?,fred rogers,0
313,1883,1883,713790,502026,Serenade For Strings No. 13 In G Major_ KV 525 'Eine Kleine Nachtmusik,Wolfgang Amadeus Mozart,0,Kinshasa Symphony,2010,,Eina kleine Nachtmusik,wolfgang amadeus mozart,1
280,1274,1274,483982,160906,Jenny From The Block,Jennifer Lopez,2002,Music Nuggets,2010,(2011-06-11),Jenny From The Block,jennifer lopez,1
212,181,181,75922,210178,Thou Shalt Not Steal (Album Version),Dick & Dee Dee,0,Shindig!,1964,(#1.19),Thou Shalt Not Steal,dick dee dee,1
145,1953,1953,739607,681761,Herodiade: Ne Pouvant Reprimer,Alfredo Kraus,0,The Road to Empire,2007,,Ebben! Ne andrÃŒÃ„ÂÃ•_ lontana,alfredo catalani,0
350,2234,2234,827478,651324,Bad To Me,Billy J. Kramer,1991,The British Invasion Returns,2000,,Bad To Me,john lennon paul mccartney billy j. kramer,1
22,304,304,133151,85661,Sapphic Ode,Mormon Tabernacle Choir,0,Everybody Loves Raymond,1996,Marie and Franks New Friends (#4.19),Ode to Joy,ludwig van beethoven sydney philharmonia choir antony walker,0
231,456,456,195356,676791,Let it Snow!,Dean Martin,0,The Oranges,2011,,Let it Snow! Let it Snow! Let it Snow!,sammy cahn jule styne dean martin,1
113,1531,1531,575219,98685,Let Us Live,The Game / Chrisette Michele,0,Glee,2009,Loser Like Me (#6.1),Let It Go,kristen anderson-lopez robert lopez lea michele,0
303,1714,1714,657024,713588,Siete Puertas,Pedro Guerra,1997,Vidas en vivo,2008,,Siete puertas,pedro guerra,1
155,2043,2043,764495,378709,Living In The U.S.A. (1991 Digital Remaster),Steve Miller Band,1991,Bruce Springsteen: Born in the U.S.A.,1984,,Born In U.S.A.,bruce springsteen the e street band,0
158,2059,2059,771295,305154,Let Freedom Ring,Bill Whelan / Tsidii Le Loka / Eoghan O'Neill / Des Moore / Noel Heraty / Robbie Harris / The Amanzi Singers,2000,Tricked,2013,(#2.2),Let Forever Be,the chemical brothers noel gallagher,0
179,2392,2392,876976,476410,Do You Love Me?,Wayne Wonder,0,How to Deal,2003,,Do You Realize?,wayne coyne s. drozd m. ivins d. fridmann the flaming lips arrangement with warner strategic marketing,0
